ref,word,num,dep,label,dep2,label2
"2De(w).001",Hinen,1,,,,
"2De(w).001",he'ih'iinoo'ei,2,,,,
"2De(w).001",heetohco'otoyooni';,3,,,,
"2De(w).002",Hiikoot,1,,,,
"2De(w).002",he'ih'oh'onookei'iiniin,2,,,,
"2De(w).002",noh,3,,,,
"2De(w).002",he'ihcooco'oxetiin.,4,,,,
"2De(w).003",Kookuyon,1,,,,
"2De(w).003",he'ihniiniihisee,2,,,,
"2De(w).003",heetohbii3ooni'.,3,,,,
"2De(w).004",He'ihnoohoot,1,,,,
"2De(w).004","nooxeihiitono,",2,,,,
"2De(w).004",he'ne'to3itiit.,3,,,,
"2De(w).005",Hoowuciisiihi',1,,,,
"2De(w).005",he'ihnoohobee,2,,,,
"2De(w).005",bih'ihii,3,,,,
"2De(w).005",he'ihniisinino.,4,,,,
"2De(w).006",Ceexoon,1,,,,
"2De(w).006","he'ih3i'ookuun,",2,,,,
"2De(w).006",hini',3,,,,
"2De(w).006",ceese',4,,,,
"2De(w).006",he'ih3i'ok.,5,,,,
"2De(w).007",He'ihceenihceh,1,,,,
"2De(w).008",Wohei,1,,,,
"2De(w).008","heesi3ecoot,",2,,,,
"2De(w).008",heetneyeiwo'owtootiseet.,3,,,,
"2De(w).009",'oh,1,,,,
"2De(w).009",woow,2,,,,
"2De(w).009",nonoohobeit;,3,,,,
"2De(w).009",honoonoyoohobeit.,4,,,,
"2De(w).010",Heniisciitoho',1,,,,
"2De(w).010",hikokiy:,2,,,,
"2De(w).011",Hehniisetini',1,,,,
"2De(w).011",kokiyono3,2,,,,
"2De(w).011",neniiwoho';,3,,,,
"2De(w).012","heebehko3oe'e,",1,,,,
"2De(w).012",heetnoxohoece'ciitoheikoohut,2,,,,
"2De(w).013",Nooxoweyeihno'useet,1,,,,
"2De(w).013","heetniitoo'useet,",2,,,,
"2De(w).013",'oh,3,,,,
"2De(w).013",he'iisiisceto'owoo3i;,4,,,,
"2De(w).014",Tohkoxuutenihcehit,1,,,,
"2De(w).014",heni'nihi'kuutiit,2,,,,
"2De(w).014","hikokiy,",3,,,,
"2De(w).014",noh,4,,,,
"2De(w).014",hini',5,,,,
"2De(w).014",3ii'ookuuni3,6,,,,
"2De(w).014",cenee3besoot.,7,,,,
"2De(w).015",'oh,1,,,,
"2De(w).015",nono'ote'eisi';,2,,,,
"2De(w).016",Cee'ihcehisetiit,1,,,,
"2De(w).016","hitohko',",2,,,,
"2De(w).016",koo'oeteesetiit,3,,,,
"2De(w).016",hini',4,,,,
"2De(w).016","kokiyono3,",5,,,,
"2De(w).016",noh,6,,,,
"2De(w).016",hini',7,,,,
"2De(w).016",3ii'okuni3,8,,,,
"2De(w).016",besoot.,9,,,,
"2De(w).017",Noh,1,,,,
"2De(w).017",ne'nih'iisniisiisibiheit,2,,,,
"2De(w).017",nehe',3,,,,
"2De(w).017",hinen.,4,,,,
