ref,word,num,dep,label,dep2,label2
"A1C6.001",A,1,,,,
"A1C6.001",Nii'ooke',2,,,,
"A1C6.001",be'see3.,3,,,,
"A1C6.002",B,1,,,,
"A1C6.002",Nii'ooke',2,,,,
"A1C6.002",beeteenoo'eiht.,3,,,,
"A1C6.003",A,1,,,,
"A1C6.003",Koowoow,2,,,,
"A1C6.003",nokoh?,3,,,,
"A1C6.004",B,1,,,,
"A1C6.004","'oo,",2,,,,
"A1C6.004",woow,3,,,,
"A1C6.004",nookohunoo.,4,,,,
"A1C6.005",A,1,,,,
"A1C6.005",Keetouseb?,2,,,,
"A1C6.006",B,1,,,,
"A1C6.006","'oo,",2,,,,
"A1C6.006",heetwontousebinoo.,3,,,,
"A1C6.007",A,1,,,,
"A1C6.007",Kooheesnee?,2,,,,
"A1C6.008",B,1,,,,
"A1C6.008","Hiiko,",2,,,,
"A1C6.008",neihooweesnee.,3,,,,
"A1C6.009",A,1,,,,
"A1C6.009",Heetwonbii3ihinoo.,2,,,,
"A1C6.010",A,1,,,,
"A1C6.010",Keetceixotone3,2,,,,
"A1C6.010",[hee]tihbii3ihin?,3,,,,
"A1C6.011",B,1,,,,
"A1C6.011",Ceixotoni,2,,,,
"A1C6.011",[hee]tihbii3ihinoo.,3,,,,
"A1C6.012",A,1,,,,
"A1C6.012",Heetce'no'useenoo,2,,,,
"A1C6.012",beexoo3iihi'.,3,,,,
"A1C6.013",B,1,,,,
"A1C6.013",Heetce'noohobe3en.,2,,,,
"A1C6.014",A,1,,,,
"A1C6.014",Niiyou,2,,,,
"A1C6.014",hebii3wo.,3,,,,
"A1C6.015",B,1,,,,
"A1C6.015","Hohou,",2,,,,
"A1C6.015",nuhu',3,,,,
"A1C6.015",bii3wo.,4,,,,
