ref,word,num,dep,label,dep2,label2
"A1I1.001",Tous,1,,,,
"A1I1.001",neito'eino'.,2,,,,
"A1I1.002","Nee'eesih'inoo,",1,,,,
"A1I1.002",Hoh'eniiniibei.,2,,,,
"A1I1.003","Hiinono'eininoo,",1,,,,
"A1I1.003",hisei.,2,,,,
"A1I1.004","Nee'eeteihinoo,",1,,,,
"A1I1.004",bei'ci3eiyookuu,2,,,,
"A1I1.004",[noh],3,,,,
"A1I1.004",ko'kohii-neecee.(?),4,,,,
"A1I1.005",Nenii3ino',1,,,,
"A1I1.005",n[en]iisi3i',2,,,,
"A1I1.005",neih'oho',3,,,,
"A1I1.005",[noh],4,,,,
"A1I1.005",n[en]iisi3i',5,,,,
"A1I1.005",notoonoho'.,6,,,,
"A1I1.006",Neeyei3einoo,1,,,,
"A1I1.006",Heseisiiniiciico'ouutou3eino'oowuu'.,2,,,,
"A1I1.007",Hoonowu3ecoonoo,1,,,,
"A1I1.007",heetihneyeitiinoo,2,,,,
"A1I1.007","neteenetiit,",3,,,,
"A1I1.007",hinono'eitiit.,4,,,,
"A1I1.008",Nuhu',1,,,,
"A1I1.008",hinono'eitiit,2,,,,
"A1I1.008",beeteenoo'.,3,,,,
"A1I1.009",Hohou.,1,,,,
