ref,word,num,dep,label,dep2,label2
"A1W1.001",Neneeninoo,1,,,,
"A1W1.001",hinono'ei.,2,,,,
"A1W1.002",Nuhu',1,,,,
"A1W1.002",hinono'eitiit,2,,,,
"A1W1.002",beeteenoo'.,3,,,,
"A1W1.003",Nuhu',1,,,,
"A1W1.003",nenee',2,,,,
"A1W1.003",hetiine'etiitoonin.,3,,,,
"A1W1.004",Noosoutonounowuno',1,,,,
"A1W1.004",nuhu',2,,,,
"A1W1.004",hinono'eitiit.,3,,,,
"A1W1.005","Tei'yoonoh'o',",1,,,,
"A1W1.005",heetih'ee3oobei'nou'u,2,,,,
"A1W1.005",nuhu',3,,,,
"A1W1.005",hinono'eitiit.,4,,,,
"A1W1.006",Noosoucebeneihiinoo',1,,,,
"A1W1.006",nuhu',2,,,,
"A1W1.006","hinono'eitiit,",3,,,,
"A1W1.006",toh'e'inowuno',4,,,,
"A1W1.006",nuhu',5,,,,
"A1W1.006","hinono'eitiit,",6,,,,
"A1W1.006",tohce'eenetino'.,7,,,,
