ref,word,num,dep,label,dep2,label2
"A2BMS.001","Ceesey,",1,,,,
"A2BMS.001","niis,",2,,,,
"A2BMS.001",woohuukutiinoo,3,,,,
"A2BMS.002","Neeso,",1,,,,
"A2BMS.002","yein,",2,,,,
"A2BMS.002",hokohoo,3,,,,
"A2BMS.002",tecenoo,4,,,,
"A2BMS.003","Yoo3on,",1,,,,
"A2BMS.003","niitootox,",2,,,,
"A2BMS.003",wo'tenoo,3,,,,
"A2BMS.003",bexo,4,,,,
"A2BMS.004","Niisootox,",1,,,,
"A2BMS.004","neesootox,",2,,,,
"A2BMS.004",xouuwciinenoo,3,,,,
"A2BMS.005","3io'tox,",1,,,,
"A2BMS.005","beteetox,",2,,,,
"A2BMS.005",beebeeneiht,3,,,,
"A2BMS.005",nih'oo3ounii'eihii,4,,,,
"A2BMS.006",Beteetox,1,,,,
"A2BMS.006","ceeseini',",2,,,,
"A2BMS.006",beteetox,3,,,,
"A2BMS.006","niisiini',",4,,,,
"A2BMS.006",henee'eehek,5,,,,
"A2BMS.006",heetnooxoheit,6,,,,
"A2BMS.007",Beteetox,1,,,,
"A2BMS.007","neesiini',",2,,,,
"A2BMS.007",beteetox,3,,,,
"A2BMS.007","yeiniini',",4,,,,
"A2BMS.007",hiihoowuus,5,,,,
"A2BMS.007",hinenno',6,,,,
"A2BMS.007",noh,7,,,,
"A2BMS.007",hiseino',8,,,,
"A2BMS.008",Beteetox,1,,,,
"A2BMS.008","yoo3oniini',",2,,,,
"A2BMS.008",beteetox,3,,,,
"A2BMS.008","niitootoxuuni',",4,,,,
"A2BMS.008",neniiteneti3i',5,,,,
"A2BMS.009",Beteetox,1,,,,
"A2BMS.009","niisootoxuuni',",2,,,,
"A2BMS.009",beteetox,3,,,,
"A2BMS.009","neesootoxuuni',",4,,,,
"A2BMS.009",hiihoowuus,5,,,,
"A2BMS.009",hiseino',6,,,,
"A2BMS.010",Beteetox,1,,,,
"A2BMS.010","3io'toxuuni',",2,,,,
"A2BMS.010","niisoo',",3,,,,
"A2BMS.010",nese'nooo,4,,,,
"A2BMS.010",hoowuuni,5,,,,
