ref,word,num,dep,label,dep2,label2
"A2Pr.001",Beehiiniisonoonibeihin,1,,,,
"A2Pr.001",neneenin,2,,,,
"A2Pr.001",hihcebe',3,,,,
"A2Pr.001",heentoon.,4,,,,
"A2Pr.002",Hoowooyeitinoo,1,,,,
"A2Pr.002",nuhu',2,,,,
"A2Pr.002",toh'uusiini',3,,,,
"A2Pr.003",Cihbee3tii,1,,,,
"A2Pr.003",Bii3wo,2,,,,
"A2Pr.003",noh,3,,,,
"A2Pr.003",Nec.,4,,,,
"A2Pr.004",Cihbee3hinee,1,,,,
"A2Pr.004",Neinoo,2,,,,
"A2Pr.004",noh,3,,,,
"A2Pr.004",Neisoonoo.,4,,,,
"A2Pr.005",Cihbee3hinee,1,,,,
"A2Pr.005",hihcebe',2,,,,
"A2Pr.005",Howohusei,3,,,,
"A2Pr.005",nei'eibehe',4,,,,
"A2Pr.005",noh,5,,,,
"A2Pr.005",Beh'eihehi',6,,,,
"A2Pr.005",Heneecee,7,,,,
"A2Pr.005",Boh'ooo.,8,,,,
"A2Pr.006",Cihbee3hinee,1,,,,
"A2Pr.006",Neeseh'e,2,,,,
"A2Pr.006",noh,3,,,,
"A2Pr.006",Nebiho',4,,,,
"A2Pr.006",Hiit,5,,,,
"A2Pr.006",noh,6,,,,
"A2Pr.006",Hihcebe'.,7,,,,
"A2Pr.007",Cihbee3hinee,1,,,,
"A2Pr.007",Neito'eino',2,,,,
"A2Pr.007",noh,3,,,,
"A2Pr.007",Biin-inee,4,,,,
"A2Pr.007",heetihbixoo3eti3i',5,,,,
"A2Pr.007",heetihkou3iine'etii3i',6,,,,
"A2Pr.007",noh,7,,,,
"A2Pr.007",Heeteenebeti3i'.,8,,,,
"A2Pr.008",Hoonoyoohowunee,1,,,,
"A2Pr.008",se'iicooo.,2,,,,
"A2Pr.009",Hoonoyoohowunee,1,,,,
"A2Pr.009",Hotii,2,,,,
"A2Pr.010",Hoonoyoohowunee,1,,,,
"A2Pr.010",Noto'oowu'.,2,,,,
"A2Pr.011",Cihbee3hinee,1,,,,
"A2Pr.011",Neniteeno',2,,,,
"A2Pr.011","Heesowobeihi3i',",3,,,,
"A2Pr.011",[heetih]'ineniteeni3i'.,4,,,,
"A2Pr.012",Cihbee3hoti,1,,,,
"A2Pr.012",Nii'eihiiho',2,,,,
"A2Pr.012",Beisiihi',3,,,,
"A2Pr.012",tohbehP,4,,,,
"A2Pr.012",teesiihi',5,,,,
"A2Pr.012",Niine'etii3i'.,6,,,,
"A2Pr.013",cihbee3tii,1,,,,
"A2Pr.013",nuhu',2,,,,
"A2Pr.013",Hinono'eitiit.,3,,,,
"A2Pr.014",Heetihbeesbee3hoti,1,,,,
"A2Pr.014",Hinono'eino',2,,,,
"A2Pr.014",noh,3,,,,
"A2Pr.014",3owo3neniteeno'.,4,,,,
