ref,word,num,dep,label,dep2,label2
"Able.001",Niini'ceno'oonoo.,1,,,,
"Able.002",Niini'niibei'inoo.,1,,,,
"Able.003",Niini'iinikotiinoo.,1,,,,
"Able.004",Niini'wo3onoheinoo.,1,,,,
"Able.005",Niini'cebiseenoo.,1,,,,
"Able.006",Niini'hehiisi'ouhunoo.,1,,,,
"Able.007",Niini'neyei3einoo.,1,,,,
"Able.008",Niini'niiteiyookuunoo.,1,,,,
"Able.009",Niini'wo3onohwoo,1,,,,
"Able.009",neniisih'iit.,2,,,,
"Able.010",Niini'wohuukuhnoo.,1,,,,
"Able.011",Niini'cih'ote'eihnoo.,1,,,,
"Able.012",Niini'oxo'oninoo.,1,,,,
