ref,word,num,dep,label,dep2,label2
"Anim.001",Nuhu',1,,,,
"Anim.001",neneenit,2,,,,
"Anim.001",heneecee.,3,,,,
"Anim.002",Heneecee,1,,,,
"Anim.002",heeyeihbeeto'oo3i'.,2,,,,
"Anim.003",Nonookuneseet,1,,,,
"Anim.003",nooxonooteihit.,2,,,,
"Anim.004",Nonookuneseet,1,,,,
"Anim.004",tooxu'koseit.,2,,,,
"Anim.005",Nehe',1,,,,
"Anim.005",nooku,2,,,,
"Anim.005",heneeneyeteet.,3,,,,
"Anim.006",Nehe',1,,,,
"Anim.006",nooku,2,,,,
"Anim.006",niiniice'eihit.,3,,,,
"Anim.007",Nehe',1,,,,
"Anim.007",bee3ei,2,,,,
"Anim.007",nenei'ooku'oot.,3,,,,
"Anim.008",Nehe',1,,,,
"Anim.008",bee3ei,2,,,,
"Anim.008",niinoonohko3tobeet.,3,,,,
"Anim.009",Nehe',1,,,,
"Anim.009",hebes,2,,,,
"Anim.009",tooxu'ookuteet.,3,,,,
"Anim.010",Nehe',1,,,,
"Anim.010",hebes,2,,,,
"Anim.010",noonokooyeito'.,3,,,,
"Anim.011",Nehe',1,,,,
"Anim.011",siisiiko',2,,,,
"Anim.011",niinoute'.[sic?:ouu3i-],3,,,,
"Anim.012",Nehe',1,,,,
"Anim.012",siisiiko',2,,,,
"Anim.012",neniice'eihit.,3,,,,
"Anim.013",Nehe',1,,,,
"Anim.013",hookuu,2,,,,
"Anim.013",heeyoonineet.,3,,,,
"Anim.014",Nehe',1,,,,
"Anim.014",hookuu,2,,,,
"Anim.014",seeyooto',3,,,,
"Anim.014",heeyouhuu.,4,,,,
"Anim.015",Neneenit,1,,,,
"Anim.015",siisiiyei,2,,,,
"Anim.015",nohceineeyeihii.,3,,,,
