ref,word,num,dep,label,dep2,label2
"Anim2.001",Bee3ei,1,,,,
"Anim2.001",honou3i',2,,,,
"Anim2.001",hiteine'.,3,,,,
"Anim2.002",Coo3oni',1,,,,
"Anim2.002",3ii'ookuut.,2,,,,
"Anim2.003",Hebes,1,,,,
"Anim2.003",noosoubii3ihit.,2,,,,
"Anim2.004",Hooxei,1,,,,
"Anim2.004",heesneet.,2,,,,
"Anim2.005",Nisice,1,,,,
"Anim2.005",neeso'oot.,2,,,,
"Anim2.006",Koo'oh,1,,,,
"Anim2.006",neniitouuhut.,2,,,,
"Anim2.007",Nooku,1,,,,
"Anim2.007",3ii'okut.,2,,,,
"Anim2.008",Hookuu,1,,,,
"Anim2.008",benii3i',2,,,,
"Anim2.008",ciiis.,3,,,,
"Anim2.009",Siisiiko',1,,,,
"Anim2.009",heniinouwut.,2,,,,
"Anim2.010",3ee3i'otooyo',1,,,,
"Anim2.010",nonooo'useet.,2,,,,
"Anim2.011",Tekoonineihii,1,,,,
"Anim2.011",3ii'okut,2,,,,
"Anim2.011",hohooti'.,3,,,,
"Anim2.012",Hiwoxuu,1,,,,
"Anim2.012",niini'ceihit.,2,,,,
"Anim2.013",Woxhoox,1,,,,
"Anim2.013",nenei'ooku'oot.,2,,,,
"Anim2.014",Xoxooyoni',1,,,,
"Anim2.014",benii3ihit.,2,,,,
"Anim2.015",Yeiy,1,,,,
"Anim2.015",3ii'ookuut.,2,,,,
"Anim2.016",Kokiyote',1,,,,
"Anim2.016",nooho'useet.,2,,,,
