ref,word,num,dep,label,dep2,label2
"Announce.001",nuhu',1,,,,
"Announce.001","buckets,",2,,,,
"Announce.001",you,3,,,,
"Announce.001",know,4,,,,
"Announce.001",they,5,,,,
"Announce.001",got,6,,,,
"Announce.001",them,7,,,,
"Announce.001",buckets?,8,,,,
"Announce.002",cihnoonoote'.,1,,,,
"Announce.003",heetce'tonounowunee.,1,,,,
"Announce.004",heetce'tonounowunee,1,,,,
"Announce.004",nooke'ehk.,2,,,,
"Announce.005",you,1,,,,
"Announce.005",know,2,,,,
"Announce.005",nuhu',3,,,,
"Announce.006",besnooono.,1,,,,
"Announce.007",besnooono.,1,,,,
"Announce.008","besnooono,",1,,,,
"Announce.008",nuhu',2,,,,
"Announce.008","se'nooono,",3,,,,
"Announce.008","nuhu',",4,,,,
"Announce.009","heetce'tonounowunee,",1,,,,
"Announce.009","nih'iit,",2,,,,
"Announce.009",nooke'ehk.,3,,,,
"Announce.010",cihnoote'.,1,,,,
