ref,word,num,dep,label,dep2,label2
"ApCap.001","nihii,",1,,,,
"ApCap.001",teecxo',2,,,,
"ApCap.001",hecexonoh'oe,3,,,,
"ApCap.001","ci',",4,,,,
"ApCap.001",he'ih'ini,5,,,,
"ApCap.001",wowooniin.,6,,,,
"ApCap.002","3ebiihi',",1,,,,
"ApCap.002",neeyou,2,,,,
"ApCap.002",hinee,3,,,,
"ApCap.002","noobe'einiihi',",4,,,,
"ApCap.002","hiisoho',",5,,,,
"ApCap.002",noxuuteiniihi',6,,,,
"ApCap.002",hinee,7,,,,
"ApCap.002",niicooo'owu'.,8,,,,
"ApCap.003",3ebnoobe'einiihi',1,,,,
"ApCap.003","he'ne'niitohniicooo'owu',",2,,,,
"ApCap.003",heetou',3,,,,
"ApCap.003",that's,4,,,,
"ApCap.003",Salt,5,,,,
"ApCap.003",Lake.,6,,,,
"ApCap.004",he'ne'nih'iitP,1,,,,
"ApCap.004",he'ih'iicisi'entoo3i.,2,,,,
"ApCap.005",he'ih'iicisi'entoo3i.,1,,,,
"ApCap.006",tihwowooniinit,1,,,,
"ApCap.006",hii3e',2,,,,
"ApCap.006","[he'ih]'iine'etii,",3,,,,
"ApCap.006",he'ihnii3iine'etii.,4,,,,
"ApCap.007",wohei,1,,,,
"ApCap.007","nih'iicisentoot,",2,,,,
"ApCap.007",he'ih'iiniiniiteheibee.,3,,,,
"ApCap.008",wohei,1,,,,
"ApCap.008",tohnio'P,2,,,,
"ApCap.008",ni'iini,3,,,,
"ApCap.008","ni'o'ohonoh'oehiinit,",4,,,,
"ApCap.008","toh'uni,",5,,,,
"ApCap.008","tihcoonohookeenit,",6,,,,
"ApCap.008",wo'ei3,7,,,,
"ApCap.008",heeneiniP,8,,,,
"ApCap.008",beexo'ni'iine'etii.,9,,,,
"ApCap.009","“wohei,”",1,,,,
"ApCap.009","hee3eihok,",2,,,,
"ApCap.009",“neneenin,3,,,,
"ApCap.009",heetciineneen.,4,,,,
"ApCap.010",heetciineneen,1,,,,
"ApCap.010","hiisoho',",2,,,,
"ApCap.010",heetih'eeckoohun.,3,,,,
"ApCap.011",noh,1,,,,
"ApCap.011",niiyou,2,,,,
"ApCap.011",beebeet,3,,,,
"ApCap.011",neeneiP,4,,,,
"ApCap.011","heetnootow,",5,,,,
"ApCap.011",heetbisnootow:,6,,,,
"ApCap.012",nuhu',1,,,,
"ApCap.012","heniiheneihiitono,",2,,,,
"ApCap.012",nuhu',3,,,,
"ApCap.012",ho3ii,4,,,,
"ApCap.012",wo'ei3,5,,,,
"ApCap.012",niiyou,6,,,,
"ApCap.012",nuhu',7,,,,
"ApCap.012",ceese',8,,,,
"ApCap.012",wooxoho.,9,,,,
"ApCap.013",wohei,1,,,,
"ApCap.013",heetniisneniice3ei'oon,2,,,,
"ApCap.013",biitobeeniihi'.”,3,,,,
"ApCap.014",beni'wo'ohnoooneihit,1,,,,
"ApCap.014",toh'e'inowuni3i,2,,,,
"ApCap.014",hetciisiseet.,3,,,,
