ref,word,num,dep,label,dep2,label2
"ArBook.001",Heetnihi'koohunoo.,1,,,,
"ArBook.002",Hehwonesoohootow,1,,,,
"ArBook.002",ce'iskuu3ooo.,2,,,,
"ArBook.003",Heetou'ce'no'usee?,1,,,,
"ArBook.004",Tousoo,1,,,,
"ArBook.004",ceee3i'?,2,,,,
"ArBook.005",Heeyou,1,,,,
"ArBook.005",heetni'woteekoohuut?,2,,,,
"ArBook.006",Tou'uusiin?,1,,,,
"ArBook.007",Heetou'eeckooh?,1,,,,
"ArBook.008",Hetcihce'woteikuuton.,1,,,,
"ArBook.009",Kooneetni'iyihoo,1,,,,
"ArBook.009",Hooxono'oo?,2,,,,
"ArBook.010",Kooneetni'eix,1,,,,
"ArBook.010",hotookoubiixuut?,2,,,,
"ArBook.011",Keetni'cihbiin,1,,,,
"ArBook.011",bei'ci3ei'i?,2,,,,
"ArBook.012",Kooneetni'notoono3onohei'i,1,,,,
"ArBook.012",wo3onohoene'?,2,,,,
"ArBook.012",[NOTE,3,,,,
"ArBook.012",INT'G,4,,,,
"ArBook.012",use,5,,,,
"ArBook.012",of,6,,,,
"ArBook.012",LOC],7,,,,
"ArBook.013",Kooneetni'ciineyei3ei'i,1,,,,
"ArBook.013",hiiwoonhehe'?,2,,,,
"ArBook.014",Kooneetni'bene,1,,,,
"ArBook.014",nec?,2,,,,
"ArBook.015",Hooweentootiin.,1,,,,
"ArBook.016",Henee'eeno',1,,,,
"ArBook.016",heentoo3i'?,2,,,,
"ArBook.017",Kooneetni'wonben,1,,,,
"ArBook.017",nec?,2,,,,
"ArBook.018",Kooneetni'iyihoo,1,,,,
"ArBook.018",hotooneeno'oowuu'?,2,,,,
"ArBook.019",Kooneetni'iyihoo,1,,,,
"ArBook.019",niitoh'iinikotii3i'?,2,,,,
"ArBook.020",Kooneetni'noo'eiyei'i?,1,,,,
"ArBook.021",Kooneetni'iyihoo,1,,,,
"ArBook.021",ce'iskuu3ooot?,2,,,,
"ArBook.022",Hehciinoo'onitoon.,1,,,,
"ArBook.023",Heetce'no'useenoo.,1,,,,
"ArBook.024",Hi3hetcihce'woteikuuton.,1,,,,
"ArBook.025",Teeteehek,1,,,,
"ArBook.025",hototii?,2,,,,
"ArBook.026",Niibeeteeckoohunoo.,1,,,,
"ArBook.027",Cihbiini,1,,,,
"ArBook.027",bei'ci3ei'i.,2,,,,
"ArBook.028",Cih'otoonoo3esi,1,,,,
"ArBook.028",he'ii3ou'u.,2,,,,
"ArBook.029",Nookohunoo;,1,,,,
"ArBook.029",ce3ei'oo.,2,,,,
"ArBook.030",Heetyihoonoo,1,,,,
"ArBook.030",nei'eibehe'.,2,,,,
"ArBook.031",Heetyihoonoo,1,,,,
"ArBook.031",hei'eibeih'in.,2,,,,
"ArBook.032",Hehkookoh'ohwoon.,1,,,,
"ArBook.033",Cihwo3onohwuuni.,1,,,,
"ArBook.034",Tootouno,1,,,,
"ArBook.034",niihencebkoohuukoonootohoeno?,2,,,,
"ArBook.035",Heetnehnoo'oeyeinoo,1,,,,
"ArBook.035","neyei3eino'oowuu',",2,,,,
"ArBook.035",noh,3,,,,
"ArBook.035",heetkookoh'ohwoonoo;,4,,,,
"ArBook.035",kooni'iini?,5,,,,
"ArBook.036",Kooheetcihce'oontoon?,1,,,,
"ArBook.037",Kooheetciineyei'i?,1,,,,
"ArBook.038",Ciincou'uhu!,1,,,,
"ArBook.039",Ciinhi!,1,,,,
"ArBook.040",Hetwoteikuu3ei'i.,1,,,,
"ArBook.041",Ceebiiheti3i',1,,,,
"ArBook.041",hiiwoonhehe'.,2,,,,
"ArBook.042",Koonenosounicetenowoo?,1,,,,
"ArBook.043",Kooneetni'iyihoo,1,,,,
"ArBook.043",hotooneeno'oowuu'?,2,,,,
"ArBook.044",Heihtoustoo,1,,,,
"ArBook.044",toh'uusiini'?,2,,,,
"ArBook.045",Keineeteihi?,1,,,,
"ArBook.046",Keetni'ibiin,1,,,,
"ArBook.046",bei'ci3ei'i?,2,,,,
"ArBook.047 ",Heeyou,1,,,,
"ArBook.047 ",heetbii3hiitoonin,2,,,,
"ArBook.047 ",hi3ou'oo'ohk?,3,,,,
"ArBook.048",Kooheetyihoo,1,,,,
"ArBook.048",heetoo'eisee3i'?,2,,,,
"ArBook.049",Tootbisyihootiin?,1,,,,
"ArBook.050",Keetciiben,1,,,,
"ArBook.050",hiiwoonhehe'?,2,,,,
"ArBook.051",Kooneetni'inii3oonoo,1,,,,
"ArBook.051",neiteh'ei?,2,,,,
"ArBook.052",Nouuniinikotii.,1,,,,
"ArBook.053",Niibeetiiniikoheinoo.,1,,,,
"ArBook.054",Tooteentootiin?,1,,,,
"ArBook.055",Kooneetni'tonounoo,1,,,,
"ArBook.055",neniihencebkoohut?,2,,,,
"ArBook.056",Henee',1,,,,
"ArBook.056",tonounoot,2,,,,
"ArBook.056",neniihencebkoohut?,3,,,,
"ArBook.057",Tootheetcooh'ei'i?,1,,,,
"ArBook.058",Heetoustoon?,1,,,,
"ArBook.059",Heetneeckoohunoo.,1,,,,
"ArBook.060",Tootheihiitisee?,1,,,,
