ref,word,num,dep,label,dep2,label2
"Bam.001",Howoto'oo!,1,,,,
"Bam.001",Howoto'oo!,2,,,,
"Bam.002",Heeyou?,1,,,,
"Bam.003",Heebe,1,,,,
"Bam.003",Bee3ei.,2,,,,
"Bam.004",Heeyou,1,,,,
"Bam.004",Heitoustoobe?,2,,,,
"Bam.005",Ceebii'oot,1,,,,
"Bam.005",Hecesneecee.,2,,,,
"Bam.006",Heetwonoohowoono'.,1,,,,
"Bam.007",Noxuhu!,1,,,,
"Bam.008",Nonii!,1,,,,
"Bam.009",Hee.,1,,,,
"Bam.010",Nuhu',1,,,,
"Bam.010",hiisi',2,,,,
"Bam.010","hii3eti',",3,,,,
"Bam.010",Hecesneecee,4,,,,
"Bam.010",hiihoowco'oncebii'oo.,5,,,,
"Bam.011",Hohou,1,,,,
"Bam.011",beisii3ei[no']!,2,,,,
"Bam.012",Hii3eti'.,1,,,,
"Bam.012",Nii'oo'.,2,,,,
"Bam.013","'oo,",1,,,,
"Bam.013","hohou,",2,,,,
"Bam.013",nii'oo'.,3,,,,
"Bam.014",Hohou,1,,,,
"Bam.014",neito'eino'.,2,,,,
"Bam.015",Howoto'oo,1,,,,
"Bam.015",hiiceiteebin.,2,,,,
"Bam.016","Tous,",1,,,,
"Bam.016",Hecesneecee!,2,,,,
"Bam.017","Noohowun,",1,,,,
"Bam.017",heetkohei'it.,2,,,,
"Bam.018",Noosouhohooteihit.,1,,,,
"Bam.019",Woteiheihii.,1,,,,
"Bam.020",Hii3oobee'.,1,,,,
"Bam.021",Koociihi3oobee?,1,,,,
"Bam.022",Nooxeihi',1,,,,
"Bam.022",woow,2,,,,
"Bam.022",noowone'.,3,,,,
"Bam.023",Sooxe,1,,,,
"Bam.023",heh'eeckoohun.,2,,,,
"Bam.024",Heeckoohu'!,1,,,,
"Bam.025",Heeckoohu'!,1,,,,
"Bam.026",Cihnee,1,,,,
"Bam.026",Woteiheihii!,2,,,,
"Bam.027",Heetousih'oo?,1,,,,
"Bam.028",'ine,1,,,,
"Bam.028",heetnee'eesih'o',2,,,,
"Bam.028",Bambi.,3,,,,
"Bam.029","Wohei,",1,,,,
"Bam.029",nee'eesoo'.,2,,,,
"Bam.030","Bambi,",1,,,,
"Bam.030",neniisoo,2,,,,
"Bam.030",nehe',3,,,,
"Bam.030",Bambi.,4,,,,
"Bam.031","Noohobe',",1,,,,
"Bam.031",woow,2,,,,
"Bam.031",ceebiseet!,3,,,,
"Bam.032",Nii'ooke',1,,,,
"Bam.032",Noo'oheicenee!,2,,,,
"Bam.033",Teeteehek,1,,,,
"Bam.033",Hecesneecee?,2,,,,
"Bam.034",Nii'ooke',1,,,,
"Bam.034",Bambi!,2,,,,
"Bam.035",Nii'ooke',1,,,,
"Bam.035",Hecesneecee!,2,,,,
"Bam.036",Heetce'noohobe3en!,1,,,,
"Bam.037",Nii'ooke',1,,,,
"Bam.037",Hecesneecee!,2,,,,
"Bam.038",Nii'ooke',1,,,,
"Bam.038",Hecesneecee!,2,,,,
"Bam.039",Nii'ooke'!,1,,,,
"Bam.040",Seniisoohowunoo.,1,,,,
"Bam.041","Woteiheihii,",1,,,,
"Bam.041",nee'eesih'inoo.,2,,,,
"Bam.042",Nee'eestoo.,1,,,,
"Bam.043",Cihnee'eestoo.,1,,,,
"Bam.044",Koxu3ceno'oo.,1,,,,
"Bam.045",Nee'ee.,1,,,,
"Bam.046",Nooh'eno'.,1,,,,
"Bam.047",Hihtoustoo?,1,,,,
"Bam.048",Heetneeckoohunoo.,1,,,,
"Bam.049",Heetohtonoxteeni'!,1,,,,
"Bam.050",Nee'ee,1,,,,
"Bam.050",Bambi!,2,,,,
"Bam.051",Nee'ee!,1,,,,
"Bam.052","Niikoxo'ciitootiini',",1,,,,
"Bam.052",heebehnestoonoo3oo.,2,,,,
"Bam.053",Heeto3esoo',1,,,,
"Bam.053",neestoonoo'.,2,,,,
"Bam.054",Hoowuuni,1,,,,
"Bam.054","hohootno',",2,,,,
"Bam.054",wo'ei3,3,,,,
"Bam.054",coo'oo'oe'i.,4,,,,
"Bam.055",Heetkotousineno'.,1,,,,
"Bam.056",Nee'ee,1,,,,
"Bam.056","toyoohowu,",2,,,,
"Bam.056",heetniitowuseenoo.,3,,,,
"Bam.057",Ciinoxoonoo'ohk,1,,,,
"Bam.057",heetcih'eti3e3en.,2,,,,
"Bam.058",Hoownoxoonoo,1,,,,
"Bam.058","Bambi,",2,,,,
"Bam.058","cihnee,",3,,,,
"Bam.058",cihnee.,4,,,,
"Bam.059",Nii'ooke',1,,,,
"Bam.059",Hecesneecee!,2,,,,
"Bam.060",Heeyou,1,,,,
"Bam.060",heibii3hiitooninoo?,2,,,,
"Bam.061","Woxu'uno,",1,,,,
"Bam.061",henee3neeni'coo'.,2,,,,
"Bam.062",Nii'coo'!,1,,,,
"Bam.063",Kooheetbenoucet?,1,,,,
"Bam.064","Hiiko,",1,,,,
"Bam.064",ceebehbenoucetoo,2,,,,
"Bam.064",hinee.,3,,,,
"Bam.065",Koun,1,,,,
"Bam.065",cee'ese'einou'u,2,,,,
"Bam.065",bii3i,3,,,,
"Bam.065",nii'cooti'i.,4,,,,
"Bam.066",Woteiheihii!,1,,,,
"Bam.067",Heeyou,1,,,,
"Bam.067",no'oo?,2,,,,
"Bam.068",Heisonoo,1,,,,
"Bam.068",heihtou3ei'towuune'?,2,,,,
"Bam.069",Heeyou?,1,,,,
"Bam.070",Ciibehbii3i,1,,,,
"Bam.070",cee'ese'einou'u.,2,,,,
"Bam.071",Niiwonoote'inowoo.,1,,,,
"Bam.072",Beisiihi',1,,,,
"Bam.072",niini'iicetowoo,2,,,,
"Bam.072",woxu'uno,3,,,,
"Bam.072",hookoh,4,,,,
"Bam.072",heni'eeneyeteenoo,5,,,,
"Bam.072",noh,6,,,,
"Bam.072",beebeeseihteenoo.,7,,,,
"Bam.073",Beebeet,1,,,,
"Bam.073",ciibehbii3i,2,,,,
"Bam.073",woxu'uno,3,,,,
"Bam.073",tohwoxcooti'i.,4,,,,
"Bam.074",Nuhu',1,,,,
"Bam.074",nihiitono,2,,,,
"Bam.074",niineyeibii'eeneetowoo.,3,,,,
"Bam.075",Honoonoyoohootowoo!,1,,,,
