ref,word,num,dep,label,dep2,label2
"Bask.001",Ceikuusin.,1,,,,
"Bask.002",Ceikuutoni.,1,,,,
"Bask.003",Cesiskuusin.,1,,,,
"Bask.004",3ei'ikuusin.,1,,,,
"Bask.005",To'ootoo.,1,,,,
"Bask.006","To'ootoo,",1,,,,
"Bask.006",hiistii.,2,,,,
"Bask.007",To'ootoo,1,,,,
"Bask.008",Ce'to'ootoo.,1,,,,
"Bask.009",Heeto'ootowoo.,1,,,,
"Bask.010",Too'ootowoo.,1,,,,
"Bask.011",Ceebehxouuwooto'oo3ihin.,1,,,,
"Bask.012",Kuh'esiinii?,1,,,,
"Bask.013",Neeso,1,,,,
"Bask.013",hiistii.,2,,,,
"Bask.014",Yihkuutonin.,1,,,,
"Bask.015",Hiinkuutoo'.,1,,,,
"Bask.016",Hiinoo'oenoh'uhcehisibe'.,1,,,,
"Bask.017",Ceebeh'oseikuu3e'.,1,,,,
"Bask.018",Ceebeh'oseikuusin.,1,,,,
"Bask.019",Hoonoyoohootowoo,1,,,,
"Bask.019",hokoobe'.,2,,,,
"Bask.020",Hoonoyoohobeti.,1,,,,
"Bask.021",Hoonoyoohobeti'.,1,,,,
"Bask.022",Hoonoyoohowun.,1,,,,
"Bask.023",Hoonoyoohobe'.,1,,,,
"Bask.024",Hiisiitenin.,1,,,,
"Bask.025",Siiininee.,1,,,,
"Bask.026",Siiinin.,1,,,,
"Bask.027",Siiine',1,,,,
"Bask.028",Koo3ohow.,1,,,,
"Bask.029",Koo3oho',1,,,,
"Bask.030",Hebiitebin.,1,,,,
"Bask.031",Hebiitebe'.,1,,,,
"Bask.032",Ce'iisiitenin.,1,,,,
"Bask.033",Ce'iisiitene'.,1,,,,
"Bask.034",Ceno'oo',1,,,,
"Bask.034",hiisiitene'.,2,,,,
"Bask.035",3eboowkoohuuhun.,1,,,,
"Bask.036",3eboowkoohuuhe'.,1,,,,
"Bask.037",Hoowkoohuuhun.,1,,,,
"Bask.038",Hoowkoohuuhe'.,1,,,,
"Bask.039",Hiise'enou'u.,1,,,,
"Bask.040",Cii3kuusin.,1,,,,
"Bask.041",Neeco'oo'.,1,,,,
"Bask.042",Wo3onoheihii.,1,,,,
"Bask.043",He'iyoo.,1,,,,
"Bask.044",Heco'onin.,1,,,,
"Bask.045",Heh'iinikotiin.,1,,,,
"Bask.046",Hooyeino'.,1,,,,
"Bask.047",Hooyooni'.,1,,,,
"Bask.048",Hooyoo3ee3i'.,1,,,,
"Bask.049",Hooyoo3een.,1,,,,
"Bask.050",Hooyoo3eenee.,1,,,,
"Bask.051",Hooyoo3eino'.,1,,,,
"Bask.052",Hooyoo3eeno'.,1,,,,
"Bask.053",Heniistiit.,1,,,,
"Bask.054",Heniistiin.,1,,,,
"Bask.055",Kokoh'ohwoo'.,1,,,,
"Bask.056",Koxo'uutenoo.,1,,,,
"Bask.057",Heetyihkuutone3en.,1,,,,
"Bask.058",Ceebeh'ebiitebei3i'.,1,,,,
"Bask.059",3oxon3eiito'usibin.,1,,,,
"Bask.060",Nei'oonoyoohobe'.,1,,,,
"Bask.061",Tou'kuu3e',1,,,,
"Bask.061",he'iyoo.,2,,,,
"Bask.062",Cesiskuu3e',1,,,,
"Bask.062",he'iyoo.,2,,,,
"Bask.063",Cetenowoot.,1,,,,
"Bask.064",Ceebehcetenowoo.,1,,,,
"Bask.065",Nihbee3cetenowoonoo.,1,,,,
"Bask.066",Nihbee3cetenowoot.,1,,,,
"Bask.067",Kookoh'ohwoohuubeet.,1,,,,
"Bask.068",Kokoh'ohwoohuu3eihii.,1,,,,
"Bask.069",Ciiciiciiheihiiho'.,1,,,,
"Bask.070",Ceceteicetenowoot.,1,,,,
"Bask.071",Henee',1,,,,
"Bask.071",heetnii3inoot.,2,,,,
"Bask.072",Henii3itooninowoo3i'.,1,,,,
"Bask.073",Hotohuutoxcetenowoo?,1,,,,
"Bask.074",Ce'ihcehisibin.,1,,,,
"Bask.075",Too33eiikuu3ei'i.,1,,,,
"Bask.076",Neeceeseino'.,1,,,,
"Bask.077",Neeceeno'.,1,,,,
"Bask.078",Kokoh'ohwoohuuho'.,1,,,,
"Bask.079",3o3oukoohu.,1,,,,
"Bask.080",Ceebeh'iihe'too,1,,,,
"Bask.080",to'ootoo.***,2,,,,
"Bask.081 ",He3eboownei'ooku'oo.,1,,,,
"Bask.082",Niis,1,,,,
"Bask.082",nooh'uhcehisiwoot.,2,,,,
"Bask.083",Heco'owoot.,1,,,,
"Bask.084",Tou'uxoo?,1,,,,
"Bask.085",Neeceeno',1,,,,
"Bask.085",[hi]neectou'kuu3ooninoo.,2,,,,
"Bask.086",niis,1,,,,
"Bask.086",ceecebiehti3i'.,2,,,,
"Bask.087",Cebe'eihcehiit.,1,,,,
"Bask.088",Neeso,1,,,,
"Bask.088",ceebe'eitiin.,2,,,,
"Bask.089",Yonoo3onei'i,1,,,,
"Bask.089",ceebe'eitiin.,2,,,,
"Bask.090",Hoonoyoohootoo,1,,,,
"Bask.090",nonooxeihi'.,2,,,,
"Bask.091",No3onto'oo3oo.,1,,,,
"Bask.092",Ceno'ooto'oo3oo.,1,,,,
"Bask.093",3i'ookuuto'oo3oo.,1,,,,
"Bask.094",Neehii3ei',1,,,,
"Bask.094",ceno'oohuu.,2,,,,
"Bask.095",Nooxohoecii3ihcehit.,1,,,,
"Bask.096",Niisiino'o',1,,,,
"Bask.096",3io'kuutooo.,2,,,,
"Bask.097",Teb3e'ineebiixuut.,1,,,,
"Bask.098",Kokoh'ohwooniini,1,,,,
"Bask.098",heixo'ono.,2,,,,
"Bask.099",Hee3ei'neeniinikotiit.,1,,,,
"Bask.100",Nih'oniitowoo!,1,,,,
