ref,word,num,dep,label,dep2,label2
"Bates.001",he'ih'ootiino',1,,,,
"Bates.001",nuhu',2,,,,
"Bates.001",beh'eihoho',3,,,,
"Bates.001",hunit.,4,,,,
"Bates.002",beh'eihoho',1,,,,
"Bates.002",noh,2,,,,
"Bates.002",wo'ei3,3,,,,
"Bates.002",heeneiteihinoo3i,4,,,,
"Bates.002",woow,5,,,,
"Bates.002","hitiiteen,",6,,,,
"Bates.002",he'ih'ootiino'.,7,,,,
"Bates.003",He'ne'ii'bisiitonei3i',1,,,,
"Bates.003",nuh'uuno,2,,,,
"Bates.003",nihii,3,,,,
"Bates.003",nonooneeheini3i.,4,,,,
"Bates.004",'oh,1,,,,
"Bates.004",ne'iini,2,,,,
"Bates.004",nosouP,3,,,,
"Bates.004",tih'ini,4,,,,
"Bates.004",boo'ei3i',5,,,,
"Bates.004",nuhu'.,6,,,,
"Bates.005",henee3neeniisiini,1,,,,
"Bates.005",booboo'ei3i'.,2,,,,
"Bates.006",neneeninoo,1,,,,
"Bates.006",noh,2,,,,
"Bates.006",hu'un,3,,,,
"Bates.006",wooneihi3i',4,,,,
"Bates.006",honoh'oho'.,5,,,,
"Bates.007",betebiP,1,,,,
"Bates.007",betebihoho',2,,,,
"Bates.007",he'ihcisiini,3,,,,
"Bates.007",3owoucitiino',4,,,,
"Bates.007",hiyeih'inoo.,5,,,,
"Bates.008",ne'P,1,,,,
"Bates.008",nih'iiteeteesenou'u,2,,,,
"Bates.008","hu'un,",3,,,,
"Bates.008","niisih'oo3i',",4,,,,
"Bates.008",nih'iiteeseyei3i'.,5,,,,
"Bates.009",nih'ii3ookuhoo3i'.,1,,,,
"Bates.010",Noh,1,,,,
"Bates.010",hi'in,2,,,,
"Bates.010",nebesiibehe',3,,,,
"Bates.010",nebesiibehe',4,,,,
"Bates.010",ne'cih'esooku'oot.,5,,,,
"Bates.011",cih'esoohowoot,1,,,,
"Bates.011",nuh'uuno,2,,,,
"Bates.011",nonooneeheini3i.,3,,,,
"Bates.012",“cihnee!”,1,,,,
"Bates.012",nih'ii3eihok,2,,,,
"Bates.012",nuh'uuno.,3,,,,
"Bates.013",“neenowo'!”,1,,,,
"Bates.014",“cihnee!,1,,,,
