ref,word,num,dep,label,dep2,label2
"Bear.001",Hini',1,,,,
"Bear.001",heebe3wo'teenox,2,,,,
"Bear.001",nih'iibiinoot,3,,,,
"Bear.001",biibinootno.,4,,,,
"Bear.001",[sic:,5,,,,
"Bear.001",bii3i-],6,,,,
"Bear.002",Ci'nih'iibiinoot,1,,,,
"Bear.002","hooxehibino,",2,,,,
"Bear.002","ne'ibino,",3,,,,
"Bear.002",noh,4,,,,
"Bear.002",toxu'uwuno.,5,,,,
"Bear.003",Ci'nih'iibiinoot,1,,,,
"Bear.003",hinooox.,2,,,,
"Bear.003",[sic:,3,,,,
"Bear.003",bii3i-],4,,,,
"Bear.004",Nih'oowuniihisee[t],1,,,,
"Bear.004","neci',",2,,,,
"Bear.004",noh,3,,,,
"Bear.004",nih'iibiinoot,4,,,,
"Bear.004",nowo'uu.,5,,,,
"Bear.005",Nehe',1,,,,
"Bear.005",wo'teenox,2,,,,
"Bear.005",nih'iibee3bii3ihit,3,,,,
"Bear.005",tih'eyeinooke'.,4,,,,
"Bear.006",Hiihoowbii3ihi,1,,,,
"Bear.006",nookoo3iihi'.,2,,,,
