ref,word,num,dep,label,dep2,label2
"BlCl2.001",Teecxo',1,,,,
"BlCl2.001",nihniiseekuu'u,2,,,,
"BlCl2.001",3ouuyokoyono.,3,,,,
"BlCl2.002",Hini',1,,,,
"BlCl2.002","ceese',",2,,,,
"BlCl2.002",beh'eihehi',3,,,,
"BlCl2.002",noh,4,,,,
"BlCl2.002",hiniin.,5,,,,
"BlCl2.003",[Hini',1,,,,
"BlCl2.003",hoo3oo'o'],2,,,,
"BlCl2.003",hitoonehinoo,3,,,,
"BlCl2.003",noh,4,,,,
"BlCl2.003","hi3e'exunoo,",5,,,,
"BlCl2.003",ne'niitoo3i'.,6,,,,
"BlCl2.004",Noh,1,,,,
"BlCl2.004",nehe',2,,,,
"BlCl2.004",hinen,3,,,,
"BlCl2.004",nihwoniinoo'eit;,4,,,,
"BlCl2.005",noh,1,,,,
"BlCl2.005",nihno'uxotiit,2,,,,
"BlCl2.005","hoseino',",3,,,,
"BlCl2.005",noh,4,,,,
"BlCl2.005",[hih]'oowoxo'oe,5,,,,
"BlCl2.006",Nehe',1,,,,
"BlCl2.006",beh'eihehi',2,,,,
"BlCl2.006",nihce'wonotiitiit,3,,,,
"BlCl2.006",hoseino';,4,,,,
"BlCl2.007",noh,1,,,,
"BlCl2.007","[hih]'oowbii'iitii,",2,,,,
"BlCl2.007",noh,3,,,,
"BlCl2.007",nihnoohowoot.,4,,,,
"BlCl2.008",Noh,1,,,,
"BlCl2.008",nehe',2,,,,
"BlCl2.008",beh'eihehi',3,,,,
"BlCl2.008",noh,4,,,,
"BlCl2.008",hiniin,5,,,,
"BlCl2.008",nih'esnee3i'.,6,,,,
"BlCl2.009",Nihce'woniinoo'eit.,1,,,,
"BlCl2.010",Nihnoohowoot,1,,,,
"BlCl2.010",heneeceeno.,2,,,,
"BlCl2.011",Hee3ebiitookuseet,1,,,,
"BlCl2.011",nuhu',2,,,,
"BlCl2.011",heneeceeno,3,,,,
"BlCl2.011",niitooni3i.,4,,,,
"BlCl2.012",Ne'koxo'oo3i'ookuut.,1,,,,
"BlCl2.013",Hii3einoon,1,,,,
"BlCl2.013","nihtokohu3i',",2,,,,
"BlCl2.014",noh,1,,,,
"BlCl2.014",nehe',2,,,,
"BlCl2.014",beh'eihehi',3,,,,
"BlCl2.014",nihyih'oonoot.,4,,,,
"BlCl2.015",Nih'iteno',1,,,,
"BlCl2.015",nuhu',2,,,,
"BlCl2.015",ho3.,3,,,,
"BlCl2.016",Hinee,1,,,,
"BlCl2.016","ho3,",2,,,,
"BlCl2.016",heniinonoo'oot,3,,,,
"BlCl2.016",nehe',4,,,,
"BlCl2.016","hii3einoon,",5,,,,
"BlCl2.016",['oh],6,,,,
"BlCl2.016",hoowoninoo'oo.,7,,,,
"BlCl2.017",Nehe',1,,,,
"BlCl2.017",beh'eihehi',2,,,,
"BlCl2.017",honoonoyoohowoot;,3,,,,
"BlCl2.018",hoowoninoo'oo;,1,,,,
"BlCl2.018",kooxo'ooce3ei'oot,2,,,,
"BlCl2.018",nehe',3,,,,
"BlCl2.018","hii3einoon,",4,,,,
"BlCl2.019",ne'koxuutenihi'koohut.,1,,,,
"BlCl2.020",Nehe',1,,,,
"BlCl2.020",beh'eihehi',2,,,,
"BlCl2.020","nihneetinoo'oot,",3,,,,
"BlCl2.021",nihce'eeckoohut;,1,,,,
"BlCl2.021",hoowuuni,2,,,,
"BlCl2.021",hoseino'.,3,,,,
"BlCl2.022",Beh'eihehi',1,,,,
"BlCl2.022",ce3ei'oot,2,,,,
"BlCl2.022",hinee,3,,,,
"BlCl2.022",hii3einoon,4,,,,
"BlCl2.022","niitoot,",5,,,,
"BlCl2.023",nihnoohooto',1,,,,
"BlCl2.023",be'.,2,,,,
"BlCl2.024",Nehe',1,,,,
"BlCl2.024",beh'eihehi',2,,,,
"BlCl2.024",kookoh'outiit.,3,,,,
"BlCl2.025","Be',",1,,,,
"BlCl2.025",hoowuuni,2,,,,
"BlCl2.025",ho'.,3,,,,
"BlCl2.026","Ne'wo'teno',",1,,,,
"BlCl2.027",noh,1,,,,
"BlCl2.027",neniiseno',2,,,,
"BlCl2.027",hibiixuutone'.,3,,,,
"BlCl2.028",Noh,1,,,,
"BlCl2.028",he3ebeeckoohut;,2,,,,
"BlCl2.028",nih'ei'towuunoot,3,,,,
"BlCl2.028","hiniin,",4,,,,
