ref,word,num,dep,label,dep2,label2
"BorHo.001",A,1,,,,
"BorHo.001",kooceentootiin?,2,,,,
"BorHo.002",B,1,,,,
"BorHo.002","hee,",2,,,,
"BorHo.002",heentooni'.,3,,,,
"BorHo.003","cihciitei,",1,,,,
"BorHo.003",ceenoku!,2,,,,
"BorHo.004",bebiyoohun,1,,,,
"BorHo.004",woo'teenoowu'.,2,,,,
"BorHo.005",A,1,,,,
"BorHo.005",hohou.,2,,,,
"BorHo.006",B,1,,,,
"BorHo.006",keitonoun,2,,,,
"BorHo.006",niisiscoo'?,3,,,,
"BorHo.007",keinookoowtoo?,1,,,,
"BorHo.008",A,1,,,,
"BorHo.008",beebeet,2,,,,
"BorHo.008",niisiscoo'.,3,,,,
"BorHo.009",B,1,,,,
"BorHo.009",wohei,2,,,,
"BorHo.009",hotootou3eesee?,3,,,,
"BorHo.010",A,1,,,,
"BorHo.010",niicihwonootoonobe3en,2,,,,
"BorHo.010",heteexokuutooo.,3,,,,
"BorHo.011",B,1,,,,
"BorHo.011",hetou3eebeetonounoo,2,,,,
"BorHo.012",A,1,,,,
"BorHo.012",heetniinoo'einoo.,2,,,,
"BorHo.013",B,1,,,,
"BorHo.013",henee'eeno',2,,,,
"BorHo.013",heinotiihooono'?,3,,,,
"BorHo.014",A,1,,,,
"BorHo.014",hiwoxuuhuunoseino',2,,,,
"BorHo.014",neesnouhu',3,,,,
"BorHo.015",B,1,,,,
"BorHo.015","hee,",2,,,,
"BorHo.015",kooheetni'wo'xeenoo?,3,,,,
"BorHo.016",A,1,,,,
"BorHo.016","hee,",2,,,,
"BorHo.016",heetni'wo'xeeno'.,3,,,,
"BorHo.017",B,1,,,,
"BorHo.017",heetohuucistonounoo?,2,,,,
"BorHo.018",A,1,,,,
"BorHo.018",bebene,2,,,,
"BorHo.018",niis,3,,,,
"BorHo.018",wo'ei3,4,,,,
"BorHo.018",neesiiis.,5,,,,
"BorHo.019",B,1,,,,
"BorHo.019","hee,",2,,,,
"BorHo.019",hetkoxo'uten.,3,,,,
"BorHo.020",hehneeceneeseihit,1,,,,
"BorHo.020",nehe',2,,,,
"BorHo.020",woxhoox.,3,,,,
"BorHo.021",hini',1,,,,
"BorHo.021","kooxoxoneih[it],",2,,,,
"BorHo.021",noonowoon,3,,,,
"BorHo.021",niineseihcehit.,4,,,,
"BorHo.022",A,1,,,,
"BorHo.022","hee,",2,,,,
"BorHo.022",heetnoonoyoohootowooni'.,3,,,,
"BorHo.023",B,1,,,,
"BorHo.023",hee.,2,,,,
"BorHo.024",3eneiisi'i,1,,,,
"BorHo.024",ko'einoxoeyoone'.,2,,,,
"BorHo.025",hini',1,,,,
"BorHo.025",woo'teeneihit,2,,,,
"BorHo.025",neneenit.,3,,,,
"BorHo.026",heetou'ce3xohoo?,1,,,,
"BorHo.027",A,1,,,,
"BorHo.027",nohkuseic.,2,,,,
"BorHo.028",B,1,,,,
"BorHo.028",heetce'noohobe3en.,2,,,,
"BorHo.029",A,1,,,,
"BorHo.029",heetce'noohobe3en.,2,,,,
