ref,word,num,dep,label,dep2,label2
"BoyB.001",Honoh'oehihi',1,,,,
"BoyB.001",he'ihnoohobee,2,,,,
"BoyB.001",woxuu.,3,,,,
"BoyB.002",Honoh'oe,1,,,,
"BoyB.002",he'ih3ookuhee,2,,,,
"BoyB.002",woxuu.,3,,,,
"BoyB.003",Wox,1,,,,
"BoyB.003",he'ihnoohobee,2,,,,
"BoyB.003",honoh'oehiho'.,3,,,,
"BoyB.004",Wox,1,,,,
"BoyB.004",he'ihyih'oonee,2,,,,
"BoyB.004",honoh'oehiho'.,3,,,,
"BoyB.005",Honoh'oehihi',1,,,,
"BoyB.005",he'ihnoohobee,2,,,,
"BoyB.005",hohootin.,3,,,,
"BoyB.006",Honoh'oehihi',1,,,,
"BoyB.006",he'ihyihkooh,2,,,,
"BoyB.006",hohootin.,3,,,,
"BoyB.007",Honoh'oehihi',1,,,,
"BoyB.007",he'ihnoh'ouuh,2,,,,
"BoyB.007",hohootin.,3,,,,
"BoyB.008",Wox,1,,,,
"BoyB.008",he'ihyihkooh,2,,,,
"BoyB.008",hohootin.,3,,,,
"BoyB.009",Wox,1,,,,
"BoyB.009",he'ihnoh'ouuh,2,,,,
"BoyB.009",hohootin.,3,,,,
"BoyB.010",Honoh'oehihi',1,,,,
"BoyB.010",he'ihniihouuh,2,,,,
"BoyB.010",hiteine'.,3,,,,
"BoyB.011",Wox,1,,,,
"BoyB.011",he'ih3ookuhee,2,,,,
"BoyB.011",honoh'oehiho'.,3,,,,
"BoyB.012",Hitei,1,,,,
"BoyB.012",he'ihtebinoo'oo.,2,,,,
"BoyB.013",Honoh'oehihi',1,,,,
"BoyB.013",hokootyiisceno'oot,2,,,,
"BoyB.013",hitei,3,,,,
"BoyB.014",Wox,1,,,,
"BoyB.014",he'ihneyei3ookceno'oo.,2,,,,
"BoyB.015",Nehe',1,,,,
"BoyB.015",wox,2,,,,
"BoyB.015","tohceno'oot,",3,,,,
"BoyB.015",he'ihcenis.,4,,,,
"BoyB.016",Honoh'oehihi',1,,,,
"BoyB.016",he'ihciicenis.,2,,,,
"BoyB.017",Wox,1,,,,
"BoyB.017",he'ihnec.,2,,,,
"BoyB.018",Nehe',1,,,,
"BoyB.018",honoh'oehihi',2,,,,
"BoyB.018",hei'ceni3oot,3,,,,
"BoyB.018","woxuu,",4,,,,
"BoyB.018",he'ihno'eeckooh.,5,,,,
"BoyB.019",Hinenno',1,,,,
"BoyB.019",he'ihnoohobeeno',2,,,,
"BoyB.019",honoh'oehiho',3,,,,
"BoyB.019",hihii3iihi',4,,,,
"BoyB.019",hiyeih'inoo.,5,,,,
"BoyB.020",Noh,1,,,,
"BoyB.020","he'ih'iino',",2,,,,
"BoyB.020",“heniihoho'neiht,3,,,,
"BoyB.020",honoh'oehihi'.”,4,,,,
