ref,word,num,dep,label,dep2,label2
"Buff2.001",nihcii'ini,1,,,,
"Buff2.001",nehe',2,,,,
"Buff2.001","hii3einoon,",3,,,,
"Buff2.002",nihP,1,,,,
"Buff2.002","ceniibiibii'iihoonoo3i,",2,,,,
"Buff2.002",noh,3,,,,
"Buff2.002",nih'iiwo'wuuhu3i'.,4,,,,
"Buff2.003",nih'iinoonotiihoo3i',1,,,,
"Buff2.003",nuhu',2,,,,
"Buff2.003",hibii3hiininoo.,3,,,,
"Buff2.004",nenee',1,,,,
"Buff2.004",heihbii3hiitoonin.,2,,,,
"Buff2.005",hoowuuhu',1,,,,
"Buff2.005",wookec.,2,,,,
"Buff2.006",hii3einoon,1,,,,
"Buff2.006",neneenit,2,,,,
"Buff2.006",heihbiinoonin.,3,,,,
"Buff2.007",'oh,1,,,,
"Buff2.007","huuwoonhehe',",2,,,,
"Buff2.007",niiheyei'o'toobeeno',3,,,,
"Buff2.007",huu3e',4,,,,
"Buff2.007","nihii,",5,,,,
"Buff2.008",hinee,1,,,,
"Buff2.008",nenihooP,2,,,,
"Buff2.008","'ohoene',",3,,,,
"Buff2.008",heentoo3i',4,,,,
"Buff2.008",wookecii.,5,,,,
"Buff2.009",They're,1,,,,
"Buff2.009",about,2,,,,
"Buff2.009",eating,3,,,,
"Buff2.009",them,4,,,,
"Buff2.009",cows,5,,,,
"Buff2.009",up,6,,,,
"Buff2.009",at,7,,,,
"Buff2.009",the,8,,,,
"Buff2.009","ranch,",9,,,,
"Buff2.009",I,10,,,,
"Buff2.009",said.,11,,,,
"Buff2.010",The,1,,,,
"Buff2.010",authentic,2,,,,
"Buff2.010",way,3,,,,
"Buff2.010",it,4,,,,
"Buff2.010",to,5,,,,
"Buff2.010",eat,6,,,,
"Buff2.010","uhh,",7,,,,
"Buff2.010",buffalo.,8,,,,
"Buff2.011","hii3einoon,",1,,,,
"Buff2.011",yeah.,2,,,,
"Buff2.012",he'eetniini,1,,,,
"Buff2.012",nihii,2,,,,
"Buff2.012",ciiciinontootiini',3,,,,
"Buff2.012",nuhu',4,,,,
"Buff2.012",heeneesiini,5,,,,
"Buff2.012",'oh,6,,,,
"Buff2.013",nuhu',1,,,,
"Buff2.013",buffP,2,,,,
"Buff2.013",hii3einoon[in],3,,,,
"Buff2.013",hiibeexuuneen[in],4,,,,
"Buff2.013",neihnoh'ooninoo.,5,,,,
"Buff2.014",hiibeexuuneen[in],1,,,,
"Buff2.014",neihbii3woo3ooninoo.,2,,,,
"Buff2.015",heetih'e'inowuni3i,1,,,,
"Buff2.015",hiniisiihehinoo,2,,,,
"Buff2.015",wo'ei3,3,,,,
"Buff2.015",hiP,4,,,,
"Buff2.015","hiniisooninoo,",5,,,,
"Buff2.016",heetneyeinee'eestooni3i:,1,,,,
"Buff2.017",heetneyeih'ini,1,,,,
"Buff2.017","heenei'towuunoo3i',",2,,,,
"Buff2.018",neneenit,1,,,,
"Buff2.018",hee3neeniihi',2,,,,
"Buff2.018","hebii3hiinin,",3,,,,
"Buff2.018",nehe',4,,,,
"Buff2.018",hii3einoon.,5,,,,
