ref,word,num,dep,label,dep2,label2
"Bug.001","Well,",1,,,,
"Bug.001",nuh'uuno,2,,,,
"Bug.001","hoo3itoo,",3,,,,
"Bug.001",hi'in,4,,,,
"Bug.001",teecxo',5,,,,
"Bug.001",tih'ini,6,,,,
"Bug.001","hentou'u',",7,,,,
"Bug.001",niine'eehek,8,,,,
"Bug.001",neh'eeno,9,,,,
"Bug.001","biisee,",10,,,,
"Bug.001",hini',11,,,,
"Bug.001","uhh,",12,,,,
"Bug.002",He'ih'ini,1,,,,
"Bug.002",wonotonou,2,,,,
"Bug.002",noh,3,,,,
"Bug.002",besiiseii.,4,,,,
"Bug.003",Noh,1,,,,
"Bug.003","he'ih'ini,",2,,,,
"Bug.003",he'ihtesii3eih.,3,,,,
"Bug.004",Teecxo',1,,,,
"Bug.004",he'ne'koxuuteniini,2,,,,
"Bug.005",he'ih'ii3e',1,,,,
"Bug.005",nuhu',2,,,,
"Bug.005",beeheeteihini3,3,,,,
"Bug.005",tohcihciineneit,4,,,,
"Bug.005",teesiihi',5,,,,
"Bug.005",nuhu',6,,,,
"Bug.005","biito'owuu',",7,,,,
"Bug.006",Hetnoonoyoohobetin.,1,,,,
"Bug.007",Heetniini,1,,,,
"Bug.007",wootii,2,,,,
"Bug.007",nii'ihoti,3,,,,
"Bug.007",niine'eeno',4,,,,
"Bug.007",hoo3oo'uu,5,,,,
"Bug.007",cese'eihiiho'.,6,,,,
"Bug.008",Noh,1,,,,
"Bug.008",wootii,2,,,,
"Bug.008",heetniini,3,,,,
"Bug.008",tesP,4,,,,
"Bug.008",tesneyeihe'inow,5,,,,
"Bug.008",nuhu',6,,,,
"Bug.008",heet3ooku3oo.,7,,,,
"Bug.009",nuhu',1,,,,
"Bug.009","heesinihii3e3en,",2,,,,
"Bug.009",nih'ii3eit,3,,,,
"Bug.009",beeheeteihini3.,4,,,,
"Bug.010",Noh,1,,,,
"Bug.010",he'ih'iini,2,,,,
"Bug.010",co'onceh'e3tii.,3,,,,
"Bug.011",He'ihceh'e3ihee,1,,,,
"Bug.011","neniteeno,",2,,,,
"Bug.011",wo'ei3,3,,,,
"Bug.011",hoo3oo'o'uu,4,,,,
"Bug.011",cese'eihiiho.,5,,,,
"Bug.012","He'ne'ini,",1,,,,
"Bug.012",he'ihP,2,,,,
"Bug.012",he'ih'iiP,3,,,,
"Bug.012",wootii,4,,,,
"Bug.012",noxowuneeteih.,5,,,,
"Bug.013","Hoowuuni'ooP,",1,,,,
"Bug.013","hoowuni'oo,",2,,,,
"Bug.013",niiyou,3,,,,
"Bug.013",tihbi'co'onceh'e3tiitooni'.,4,,,,
"Bug.014",He'eeneisi3ecoo.,1,,,,
"Bug.015",HiiniP,1,,,,
"Bug.015","cii3o'P,",2,,,,
"Bug.015",kookon,3,,,,
"Bug.015","woosooP,",4,,,,
"Bug.015",kookon,5,,,,
"Bug.015",noxowuneeteihinoo.,6,,,,
