ref,word,num,dep,label,dep2,label2
"CHD12.001",A,1,,,,
"CHD12.001",Heebe.,2,,,,
"CHD12.002",B,1,,,,
"CHD12.002",Ceenoku.,2,,,,
"CHD12.003",B,1,,,,
"CHD12.003",Kooheisbii3ih?,2,,,,
"CHD12.004",A,1,,,,
"CHD12.004",Hiiko.,2,,,,
"CHD12.005",B,1,,,,
"CHD12.005",Kooheesnee?,2,,,,
"CHD12.006",A,1,,,,
"CHD12.006",Heesneenoo.,2,,,,
"CHD12.007",B,1,,,,
"CHD12.007",Hii3eti'.,2,,,,
"CHD12.008",B,1,,,,
"CHD12.008",Heetihbii3ihin.,2,,,,
"CHD12.009",A,1,,,,
"CHD12.009",Heetnii3bii3hiibe3en.,2,,,,
"CHD12.010",A,1,,,,
"CHD12.010",Nookooyeinoo.,2,,,,
"CHD12.011",B,1,,,,
"CHD12.011",Bene,2,,,,
"CHD12.011",nec.,3,,,,
