ref,word,num,dep,label,dep2,label2
"CLOTH.001",Hehiisetii,1,,,,
"CLOTH.001",hinee,2,,,,
"CLOTH.001",biixuut.,3,,,,
"CLOTH.002",Tooteeti',1,,,,
"CLOTH.002",hinee,2,,,,
"CLOTH.002",hiseinbiixuut.,3,,,,
"CLOTH.003",Nuhu',1,,,,
"CLOTH.003",hookoubiixuut,2,,,,
"CLOTH.003",heniisiiyoo'.,3,,,,
"CLOTH.004",Hiihoowuhto'eihi',1,,,,
"CLOTH.004",hinee,2,,,,
"CLOTH.004",wotoo.,3,,,,
"CLOTH.005",Hetiiyooten,1,,,,
"CLOTH.005",hinee,2,,,,
"CLOTH.005",wo'oh.,3,,,,
"CLOTH.006",Heetnotoonouhunoo,1,,,,
"CLOTH.006",wonooneihit,2,,,,
"CLOTH.006",koyootee.,3,,,,
"CLOTH.007",Ceikuusin,1,,,,
"CLOTH.007",hinee,2,,,,
"CLOTH.007",wosouhu'.,3,,,,
"CLOTH.008",Hetceixotii,1,,,,
"CLOTH.008",niise'eici.,2,,,,
"CLOTH.009",Hinee,1,,,,
"CLOTH.009",wote',2,,,,
"CLOTH.009",neihoowuteeko'.,3,,,,
"CLOTH.010",Hetehteesciinenoo,1,,,,
"CLOTH.010",nehe',2,,,,
"CLOTH.010",3ooxe,3,,,,
"CLOTH.010",nototiibe'.,4,,,,
"CLOTH.011",Nuh'uuno,1,,,,
"CLOTH.011",heeyo'oono'ohno,2,,,,
"CLOTH.011",heni'no'uxoyou'u,3,,,,
"CLOTH.011",no'ooto.,4,,,,
"CLOTH.012",Heetwonotoonouhunoo,1,,,,
"CLOTH.012",hiiyeibiixuutono.,2,,,,
"CLOTH.013",Nihceneese',1,,,,
"CLOTH.013",notookuhu'eene',2,,,,
"CLOTH.013",noco'teeb.,3,,,,
"CLOTH.014",Nih'enetiinoo,1,,,,
"CLOTH.014",hini',2,,,,
"CLOTH.014",wo'ein,3,,,,
"CLOTH.014",heihbiiniit.,4,,,,
"CLOTH.015",Hini',1,,,,
"CLOTH.015",be'bei'ci3einiin,2,,,,
"CLOTH.015",wooxon,3,,,,
"CLOTH.015",nih'owoh'ouh'u'.,4,,,,
"CLOTH.016",Nuhu',1,,,,
"CLOTH.016",niixoonee3ee3oo,2,,,,
"CLOTH.016",heni'niibe3en.,3,,,,
"CLOTH.017",Teecxo',1,,,,
"CLOTH.017",cese',2,,,,
"CLOTH.017",niibiinee3i',3,,,,
"CLOTH.017",nih'eeneixou'u,4,,,,
"CLOTH.017",ceitoono.,5,,,,
"CLOTH.018",Heetceestone3en,1,,,,
"CLOTH.018",biisbiixuut.,2,,,,
"CLOTH.019",Nihneeceenohoo3eenoo,1,,,,
"CLOTH.019",hou.,2,,,,
"CLOTH.020",Hinee,1,,,,
"CLOTH.020",tei'yoonehe',2,,,,
"CLOTH.020",niinosouneixo',3,,,,
"CLOTH.020",tou'cihiit.,4,,,,
"CLOTH.021",Nehei,1,,,,
"CLOTH.021",heetniistoneinoo,2,,,,
"CLOTH.021",teeb3e'eneenooni'.,3,,,,
"CLOTH.022",Neeceenouwo,1,,,,
"CLOTH.022",nih'ee3neeni'isiiyou'u.,2,,,,
"CLOTH.023",Niiwonoutoonit,1,,,,
"CLOTH.023",beeteee3i.,2,,,,
"CLOTH.024",Hixono'ein,1,,,,
"CLOTH.024",nenii3inowoo,2,,,,
"CLOTH.024",neyeih'e'.,3,,,,
"CLOTH.025",Ceneeteenii'eihisei,1,,,,
"CLOTH.025",nee3neenoonoosohwoot,2,,,,
"CLOTH.025",hi'iihi',3,,,,
"CLOTH.025",hini',4,,,,
"CLOTH.025",cih'oosou.,5,,,,
"CLOTH.026",Benee3bee3i,1,,,,
"CLOTH.026",ho'nookee,2,,,,
"CLOTH.026","3i'ookuu,",3,,,,
"CLOTH.026",niiciito'o',4,,,,
"CLOTH.026",se'eictoot.,5,,,,
"CLOTH.027",Teecxo',1,,,,
"CLOTH.027",3oo3ouuteiseet,2,,,,
"CLOTH.027",nihtoyeinousetiit,3,,,,
"CLOTH.027",hibeteeneixo'ono.,4,,,,
"CLOTH.028",Nuh'uuno,1,,,,
"CLOTH.028",bei'ci3eiyookuu,2,,,,
"CLOTH.028",neihoowuni'ooku'oo,3,,,,
"CLOTH.028",woow.,4,,,,
"CLOTH.029",Heetneixowoo,1,,,,
"CLOTH.029",co'o'ein.,2,,,,
"CLOTH.030",Ceeciini'i,1,,,,
"CLOTH.030",ne'nii'tonounowoo,2,,,,
"CLOTH.030",cechou.,3,,,,
"CLOTH.031",Niiwonotoonooto',1,,,,
"CLOTH.031",hiseinbiixuut,2,,,,
"CLOTH.031",neehebehe'.,3,,,,
"CLOTH.032",Nihbii'inowoo,1,,,,
"CLOTH.032",touhoono'oh,2,,,,
"CLOTH.032",teesi',3,,,,
"CLOTH.032",hoheni'.,4,,,,
"CLOTH.033",Teecxo',1,,,,
"CLOTH.033",woxwohoono',2,,,,
"CLOTH.033",hiseino',3,,,,
"CLOTH.033",nihi'iini'bouheti3i'.,4,,,,
"CLOTH.034",Nesi,1,,,,
"CLOTH.034",niiniini'itiit,2,,,,
"CLOTH.034",bee'eteeni'i.,3,,,,
"CLOTH.035",Nih'ee3neeseesiikooceino',1,,,,
"CLOTH.035",hini',2,,,,
"CLOTH.035",he3,3,,,,
"CLOTH.035",nete3ebeekuu.,4,,,,
"CLOTH.036",Nebesiibehe',1,,,,
"CLOTH.036",nih'iiniiheneihit,2,,,,
"CLOTH.036",kokoohowoot.,3,,,,
"CLOTH.037",Heetbiictonetinoo,1,,,,
"CLOTH.037",he'iite'iici.,2,,,,
"CLOTH.038",Nehei,1,,,,
"CLOTH.038",nihniistoneinoo,2,,,,
"CLOTH.038",noo'oese3oo.,3,,,,
"CLOTH.039",Nih'otoonooto',1,,,,
"CLOTH.039",hoyeib3oo,2,,,,
"CLOTH.039",nih'ee3neenii3etini'.,3,,,,
"CLOTH.040",Nei'eibehe',1,,,,
"CLOTH.040",nihneeceenohoo3eihit,2,,,,
"CLOTH.040",kokteenou.,3,,,,
