ref,word,num,dep,label,dep2,label2
"CRa.001",Nehe',1,,,,
"CRa.001",nooku,2,,,,
"CRa.001",tihnosoubiinoot,3,,,,
"CRa.001",hini',4,,,,
"CRa.001","yeneini3i',",5,,,,
"CRa.001",hini',6,,,,
"CRa.001",koo'oh,7,,,,
"CRa.001",nih'iikotousi'.,8,,,,
"CRa.002",Nihtoyoohowoot,1,,,,
"CRa.002",hini',2,,,,
"CRa.002","nookuo,",3,,,,
"CRa.003",noh,1,,,,
"CRa.003",nih'esneet,2,,,,
"CRa.003",nehe',3,,,,
"CRa.003",koo'oh.,4,,,,
"CRa.004",Nih'iibeetbiinoot,1,,,,
"CRa.004",nuhu',2,,,,
"CRa.004",nookuo.,3,,,,
"CRa.005",Nehe',1,,,,
"CRa.005",nooku,2,,,,
"CRa.005","ci'nih'esneet,",3,,,,
"CRa.006",'oh,1,,,,
"CRa.006",hih'oownoohobee,2,,,,
"CRa.006",hini',3,,,,
"CRa.006",koo'oh.,4,,,,
"CRa.006",[sic:,5,,,,
"CRa.006",koo'ohwuu],6,,,,
"CRa.007",Nehe',1,,,,
"CRa.007",nooku,2,,,,
"CRa.007",nihceeciisceno'oo3eih,3,,,,
"CRa.007",hini',4,,,,
"CRa.007","koo'oh,",5,,,,
"CRa.008",noh,1,,,,
"CRa.008",nihbiineihit,2,,,,
"CRa.008",hini',3,,,,
"CRa.008",koo'oh,4,,,,
"CRa.008",ceeciisiihi'.,5,,,,
