ref,word,num,dep,label,dep2,label2
"Child.001",hoonoyoohowun,1,,,,
"Child.001",neyei3einotii!,2,,,,
"Child.002",ciibehnonih'i,1,,,,
"Child.002",heeyouhuu!,2,,,,
"Child.003",Keise'enou'u?,1,,,,
"Child.004",Hetteiitooneihi,1,,,,
"Child.004",neyei3eino'oowuu'!,2,,,,
"Child.005",Tootouno,1,,,,
"Child.005",howo3onohoeno?,2,,,,
"Child.006",Hetoonoyoohowoo,1,,,,
"Child.006",heehebehe'.,2,,,,
"Child.007",Ciibehno'o3ikowuutonin,1,,,,
"Child.007",heineyei3eiheiit.,2,,,,
"Child.008",Hiixouuwootei!,1,,,,
"Child.009",Wontoyoohowun,1,,,,
"Child.009",neyei3einotii.,2,,,,
"Child.010",Ciito'oo,1,,,,
"Child.010",hotookoubiixuut.,2,,,,
"Child.011",Ciibeh'iitisee,1,,,,
"Child.011",woxesi'!,2,,,,
"Child.012",Hiiyoo3itii,1,,,,
"Child.012",heteixo'ono.,2,,,,
"Child.013",Hetoonoyoohowoono',1,,,,
"Child.013",niiniihencebkoohu3i'.,2,,,,
"Child.014",Hooxono'oo.,1,,,,
"Child.015",Hi3heetce'noohobe3en.,1,,,,
