ref,word,num,dep,label,dep2,label2
"Crazy.001",Nuhu',1,,,,
"Crazy.001","hecesiiteyeihiiho',",2,,,,
"Crazy.001",hohookeenit.,3,,,,
"Crazy.002",Kooxhe'ihniiniihisee,1,,,,
"Crazy.002",hinit.,2,,,,
"Crazy.003",He'ne'ii'sesiinbee3einoo'oot.,1,,,,
"Crazy.004",'oh,1,,,,
"Crazy.004",he'ih'ini,2,,,,
"Crazy.004",ceenokuhce,3,,,,
"Crazy.004",hinit;,4,,,,
"Crazy.005",he'ne'ii'woowoxutiit,1,,,,
"Crazy.005",hitouw.,2,,,,
"Crazy.006",Ne'iini,1,,,,
"Crazy.006",koP,2,,,,
"Crazy.006",kohei'it.,3,,,,
"Crazy.007",'oh,1,,,,
"Crazy.007","he'ihP,",2,,,,
"Crazy.007",hee,3,,,,
"Crazy.007",nih'iihok;,4,,,,
"Crazy.008",ne'nih'ii'teeskuu3oot,1,,,,
"Crazy.008",hoh'onookee[n],2,,,,
"Crazy.008",he'ih'einokun.,3,,,,
"Crazy.009",He'ne'ii'teeskuutiit;,1,,,,
"Crazy.010","heteh'itouwu,",1,,,,
"Crazy.010",nih'ii3oohok,2,,,,
"Crazy.010",nuhu',3,,,,
"Crazy.010",hoh'onookeen.,4,,,,
"Crazy.011",'oh,1,,,,
"Crazy.011",ne'noo3ce3ei'oot.,2,,,,
"Crazy.012",Kooxhe'ihwoneenei3P,1,,,,
"Crazy.012",hohookeeni[ni]3,2,,,,
"Crazy.012",hih'oowuni'iihit.,3,,,,
"Crazy.013",Noh,1,,,,
"Crazy.013","he'iicisiihi',",2,,,,
"Crazy.013",he'ne'cihce'iseet;,3,,,,
"Crazy.014",noh,1,,,,
"Crazy.014",he'ne'noohowoot,2,,,,
"Crazy.014",nuhu',3,,,,
"Crazy.014",hoh'onookeen;,4,,,,
"Crazy.015",He'ih'iiyoo3oo,1,,,,
"Crazy.015",hi'in,2,,,,
"Crazy.015",hou.,3,,,,
"Crazy.016",He'ne'ce'isiiinoot.,1,,,,
"Crazy.017",Nehe',1,,,,
"Crazy.017",notouw,2,,,,
"Crazy.017","he'itenow,",3,,,,
"Crazy.017",nih'ii3oohok.,4,,,,
"Crazy.018",Hebiitebeihii!,1,,,,
"Crazy.019",ne'iteno'.,1,,,,
"Crazy.020",Ne'yih'ooneit,1,,,,
"Crazy.020",nuhu',2,,,,
"Crazy.020",hoh'onookeen.,3,,,,
"Crazy.021",Siihe'ne'teesteco'ooni3,1,,,,
"Crazy.021",nehe',2,,,,
"Crazy.021",nih'oninoo'oot.,3,,,,
"Crazy.022",He'ihnei'o'one'.,1,,,,
"Crazy.023",Noh,1,,,,
"Crazy.023",nuhu',2,,,,
"Crazy.023",cisii,3,,,,
"Crazy.023",he'e3ebeeneti3ee.,4,,,,
"Crazy.024",Hiit,1,,,,
"Crazy.024",hetkoh'ohoe,2,,,,
"Crazy.024",nuhu',3,,,,
"Crazy.024","hoh'onookee,",4,,,,
"Crazy.024","heetihkohei'inoo,",5,,,,
"Crazy.024",nih'iihok;,6,,,,
"Crazy.025",Nei'o'oneinoo,1,,,,
"Crazy.025",nuhu'.,2,,,,
"Crazy.026",'oh,1,,,,
"Crazy.026",nuhu',2,,,,
"Crazy.026",cisii,3,,,,
"Crazy.026",he'ne'nee'eestooni3i.,4,,,,
"Crazy.027","Neene'nei'o'oneihit,",1,,,,
"Crazy.027",'oh,2,,,,
"Crazy.027",beetkohei'it;,3,,,,
"Crazy.027",Noh,4,,,,
"Crazy.027",ne'bee3o'ohoo3i',5,,,,
"Crazy.027",nuhu',6,,,,
"Crazy.027",'ohP,7,,,,
"Crazy.027",hoh'onookeen;,8,,,,
"Crazy.028",'oh,1,,,,
"Crazy.028",nehe',2,,,,
"Crazy.028",hohookeenit,3,,,,
"Crazy.028",3owo3iit.,4,,,,
"Crazy.029",Wohei,1,,,,
"Crazy.029",hiit,2,,,,
"Crazy.029","cihceenoku',",3,,,,
"Crazy.029",heetniini,4,,,,
"Crazy.029","hohou3e3enee,",5,,,,
"Crazy.029",nih'iihok.,6,,,,
"Crazy.030",He'ne'noo'oecini3i,1,,,,
"Crazy.030",noo'oeniinihii,2,,,,
"Crazy.031",Hitiinininoo,1,,,,
"Crazy.031",he'ihP,2,,,,
"Crazy.031",he'ihsiicen;,3,,,,
"Crazy.032",ne'ii'beesetineeni3i,1,,,,
"Crazy.032",hi'iihi'.,2,,,,
"Crazy.033",Nehe',1,,,,
"Crazy.033","hohookeenit,",2,,,,
"Crazy.033",ne'nih'iisihoot,3,,,,
"Crazy.033",nuhu',4,,,,
"Crazy.033",cisii.,5,,,,
"Crazy.034",That's,1,,,,
"Crazy.034",what,2,,,,
"Crazy.034",it,3,,,,
"Crazy.034","is,",4,,,,
"Crazy.034",he,5,,,,
"Crazy.034",told,6,,,,
"Crazy.034",them,7,,,,
"Crazy.034",to,8,,,,
"Crazy.034",sit,9,,,,
"Crazy.034","around,",10,,,,
"Crazy.034",and,11,,,,
"Crazy.034",he,12,,,,
"Crazy.034",went,13,,,,
"Crazy.034",over,14,,,,
"Crazy.034",there,15,,,,
"Crazy.034",and,16,,,,
"Crazy.034",pulled,17,,,,
"Crazy.034",their,18,,,,
"Crazy.034",mouths.,19,,,,
