ref,word,num,dep,label,dep2,label2
"CreeV.001",A,1,,,,
"CreeV.001","Hee,",2,,,,
"CreeV.001",henee'eeno',3,,,,
"CreeV.001",heceiteewo'?,4,,,,
"CreeV.002",B,1,,,,
"CreeV.002",Nookuhnenno',2,,,,
"CreeV.002",tihbih'iyoo',3,,,,
"CreeV.002",nihno'koohu3i'.,4,,,,
"CreeV.003",A,1,,,,
"CreeV.003",Heetnouh'ouwou'u,2,,,,
"CreeV.003",nooke'ehk.,3,,,,
"CreeV.004",Hetei'towuunoono'!,1,,,,
"CreeV.005",B,1,,,,
"CreeV.005","Wohei,",2,,,,
"CreeV.005",heetnei'towuunee3i'.,3,,,,
"CreeV.006",Heetniiyeihoti.,1,,,,
"CreeV.007",A,1,,,,
"CreeV.007",Heebeto'eihi',2,,,,
"CreeV.007",hetotoonee.,3,,,,
"CreeV.008",Heetniiniibooneino'.,1,,,,
"CreeV.009",B,1,,,,
"CreeV.009",Wohei,2,,,,
"CreeV.009",heetnotoonowo',3,,,,
"CreeV.009",neyooo.,4,,,,
"CreeV.010",Hiito'eihit.,1,,,,
"CreeV.011",A,1,,,,
"CreeV.011",Heetniibei'inoo.,2,,,,
"CreeV.012",'oh,1,,,,
"CreeV.012",neneenin?,2,,,,
"CreeV.013",Nohci'neneeninoo.,1,,,,
