ref,word,num,dep,label,dep2,label2
"CrowD.001",nuhu',1,,,,
"CrowD.001",houunohwoot,2,,,,
"CrowD.001",nih'iibeteee3i',3,,,,
"CrowD.001",nuhu',4,,,,
"CrowD.001",beh'eihoho'.,5,,,,
"CrowD.002",wo'ei3,1,,,,
"CrowD.002",nih'iinohkco'oo3i'.,2,,,,
"CrowD.003",Nih'iiP,1,,,,
"CrowD.003",hih'ooweixowuu,2,,,,
"CrowD.003",nuh'uuno,3,,,,
"CrowD.003",nihii,4,,,,
"CrowD.003",biiino'.,5,,,,
"CrowD.004",hih'oow[un]uuni.,1,,,,
"CrowD.005",cese',1,,,,
"CrowD.005",nih'iiheixou'u...,2,,,,
"CrowD.006",beebeet,1,,,,
"CrowD.006",hi'in,2,,,,
"CrowD.006","nihii,",3,,,,
"CrowD.006",nihneesecinouhu3i'.,4,,,,
"CrowD.007",Nihneesecinouhu3i',1,,,,
"CrowD.007",nenee3i',2,,,,
"CrowD.007",nih'iibeteee3i'.,3,,,,
"CrowD.008",noh,1,,,,
"CrowD.008",hu'un,2,,,,
"CrowD.008","heeneisiwoo'uu3i',",3,,,,
"CrowD.008",nih'eeneistoo3i'.,4,,,,
"CrowD.009",nih'iinoohootou'u,1,,,,
"CrowD.009",nuhu',2,,,,
"CrowD.009",neniteeno'.,3,,,,
"CrowD.010",nih'ei'inou'u,1,,,,
"CrowD.010","heenei3eetooni3i,",2,,,,
"CrowD.010",heenei3esoh'oeni3i.,3,,,,
"CrowD.011",nih'ei'inou'u,1,,,,
"CrowD.011",hii3eenooni'.,2,,,,
"CrowD.012",'oh,1,,,,
"CrowD.012",huuwoonhehe',2,,,,
"CrowD.012",tei'yoonoh'o',3,,,,
"CrowD.012",hoowoe'inowuu.,4,,,,
"CrowD.013",nooxeihi',1,,,,
"CrowD.013",how3o'ei'towuuneihino'.,2,,,,
"CrowD.014",noh,1,,,,
"CrowD.014",ne'nih'iistoo3i',2,,,,
"CrowD.014",nuhu',3,,,,
"CrowD.014",houunohwoot,4,,,,
"CrowD.014",ni'iitou'u,5,,,,
"CrowD.014",nuhu',6,,,,
"CrowD.014",hinono'eino'.,7,,,,
"CrowD.015",woow.,1,,,,
