ref,word,num,dep,label,dep2,label2
"CrowPow.001","Tihwoonbiice',",1,,,,
"CrowPow.001",nihyihoonoo,2,,,,
"CrowPow.001","houunenitee'[?],",3,,,,
"CrowPow.002",noh,1,,,,
"CrowPow.002",nih'oowoo3itoonoo.,2,,,,
"CrowPow.003","Neneeninoo,",1,,,,
"CrowPow.003","neinoo,",2,,,,
"CrowPow.003",noh,3,,,,
"CrowPow.003",neeseh'e,4,,,,
"CrowPow.003",nihce3koohuno',5,,,,
"CrowPow.003",neh'eheiniisi':,6,,,,
"CrowPow.004",ne'nih'ii'cesisoo',1,,,,
"CrowPow.004",betooot.,2,,,,
"CrowPow.005",Nih'e3ebno'koohu',1,,,,
"CrowPow.005",neesootox,2,,,,
"CrowPow.005",tihcowo'oo'.,3,,,,
"CrowPow.006",Nototiibinoo,1,,,,
"CrowPow.006","nih'iitohnoo3eet,",2,,,,
"CrowPow.006",noh,3,,,,
"CrowPow.006",nee'ehyihooni'.,4,,,,
"CrowPow.007",Neinoo,1,,,,
"CrowPow.007",nihbii'iitiit,2,,,,
"CrowPow.007","heetniitoh3i'okut,",3,,,,
"CrowPow.007",ne'noohowo',4,,,,
"CrowPow.007",neiteh'ei;,5,,,,
"CrowPow.008",neih'oowoe'in,1,,,,
"CrowPow.008",nih'iitoh3i'okut.,2,,,,
"CrowPow.009",Ceee3i',1,,,,
"CrowPow.009",nih'entoonoo,2,,,,
"CrowPow.009",teebe,3,,,,
"CrowPow.009",niito',4,,,,
"CrowPow.009",tihbih'iyoo',5,,,,
"CrowPow.009",bebene,6,,,,
"CrowPow.009",neniisou'usi'.,7,,,,
"CrowPow.010",Neih'oowbii'iihoo,1,,,,
"CrowPow.010","neinoo,",2,,,,
"CrowPow.010",ne'eeteininoo,3,,,,
"CrowPow.010",neiteh'ei,4,,,,
"CrowPow.010",hiyeihe'.,5,,,,
"CrowPow.011",Hei'nooke',1,,,,
"CrowPow.011",nih'owoto'oonoo;,2,,,,
"CrowPow.012",cebiis,1,,,,
"CrowPow.012",hihiiteeniihi',2,,,,
"CrowPow.012",heh3i'ookuut,3,,,,
"CrowPow.012","nototiibinoo,",4,,,,
"CrowPow.012",noh,5,,,,
"CrowPow.012",nee'eesbii'iiho',6,,,,
"CrowPow.012",nototii,7,,,,
"CrowPow.012",noh,8,,,,
"CrowPow.012",neinoo.,9,,,,
"CrowPow.013",Nihnosoucooniyei3i';,1,,,,
"CrowPow.014",ne'woniixoohoo3ihou'u,1,,,,
"CrowPow.014",niisniiceni'i,2,,,,
"CrowPow.014",niiinono.,3,,,,
"CrowPow.015",Beebeet,1,,,,
"CrowPow.015",ne'nih'iisoo',2,,,,
"CrowPow.015",betooot.,3,,,,
"CrowPow.016",Nihnii3cooxuneeenoo;,1,,,,
"CrowPow.017",nih'ee3neetoyoowu3eti'.,1,,,,
"CrowPow.018",Ne'cih'ookoo3eeckoohu',1,,,,
"CrowPow.018",tihcowo'oo'.,2,,,,
