ref,word,num,dep,label,dep2,label2
"DedPius.001",Nebesiibehe',1,,,,
"DedPius.001",3oo3ouuteiseet,2,,,,
"DedPius.001",henee3neenih'oniit,3,,,,
"DedPius.001",heesineyei3ei'it,4,,,,
"DedPius.001",hinono'eitiit:,5,,,,
"DedPius.002",Heetihwonootiseenoo',1,,,,
"DedPius.002",heteenetiitoonin.,2,,,,
"DedPius.003",Hoowuni'inono'einiine'etiitoon,1,,,,
"DedPius.003",honoot,2,,,,
"DedPius.003",heetniinono'eitiitooni'.,3,,,,
"DedPius.004",Hoowuni'bebiiscowoo3itootiin,1,,,,
"DedPius.004",hi'iihi',2,,,,
"DedPius.004",nih'oo3ouyeitiit.,3,,,,
