ref,word,num,dep,label,dep2,label2
"Dia3.001",A,1,,,,
"Dia3.001",Tootheih'entoo?,2,,,,
"Dia3.002",B,1,,,,
"Dia3.002",Nih'entoonoo,2,,,,
"Dia3.002",ce'iskuu3ooot.,3,,,,
"Dia3.003",A,1,,,,
"Dia3.003",Heetoustoo,2,,,,
"Dia3.003",hiiwoonhehe'?,3,,,,
"Dia3.004",B,1,,,,
"Dia3.004",Niiyihoonoo,2,,,,
"Dia3.004",niitkookoh'ohwootiini'.,3,,,,
"Dia3.005",A,1,,,,
"Dia3.005",Hetoustoono'?,2,,,,
"Dia3.006",B,1,,,,
"Dia3.006",Heetnoono'o3itooni'.,2,,,,
"Dia3.007",A,1,,,,
"Dia3.007",Heitou'bee3too?,2,,,,
"Dia3.008",B,1,,,,
"Dia3.008",Neesootox,2,,,,
"Dia3.008",no'xoohok.,3,,,,
