ref,word,num,dep,label,dep2,label2
"Dog.001",Kuutoye'ee,1,,,,
"Dog.001",hete3ebiib?,2,,,,
"Dog.002",Niixo'.,1,,,,
"Dog.003",Niitoye'eet,1,,,,
"Dog.003",nete3ebiib;,2,,,,
"Dog.004",hoonoyoohootowoo.,1,,,,
"Dog.005",Hite3ebiibinoo,1,,,,
"Dog.005",hiisiine'etiini3.,2,,,,
"Dog.006",Nono'oteihit,1,,,,
"Dog.006",nete3ebiib;,2,,,,
"Dog.007",noonoo'eiso'eiit.,1,,,,
"Dog.008",Hite3ebiiw,1,,,,
"Dog.008",niicihwonoonotoowuunoot,2,,,,
"Dog.008",nuhu',3,,,,
"Dog.008",hecexooxebii,4,,,,
"Dog.008",hibii3hiininoo.,5,,,,
"Dog.009",Hinee,1,,,,
"Dog.009",he3,2,,,,
"Dog.009",seeseihit;,3,,,,
"Dog.010",hoonoyoohowun.,1,,,,
"Dog.011",Niibee3no'koohu3i',1,,,,
"Dog.011",he3ebii,2,,,,
"Dog.011",neyeih'e'.,3,,,,
"Dog.012",Nihneetouhunoo,1,,,,
"Dog.012",hecexoox,2,,,,
"Dog.012",tih'iisiini'.,3,,,,
"Dog.013",Nih'eibit,1,,,,
"Dog.013",hisi',2,,,,
"Dog.013",nete3ebiibe'.,3,,,,
"Dog.014",Hite3ebiibe',1,,,,
"Dog.014",nono'oteibini3i,2,,,,
"Dog.014",hisii.,3,,,,
