ref,word,num,dep,label,dep2,label2
"DrWo.001",Hiseino',1,,,,
"DrWo.001",hibiixuut,2,,,,
"DrWo.001",neniistii3i'.,3,,,,
"DrWo.002",Noh,1,,,,
"DrWo.002","tohbeh'iistii3i',",2,,,,
"DrWo.002",ne'cii3ibii3i'.,3,,,,
"DrWo.003",Ne'itenoot,1,,,,
"DrWo.003",hitoxookuu.,2,,,,
"DrWo.004",Hiseino',1,,,,
"DrWo.004",niiniistii3i',2,,,,
"DrWo.004",hibiixuutono.,3,,,,
"DrWo.005","Tohbehiisniistii3i',",1,,,,
"DrWo.005",ne'ko'uxou'u.,2,,,,
"DrWo.006",Noh,1,,,,
"DrWo.006",nuhu',2,,,,
"DrWo.006","hei'behiisko'uxou'u,",3,,,,
"DrWo.006",ne'oxyootou'u,4,,,,
"DrWo.006",hiisiiniihi'.,5,,,,
"DrWo.007",Noh,1,,,,
"DrWo.007","behiisoxyootou'u,",2,,,,
"DrWo.007",ne'neyoo'uu3i'.,3,,,,
"DrWo.008","Tohbehiisneyoo'uu3i',",1,,,,
"DrWo.008",ne'wonibeteee3i'.,2,,,,
"DrWo.009",Honoh'oho',1,,,,
"DrWo.009","ne'beh'oo'ei[see]3i',",2,,,,
"DrWo.009",tohbeteee3i'.,3,,,,
"DrWo.010",ne'iyihoo3i',1,,,,
"DrWo.010",hotniitbeteee3i'.,2,,,,
"DrWo.011","Hei'ehno'usee3i',",1,,,,
"DrWo.011",ne'itenoo3i',2,,,,
"DrWo.011",ho'eiih'o.,3,,,,
"DrWo.012",Ne'iniibei3i'.,1,,,,
"DrWo.013",Hiseino',1,,,,
"DrWo.013",tei'yoonoh'o',2,,,,
"DrWo.013",behiihi',3,,,,
"DrWo.013",beteee3i'.,4,,,,
"DrWo.014","Toh'uuxohwoo3i',",1,,,,
"DrWo.014",ne'beh'eecikoohu3i',2,,,,
"DrWo.014",nuhu',3,,,,
"DrWo.014",huseino'.,4,,,,
"DrWo.015","Tohce'no'usee3i',",1,,,,
"DrWo.015",xonou,2,,,,
"DrWo.015",ne'behnoonokohu3i'.,3,,,,
