ref,word,num,dep,label,dep2,label2
"Drinking.001",A,1,,,,
"Drinking.001",Tous,2,,,,
"Drinking.001",hono'usei!,3,,,,
"Drinking.002",Tootousiini?,1,,,,
"Drinking.003",Kooniini'iini?,1,,,,
"Drinking.004",B,1,,,,
"Drinking.004",Tous,2,,,,
"Drinking.004",biisnih'oo3oo!,3,,,,
"Drinking.005",Neeni'iini,1,,,,
"Drinking.005",'oh,2,,,,
"Drinking.005",beebeet,3,,,,
"Drinking.005",biikoonehe',4,,,,
"Drinking.005",kooxbeneebene'.,5,,,,
"Drinking.006",A,1,,,,
"Drinking.006","Yeheihoo,",2,,,,
"Drinking.006",hiibeexuuciine'ehben,3,,,,
"Drinking.006",tohteiitooniine'etiini3,4,,,,
"Drinking.006",hibeih'eihow,5,,,,
"Drinking.006",3oo3ouuteiseet.,6,,,,
"Drinking.007",B,1,,,,
"Drinking.007",Hii3oobein.,2,,,,
"Drinking.008",Niineyeihei'towuuno',1,,,,
"Drinking.008",'oh,2,,,,
"Drinking.008",neihoowceh'e3ihe'.,3,,,,
"Drinking.009",A,1,,,,
"Drinking.009","Hee,",2,,,,
"Drinking.009",nuhu',3,,,,
"Drinking.009",nih'oo3ounec,4,,,,
"Drinking.009",henee3neewosoo'.,5,,,,
"Drinking.010",B,1,,,,
"Drinking.010","'ine,",2,,,,
"Drinking.010",heetnoonoxono'oonoo.,3,,,,
"Drinking.011",Bii3wo,1,,,,
"Drinking.011",niiwonotoonootowoo,2,,,,
"Drinking.011",woteeniihi'.,3,,,,
"Drinking.012",A,1,,,,
"Drinking.012",Wohei,2,,,,
"Drinking.012",beebeet,3,,,,
"Drinking.012",ciibeh'otoonootoo,4,,,,
"Drinking.012",beneetno.,5,,,,
"Drinking.013",B,1,,,,
"Drinking.013",'ii.,2,,,,
"Drinking.014",wooce',1,,,,
"Drinking.014",neihciinih'eb,2,,,,
"Drinking.014",teecxo'.,3,,,,
"Drinking.015",A,1,,,,
"Drinking.015",Cee'inon.,2,,,,
"Drinking.016",Nihnoohobe3en,1,,,,
"Drinking.016",tihnouubiibiinii'oon,2,,,,
"Drinking.016",benoheino'oowuu',3,,,,
"Drinking.016",nuhu',4,,,,
"Drinking.016",tihwooncowo'oo'.,5,,,,
"Drinking.017",B,1,,,,
"Drinking.017",Ciibehcih'esinihi.,2,,,,
"Drinking.018",Neebeh'ei'towuunoo,1,,,,
"Drinking.018",neehebehe',2,,,,
"Drinking.018",hoho'nookee,3,,,,
"Drinking.018",3i'ookuu.,4,,,,
"Drinking.019",A.,1,,,,
"Drinking.019",'ostei!,2,,,,
"Drinking.020",nei'ei3hehk?,1,,,,
"Drinking.021",neethihtousihe'?,1,,,,
"Drinking.022",B,1,,,,
"Drinking.022","Hesnoneenoo'oohok,",2,,,,
"Drinking.022",siiheetnoonoxon3o'einoohei'it,3,,,,
"Drinking.022",neneenin.,4,,,,
"Drinking.023",A,1,,,,
"Drinking.023","Niixoo,",2,,,,
"Drinking.023",heetnei'towuuno',3,,,,
"Drinking.023",netesei,4,,,,
"Drinking.023",hiiyoo3bisisei,5,,,,
"Drinking.023",heetih'oonoxonnoonoo'eihceheise'tebe'eihiin.,6,,,,
"Drinking.024",B,1,,,,
"Drinking.024","'ii,",2,,,,
"Drinking.024",henee3neenee3o'owo'oon.,3,,,,
"Drinking.025",Heetnoxono'oonoo.,1,,,,
"Drinking.026",Heetneihoowoohceh'e3ihe3.,1,,,,
"Drinking.027",A,1,,,,
"Drinking.027",Nohci'neneeninoo!,2,,,,
