ref,word,num,dep,label,dep2,label2
"Dwarf.001",Nehe',1,,,,
"Dwarf.001",hinono'ei,2,,,,
"Dwarf.001","he'ih'iinoo'ei,",3,,,,
"Dwarf.001",noh,4,,,,
"Dwarf.001",he'ihneh'ei.,5,,,,
"Dwarf.002",He'ih'iinosouniini,1,,,,
"Dwarf.002",kooko'usii,2,,,,
"Dwarf.002",woowoti'enee,3,,,,
"Dwarf.002",nuh'uuno,4,,,,
"Dwarf.002",hihnoh'ooon.,5,,,,
"Dwarf.003",Bih'ihii,1,,,,
"Dwarf.003",he'ihneenin;,2,,,,
"Dwarf.004",noh,1,,,,
"Dwarf.004",he'ihneyeibeebebii3en.,2,,,,
"Dwarf.005",Noh,1,,,,
"Dwarf.005",heetniineyeihookoo3oot.,2,,,,
"Dwarf.006",He'ne'P,1,,,,
"Dwarf.006","he'ihbiistiit,",2,,,,
"Dwarf.006",he'iitnei'i,3,,,,
"Dwarf.006",wootii,4,,,,
"Dwarf.006",he'ihnei'oohobe'.,5,,,,
"Dwarf.007",He'ne'nei'ooku'oot.,1,,,,
"Dwarf.008",'oh,1,,,,
"Dwarf.008",nuhu',2,,,,
"Dwarf.008",hecesiiteihio,3,,,,
"Dwarf.008",he'ihcih3i'okun.,4,,,,
"Dwarf.009","Wohei,",1,,,,
"Dwarf.009",nih'ii3oohok,2,,,,
"Dwarf.009","koohu'un,",3,,,,
"Dwarf.009",heiciibeetiten,4,,,,
"Dwarf.009","heeyouhuuho,",5,,,,
"Dwarf.009",nih'ii3oohok.,6,,,,
"Dwarf.010",Hiiheyoti',1,,,,
"Dwarf.010",he'ih'iibi'ii3e'.,2,,,,
"Dwarf.011",Noh,1,,,,
"Dwarf.011",he'iisii3ou'u,2,,,,
"Dwarf.011","huuheyoti',",3,,,,
"Dwarf.011",nih'iihok.,4,,,,
"Dwarf.012",Nuh'uuno,1,,,,
"Dwarf.012",kookon,2,,,,
"Dwarf.012",he'ihnoonoh'oen;,3,,,,
"Dwarf.013",nuhu',1,,,,
"Dwarf.013","huuheyoti',",2,,,,
"Dwarf.013","hiiheyoti',",3,,,,
"Dwarf.013",nihbi'ii3eihok.,4,,,,
"Dwarf.014",[he'ii]sii3ou'u?,1,,,,
"Dwarf.015",he'ihcee'in.,1,,,,
"Dwarf.016",He'ne'ii'cihto'obeit.,1,,,,
"Dwarf.017",Hei'ciiniini,1,,,,
"Dwarf.017","nei'oohowoot,",2,,,,
"Dwarf.017",he'ne'to'obeit.,3,,,,
"Dwarf.018",He'ihneneesnoxowuhu.,1,,,,
"Dwarf.019",He'ne'ii'noh'oeneit.,1,,,,
"Dwarf.020",he'ihce3xohe'.,1,,,,
"Dwarf.021",He'ihneen,1,,,,
"Dwarf.021",hiiheyoti'.,2,,,,
"Dwarf.022",Ce3xohe',1,,,,
"Dwarf.022",he'iicxohei3i.,2,,,,
"Dwarf.023",'oh,1,,,,
"Dwarf.023",he'ih'iiP,2,,,,
"Dwarf.023","he'ih'iito'obe',",3,,,,
"Dwarf.023",co'oheeto'obe'.,4,,,,
"Dwarf.024",'oh,1,,,,
"Dwarf.024",nuhu',2,,,,
"Dwarf.024",hisiiseii,3,,,,
"Dwarf.024",he'ih'oono'wooku'oo,4,,,,
"Dwarf.024","hu'uuhu',",5,,,,
"Dwarf.024",hei'to'obeit.,6,,,,
"Dwarf.025",'oh,1,,,,
"Dwarf.025",ne'ciinenoot,2,,,,
"Dwarf.025",hinit.,3,,,,
"Dwarf.026",he'ihciinoohoo3ei.,1,,,,
"Dwarf.027",He'ne'iisce3xoheit,1,,,,
"Dwarf.027",nuh'uuno,2,,,,
"Dwarf.027",hiiheyotini'.,3,,,,
"Dwarf.028",He'ne'ce'iseet;,1,,,,
"Dwarf.029",he'ne'ookootiit,1,,,,
"Dwarf.029",hi'in,2,,,,
"Dwarf.029","hoseino',",3,,,,
"Dwarf.029",neh'eeno,4,,,,
"Dwarf.029",hinen.,5,,,,
"Dwarf.030",nuhu',1,,,,
"Dwarf.030","nih'iibeetbiineit,",2,,,,
"Dwarf.030",hiisiisP,3,,,,
"Dwarf.030",hiisiiteyeihio.,4,,,,
"Dwarf.031","Nih'oo3oo,",1,,,,
"Dwarf.031",ni'ii3oo[3i'],2,,,,
"Dwarf.031",hu'un.,3,,,,
