ref,word,num,dep,label,dep2,label2
"EnTr.001",hinee,1,,,,
"EnTr.001",hooxei'P,2,,,,
"EnTr.001","hoh'eni',",3,,,,
"EnTr.001",hinee//,4,,,,
"EnTr.001",heetoh'uni,5,,,,
"EnTr.001",tootonoxteeni'.//,6,,,,
"EnTr.002",nihnoohootowoo//,1,,,,
"EnTr.002",heeneisoo'//,2,,,,
"EnTr.002",hinono'eino',3,,,,
"EnTr.002",nih'iitiine'etii3i',4,,,,
"EnTr.002","teecxo',",5,,,,
"EnTr.002","3ebniihiihi',",6,,,,
"EnTr.002",hinee,7,,,,
"EnTr.002",3ebnoobe'einiihi',8,,,,
"EnTr.002",hinee,9,,,,
"EnTr.002",heenei'ouute'.//,10,,,,
"EnTr.003",wohei,1,,,,
"EnTr.003",hi'in,2,,,,
"EnTr.003",nih'iitootii3i',3,,,,
"EnTr.003",hinono'eino'.,4,,,,
"EnTr.004",nee'eeneeP,1,,,,
"EnTr.004",heesiini,2,,,,
"EnTr.004",hoowunoo'oo',3,,,,
"EnTr.004",koh'owu';,4,,,,
"EnTr.005",hii3iihi',1,,,,
"EnTr.005",teesi'.//,2,,,,
"EnTr.006",noh,1,,,,
"EnTr.006",nehe'eetootii3i'.//,2,,,,
"EnTr.007",wonoo3ei'i,1,,,,
"EnTr.007","koh'owuu,",2,,,,
"EnTr.007",'oh,3,,,,
"EnTr.007",noh,4,,,,
"EnTr.007",nuh'uuno,5,,,,
"EnTr.007",beneexo'eini,6,,,,
"EnTr.007",hii'ootee'.,7,,,,
"EnTr.008",ni'iiP,1,,,,
"EnTr.008",heetniicih'oo3iteenoo.//,2,,,,
"EnTr.009",he'ih'ini,1,,,,
"EnTr.009",niiino'.//,2,,,,
"EnTr.010",heenoo,1,,,,
"EnTr.010",hinee,2,,,,
"EnTr.010",hoh'eni',3,,,,
"EnTr.010","ne'nih'iiteenentoo3i',",4,,,,
"EnTr.010",toh'uniP,5,,,,
"EnTr.010",hiitoh'uni//,6,,,,
"EnTr.010",hoowuuhu',7,,,,
"EnTr.010",hi3o'obee',8,,,,
"EnTr.010",nuhu',9,,,,
"EnTr.010","hoh'eni',",10,,,,
"EnTr.010",hoh'eni',11,,,,
"EnTr.010","too3iihi',",12,,,,
"EnTr.010",hi'P,13,,,,
"EnTr.010",nihP,14,,,,
"EnTr.010",heeti3eti'i,15,,,,
"EnTr.010","necii,//",16,,,,
"EnTr.010",wo'ei3,17,,,,
"EnTr.010",toh'uunoo'ei3i'.//,18,,,,
"EnTr.011",hi'in,1,,,,
"EnTr.011",nenee',2,,,,
"EnTr.011",heenei'isiihi',3,,,,
