ref,word,num,dep,label,dep2,label2
"FGSalz.001",Nehe',1,,,,
"FGSalz.001",hinen,2,,,,
"FGSalz.001",he'ih'iinoo'ei.,3,,,,
"FGSalz.002",He'ihwo'3itiino',1,,,,
"FGSalz.002",hibii3hiininoo,2,,,,
"FGSalz.002",hootceciiniini'i.,3,,,,
"FGSalz.003",Noh,1,,,,
"FGSalz.003",he'ihkou3noono'usee.,2,,,,
"FGSalz.004",Biikoo,1,,,,
"FGSalz.004",he'ihbih'innoono'usee.,2,,,,
"FGSalz.005","“Wohei,”",1,,,,
"FGSalz.005",hiniin,2,,,,
"FGSalz.005",he'ih'ei'towuunee:,3,,,,
"FGSalz.006","tohuukou3no'useenoo,",1,,,,
"FGSalz.006","beniibih'iyou'u,",2,,,,
"FGSalz.006",heeyouhuu,3,,,,
"FGSalz.006","heebehniitowoot,",4,,,,
"FGSalz.006",hinenitee,5,,,,
"FGSalz.006",wootii,6,,,,
"FGSalz.006",heebehnon3o'oo.,7,,,,
"FGSalz.007","“Ciibehkohtowu3ecoo,”",1,,,,
"FGSalz.007",hee3oohok.,2,,,,
"FGSalz.008",“Hee'inowoo,1,,,,
"FGSalz.008",[he]neicih'iitiseenoo.,2,,,,
"FGSalz.009","Neihoowuni'non3o'oo,”",1,,,,
"FGSalz.009",hee3oohok,2,,,,
"FGSalz.009",hiniin.,3,,,,
"FGSalz.010",Wohei,1,,,,
"FGSalz.010",he'e3ebiicis,2,,,,
"FGSalz.010",nehe',3,,,,
"FGSalz.010",hinen,4,,,,
"FGSalz.010",he'ihkou3no'usee.,5,,,,
"FGSalz.011",Honoot,1,,,,
"FGSalz.011",he'ihcebe'eixoo,2,,,,
"FGSalz.011",3ootece'.,3,,,,
"FGSalz.012",Noh,1,,,,
"FGSalz.012",nehe',2,,,,
"FGSalz.012",hisei,3,,,,
"FGSalz.012",he'ihnosouciinokoh.,4,,,,
"FGSalz.013",Heihii,1,,,,
"FGSalz.013",he'ihceeni3ecoo.,2,,,,
"FGSalz.014",He'ihniitonee,1,,,,
"FGSalz.014",hineniteen,2,,,,
"FGSalz.014","he'ihniitouuhun,",3,,,,
"FGSalz.014","hihcebehe',",4,,,,
"FGSalz.014",wootii,5,,,,
"FGSalz.014",non3o'oo.,6,,,,
"FGSalz.015",Heesi3ecoohok,1,,,,
"FGSalz.015","heebehneen,",2,,,,
"FGSalz.015",wohei,3,,,,
"FGSalz.015",non3o'oot.,4,,,,
