ref,word,num,dep,label,dep2,label2
"FIG.001",hinen,1,,,,
"FIG.001",he'ih'ootii.,2,,,,
"FIG.002","he'ihteco'oniinoo'ei,",1,,,,
"FIG.002",noh,2,,,,
"FIG.002","hiniin,",3,,,,
"FIG.002",“heebehniitonoo,4,,,,
"FIG.002","biikoo,”",5,,,,
"FIG.002",he'ih'ii3ee.,6,,,,
"FIG.003",“heebehcihno'usee;,1,,,,
"FIG.004",ciibehnouunoohowun!”,1,,,,
"FIG.004",hee3oohok,2,,,,
"FIG.004",hiniin.,3,,,,
"FIG.005",noh,1,,,,
"FIG.005",ci',2,,,,
"FIG.005",he'ih'iinoo'ei,3,,,,
"FIG.005",noh,4,,,,
"FIG.005",biikoo,5,,,,
"FIG.005",he'ihcih'iino'usee.,6,,,,
"FIG.006",noh,1,,,,
"FIG.006",nehe',2,,,,
"FIG.006",hisei,3,,,,
"FIG.006",he'ihniitonee,4,,,,
"FIG.006",hineniteen.,5,,,,
"FIG.007",he'ihniitouuhun,1,,,,
"FIG.007",biikoo,2,,,,
"FIG.007",too3iihi',3,,,,
"FIG.007",hiyeih'in[oo];,4,,,,
"FIG.008",noh,1,,,,
"FIG.008",he'ih'e'in,2,,,,
"FIG.008",niisinihii3eit,3,,,,
"FIG.008",hiix:,4,,,,
"FIG.009",“ciibehnoohowun!”,1,,,,
"FIG.010",“3i'nehnoohowo'”,1,,,,
"FIG.010",heesi3ecoohok.,2,,,,
"FIG.011",he'ihkohei'i.,1,,,,
"FIG.012",he'ih'iiwooku'oo.,1,,,,
"FIG.013",He'ihcihP,1,,,,
"FIG.014",he'ihciitei,1,,,,
"FIG.014",hinen.,2,,,,
"FIG.015",he'ihceenok,1,,,,
"FIG.015",nee'eeteebe'.,2,,,,
"FIG.016",noh,1,,,,
"FIG.016",nehe',2,,,,
"FIG.016",hisei,3,,,,
"FIG.016",he'ih'oxobee.,4,,,,
"FIG.017",“hiihoowuuni,1,,,,
"FIG.017",niisoo,2,,,,
"FIG.017","notiiciitono,”",3,,,,
"FIG.017",hee3eihok,4,,,,
"FIG.017",nehe',5,,,,
"FIG.017",hinen.,6,,,,
"FIG.018",noh,1,,,,
"FIG.018",he'ne'ce'esooni'.,2,,,,
"FIG.019",he'ih'iten,1,,,,
"FIG.019",nooko3oni'.,2,,,,
"FIG.020",he'ihneeninino,1,,,,
"FIG.020",“hotiiciihooo?”,2,,,,
"FIG.021","“hiihoowneeneisoono,”",1,,,,
"FIG.021",heehehk;,2,,,,
"FIG.022",nohci',1,,,,
"FIG.022",he'ih'okoo3oonino.,2,,,,
"FIG.023",he'ih'iten,1,,,,
"FIG.023",hinotooho;,2,,,,
"FIG.024",he'ihkoto'ohunino.,1,,,,
"FIG.025",he'ihneeninino,1,,,,
"FIG.025",“hotiiciihooo?”,2,,,,
"FIG.026","“wuho'woohu',”",1,,,,
