ref,word,num,dep,label,dep2,label2
"FOODS.001",Niiwonotoonootowoo,1,,,,
"FOODS.001",co'ocoo,2,,,,
"FOODS.001",hotooneeno'oowuu'.,3,,,,
"FOODS.002",Heetno'xotoneinoo,1,,,,
"FOODS.002",hoseino',2,,,,
"FOODS.002",neisie.,3,,,,
"FOODS.003",Hinee,1,,,,
"FOODS.003",cee'ee',2,,,,
"FOODS.003",ceniinoo'onei'oo'.,3,,,,
"FOODS.004",Niini'iicetowoo,1,,,,
"FOODS.004",biibinoot.,2,,,,
"FOODS.005",Heetwonotoonowo',1,,,,
"FOODS.005",nehei,2,,,,
"FOODS.005",nihooncebitee.,3,,,,
"FOODS.006",Neihoowuni'tonoun,1,,,,
"FOODS.006",niisiscoo'.,2,,,,
"FOODS.007",Nihnonih'inoo,1,,,,
"FOODS.007",niicooo'owu',2,,,,
"FOODS.007",tihwoteekoohunoo.,3,,,,
"FOODS.008",He'iiteihi3i,1,,,,
"FOODS.008",hiibeexno'uxotii,2,,,,
"FOODS.008",niih'oucoo'.,3,,,,
"FOODS.009",Niini'cooti'i,1,,,,
"FOODS.009",nih'oo3ouwox,2,,,,
"FOODS.009",noh,3,,,,
"FOODS.009",noono.,4,,,,
"FOODS.010",Hinee,1,,,,
"FOODS.010",noon,2,,,,
"FOODS.010",heetno'oeetiinoo.,3,,,,
"FOODS.011",Hini',1,,,,
"FOODS.011",neecee,2,,,,
"FOODS.011",hibetebihow,3,,,,
"FOODS.011",nihnoohowooni3,4,,,,
"FOODS.011",hii3einoonin.,5,,,,
"FOODS.012",Hinee,1,,,,
"FOODS.012",hinen,2,,,,
"FOODS.012",hiihoowbiinee,3,,,,
"FOODS.012",nooku[o].,4,,,,
"FOODS.013",Ceneeno',1,,,,
"FOODS.013",nee3neeni'ceihi3i'.,2,,,,
"FOODS.014",Neesebi,1,,,,
"FOODS.014",heetbii3woo3oot,2,,,,
"FOODS.014",nih'oo3ounii'eihii.,3,,,,
"FOODS.015","Heestei'i,",1,,,,
"FOODS.015",ne'nii'oowohbii3inoo,2,,,,
"FOODS.015",niitoyoowu'.,3,,,,
"FOODS.016",Nehei,1,,,,
"FOODS.016",nih'oxobeinoo,2,,,,
"FOODS.016",hokok,3,,,,
"FOODS.016",noh,4,,,,
"FOODS.016",cebteenoc.,5,,,,
"FOODS.017",Niino'ototooto',1,,,,
