ref,word,num,dep,label,dep2,label2
"Fam4.001",Niixoohoo3iheinoo,1,,,,
"Fam4.001",nebesiibehe',2,,,,
"Fam4.001",nii3ohwootiini',3,,,,
"Fam4.002",Niineyei3eiheinoo,1,,,,
"Fam4.002",neisonoo,2,,,,
"Fam4.002",nii3ootinootiini'.,3,,,,
"Fam4.003",Niinono'eiti3einoo,1,,,,
"Fam4.003",nei'eibehe'.,2,,,,
"Fam4.004",Noonoo3itooneinoo,1,,,,
"Fam4.004",nesi.,2,,,,
"Fam4.005",Neeseh'e,1,,,,
"Fam4.005",niiniibei'it.,2,,,,
"Fam4.006",Nehei,1,,,,
"Fam4.006",niinono'eitit.,2,,,,
"Fam4.007",Nebi,1,,,,
"Fam4.007",coo'ouutouu3ei'it.,2,,,,
"Fam4.008",Neehebehe',1,,,,
"Fam4.008",nihce3i3ouu3ei'it.,2,,,,
