ref,word,num,dep,label,dep2,label2
"Favor.001",A,1,,,,
"Favor.001","keihciiniitobee,",2,,,,
"Favor.001",koociicee'iyoon?,3,,,,
"Favor.003",B,1,,,,
"Favor.003",hoowno'koohuuhuno.,2,,,,
"Favor.004",A,1,,,,
"Favor.004","yeh,",2,,,,
"Favor.004",hiiwo',3,,,,
"Favor.004",neetneihoowuubii3hiin.,4,,,,
"Favor.005",B,1,,,,
"Favor.005",'ii,2,,,,
"Favor.005",tebinouu.,3,,,,
"Favor.006",heetceestone3en,1,,,,
"Favor.006",hoseino'.,2,,,,
"Favor.007",A,1,,,,
"Favor.007",wohei,2,,,,
"Favor.007",siinenee'.,3,,,,
"Favor.008",heetniiyeihin.,1,,,,
"Favor.009",B,1,,,,
"Favor.009",tohu'eenetino',2,,,,
"Favor.009",hoseino',3,,,,
"Favor.009",ni'esneenoo.,4,,,,
"Favor.010",A,1,,,,
"Favor.010",howoo.,2,,,,
"Favor.011",he'ii'oxou'u.,1,,,,
"Favor.012",B,1,,,,
"Favor.012",woow,2,,,,
"Favor.012",kooh'uusiini'.,3,,,,
"Favor.013",A,1,,,,
"Favor.013",tous,2,,,,
"Favor.013",hehwonbii3ihin!,3,,,,
"Favor.014",B,1,,,,
"Favor.014",'ine,2,,,,
"Favor.014",sooxe.,3,,,,
"Favor.015",A,1,,,,
"Favor.015","Hee,",2,,,,
"Favor.015",neetneihoowei'towoo3e3.,3,,,,
