ref,word,num,dep,label,dep2,label2
"Food.001",Heeyou,1,,,,
"Food.001",heibii3hiit?,2,,,,
"Food.002",Heeyou,1,,,,
"Food.002",heini'iice3oo?,2,,,,
"Food.003",Kooheesnee?,1,,,,
"Food.004",Koohonokooyei?,1,,,,
"Food.005",Heesneenoo.,1,,,,
"Food.006",Nookooyeinoo.,1,,,,
"Food.007",Cihcebenoo,1,,,,
"Food.007",niisiscoo',2,,,,
"Food.008",Cihbebiyoohu.,1,,,,
"Food.009",Niibenenoo,1,,,,
"Food.009",nec.,2,,,,
"Food.010",Hokok,1,,,,
"Food.010",niini'iicetowoo.,2,,,,
"Food.011",Niibii3inoo,1,,,,
"Food.011",hoseino'.,2,,,,
"Food.012",Niibenenoo,1,,,,
"Food.012",be3enec.,2,,,,
"Food.013",Niibii3inoo,1,,,,
"Food.013",co'ocoo.,2,,,,
"Food.014",Cihcebenoo,1,,,,
"Food.014",niicooo'owu',2,,,,
"Food.014",noh,3,,,,
"Food.014",niih'oucoo'.,4,,,,
"Food.015",Noono,1,,,,
"Food.015",niini'iicetowoo.,2,,,,
"Food.016",Niibii3inoo,1,,,,
"Food.016",cee'ei'i.,2,,,,
"Food.017",Niibii3inoo,1,,,,
"Food.017",hiiniinsiinou'u.,2,,,,
"Food.018",Niibii3inoo,1,,,,
"Food.018",bee'ice'ee'.,2,,,,
"Food.019",Niibiino',1,,,,
"Food.019",niiscibouhut.,2,,,,
"Food.020",Niibii3inoo,1,,,,
"Food.020",niihoonice'ee'.,2,,,,
"Food.021",Nisikoc,1,,,,
"Food.021",niini'iicetowoo.,2,,,,
"Food.022",Nooxowouhut,1,,,,
"Food.022",niini'iicowo'.,2,,,,
"Food.023",Niibiinou'u,1,,,,
"Food.023",yeneini3i'.,2,,,,
"Food.024",Niibii3inoo,1,,,,
"Food.024",beskootee.,2,,,,
"Food.025","Hiiko,",1,,,,
"Food.025",neihoowuni'iicowoo,2,,,,
"Food.025",xoucen.,3,,,,
"Food.026","Hiiko,",1,,,,
"Food.026",neihoowuni'iicowoo,2,,,,
"Food.026",nowo'.,3,,,,
"Food.027",Niibii3inoo,1,,,,
"Food.027",niibeneibihi'i.,2,,,,
"Food.028",Niibii3inoo,1,,,,
"Food.028",biine'eek.,2,,,,
"Food.029",Cebteenocoo,1,,,,
"Food.029",niini'iicetowoo.,2,,,,
"Food.030",Ho'uw,1,,,,
"Food.030",niini'iicetowoo.,2,,,,
"Food.031",Hotoowoo.,1,,,,
"Food.032",Kooheihkote'e?,1,,,,
"Food.033",Hootoowoonoo.,1,,,,
"Food.034",Niihkoteenoo.,1,,,,
"Food.035",Noosounesneenoo.,1,,,,
"Food.036",Coowoteenoo.,1,,,,
