ref,word,num,dep,label,dep2,label2
"FoxTick(w).001",Nouu,1,,,,
"FoxTick(w).001",noh,2,,,,
"FoxTick(w).001",Hisi',3,,,,
"FoxTick(w).002",Nehe',1,,,,
"FoxTick(w).002",hisi',2,,,,
"FoxTick(w).002",he'ihbeetnonouhtiibee,3,,,,
"FoxTick(w).002",nouu.,4,,,,
"FoxTick(w).003",Hoowuuni,1,,,,
"FoxTick(w).003",nih'iihok,2,,,,
"FoxTick(w).003",nouu.,3,,,,
"FoxTick(w).004",Heihoowuni'cebe'eih,1,,,,
"FoxTick(w).005",Heetnoo3be3en,1,,,,
"FoxTick(w).005",heehehk,2,,,,
"FoxTick(w).005",hisi'.,3,,,,
"FoxTick(w).006",'Ee,1,,,,
"FoxTick(w).006","yehei,",2,,,,
"FoxTick(w).006",henei'ei3hehk,3,,,,
"FoxTick(w).006",nonoo3i'eebit,4,,,,
"FoxTick(w).007",coobou'uheso'oo.,1,,,,
"FoxTick(w).007",[NOTE,2,,,,
"FoxTick(w).007",NON-AFFIRM,3,,,,
"FoxTick(w).007",CONSTRUCTION],4,,,,
"FoxTick(w).008",Nohni',1,,,,
"FoxTick(w).008",cihnoohowu!,2,,,,
"FoxTick(w).009",Nouu,1,,,,
"FoxTick(w).009","he'ihcesihce,",2,,,,
"FoxTick(w).009",ne'ce'no'koohut.,3,,,,
"FoxTick(w).010",Noohoot,1,,,,
"FoxTick(w).010",hee3ei'neeneeso'oonoo,2,,,,
"FoxTick(w).010",heehehk,3,,,,
"FoxTick(w).010",nouu.,4,,,,
"FoxTick(w).011",'oh,1,,,,
"FoxTick(w).011",nehe',2,,,,
"FoxTick(w).011",hisi',3,,,,
"FoxTick(w).011",he'ihnihi'nei.,4,,,,
"FoxTick(w).012",Heetnonouhtiibe3en,1,,,,
"FoxTick(w).012",hee3oohok,2,,,,
"FoxTick(w).012",nouu.,3,,,,
"FoxTick(w).013",Hiikoot,1,,,,
"FoxTick(w).013",heetniitobeekuun,2,,,,
"FoxTick(w).013",hee3oohok,3,,,,
"FoxTick(w).013",nouu.,4,,,,
"FoxTick(w).014",Ne'eesnoneet,1,,,,
"FoxTick(w).014",nehe',2,,,,
"FoxTick(w).014",nouu.,3,,,,
"FoxTick(w).015",Heetousicebe'eih,1,,,,
"FoxTick(w).015",hee3oohok,2,,,,
"FoxTick(w).015",hisi'.,3,,,,
"FoxTick(w).016",Heetnoo3be3en,1,,,,
"FoxTick(w).016",he'ihwonooti3ee,2,,,,
"FoxTick(w).016",nehe',3,,,,
"FoxTick(w).016",hisi'.,4,,,,
"FoxTick(w).017",Wohei,1,,,,
"FoxTick(w).017",hookoh,2,,,,
"FoxTick(w).017",he'hebeetnonouhet:,3,,,,
"FoxTick(w).017",heetxouubene3en.,4,,,,
"FoxTick(w).018",Ne'iise'enou'u3i'.,1,,,,
"FoxTick(w).019",He'ihniitobeekuu,1,,,,
"FoxTick(w).019",nouu;,2,,,,
"FoxTick(w).020",Heesnoneet.,1,,,,
"FoxTick(w).021",Nehe',1,,,,
"FoxTick(w).021",hisi',2,,,,
"FoxTick(w).021",heehehk,3,,,,
"FoxTick(w).021",no'outiinoohok,4,,,,
"FoxTick(w).021","neeso,",5,,,,
"FoxTick(w).021",heetne'cesihcehino'.,6,,,,
"FoxTick(w).022",Ne'ce3i3outiit,1,,,,
"FoxTick(w).022",nehe',2,,,,
"FoxTick(w).022",hisi'.,3,,,,
"FoxTick(w).023",Teebe,1,,,,
"FoxTick(w).023","ceesisneyeitiit,",2,,,,
"FoxTick(w).023",ne'teesceno'oot,3,,,,
"FoxTick(w).023",hitihiinin,4,,,,
"FoxTick(w).023",nehe',5,,,,
"FoxTick(w).023",nouu.,6,,,,
"FoxTick(w).024",Neeso,1,,,,
"FoxTick(w).024","hei'iiht,",2,,,,
"FoxTick(w).024",ne'cesihcehi3i'.,3,,,,
"FoxTick(w).025",Nehe',1,,,,
"FoxTick(w).025",nouu,2,,,,
"FoxTick(w).025",neniito'cesihcehit;,3,,,,
"FoxTick(w).026",Beebei'on,1,,,,
"FoxTick(w).026",hee3ebkoohut.,2,,,,
"FoxTick(w).027","Cee'e'einei'ooku'oonit,",1,,,,
"FoxTick(w).027",'oh,2,,,,
"FoxTick(w).027",hoowceikoohun,3,,,,
"FoxTick(w).027",hisi'.,4,,,,
"FoxTick(w).028","Ne'too'uhce,",1,,,,
"FoxTick(w).028",tooyeinousi';,2,,,,
"FoxTick(w).029",'oh,1,,,,
"FoxTick(w).029",hiikoobe',2,,,,
"FoxTick(w).029",noosouniihouuni3,3,,,,
"FoxTick(w).029",nehe',4,,,,
"FoxTick(w).029",hisi'.,5,,,,
"FoxTick(w).030",Wohei,1,,,,
"FoxTick(w).030",nehe',2,,,,
"FoxTick(w).030",nouu,3,,,,
"FoxTick(w).030",ne'ce'cesihcehit;,4,,,,
"FoxTick(w).031",'oh,1,,,,
"FoxTick(w).031",woow,2,,,,
"FoxTick(w).031",teesiihi',3,,,,
"FoxTick(w).031",hitookuhu'eene',4,,,,
"FoxTick(w).031",nee'ei'ouuhuni3,5,,,,
"FoxTick(w).031",nehe',6,,,,
"FoxTick(w).031",hisi'.,7,,,,
"FoxTick(w).032",Nehe',1,,,,
"FoxTick(w).032",nouu,2,,,,
"FoxTick(w).032",ne'iixootohuu'oot.,3,,,,
"FoxTick(w).033",'oh,1,,,,
"FoxTick(w).033",woow,2,,,,
"FoxTick(w).033",hi'isine',3,,,,
"FoxTick(w).033",noo'ouuhuni3.,4,,,,
"FoxTick(w).034",Heeyeihno'koohut,1,,,,
"FoxTick(w).034",heetohnooxeihini';,2,,,,
"FoxTick(w).035","Ne'too'uhcehit,",1,,,,
"FoxTick(w).035",ne'bi'cebiseet.,2,,,,
"FoxTick(w).036",Nooxoweeyeihno'useet,1,,,,
"FoxTick(w).036",heetohtowooxeini';,2,,,,
"FoxTick(w).037",Nehe',1,,,,
"FoxTick(w).037",hisi',2,,,,
"FoxTick(w).037",ne'oowceno'oot.,3,,,,
"FoxTick(w).038",He'ih3i'ok,1,,,,
