ref,word,num,dep,label,dep2,label2
"GathNa.001",Teecxo',1,,,,
"GathNa.001",he'ineyoo,2,,,,
"GathNa.001",nih'iitoh'oo'eisee3i',3,,,,
"GathNa.001",3owo3neniteeno';,4,,,,
"GathNa.002",hoo3oo'o',1,,,,
"GathNa.002",hiiteeno',2,,,,
"GathNa.002",he'ih'iiniito'eibetino'.,3,,,,
"GathNa.003",hoo3oo'o',1,,,,
"GathNa.003",ce'esneniteeno',2,,,,
"GathNa.003",nih'iini'i3ecooto'ohkoni';,3,,,,
"GathNa.004",noh,1,,,,
"GathNa.004",neniteeno',2,,,,
"GathNa.004",he'ih'iiceitoonetino',3,,,,
"GathNa.004",tohuu-ciino'o3noohobeti3i'.,4,,,,
"GathNa.005",Howoo,1,,,,
"GathNa.005",he'ih'iiceecebiihetino'.,2,,,,
"GathNa.006",Hii3eti',1,,,,
"GathNa.006",tih'iibehnohco'ootou'u,2,,,,
"GathNa.006",betooot,3,,,,
"GathNa.006",wo'ei3,4,,,,
"GathNa.006",cebiihetiitono.,5,,,,
"GathNa.007",Hiiwoonhehe',1,,,,
"GathNa.007",''heetoh'oo'eiseet,2,,,,
"GathNa.007",3owo3nenitee'',3,,,,
"GathNa.007",nee'eesih'iinoo'.,4,,,,
"GathNa.008",hono'ut,1,,,,
"GathNa.008",heesce'eseihit,2,,,,
"GathNa.008",3owo3nenitee,3,,,,
"GathNa.008",ne'iixoohoo3i3ei'it,4,,,,
"GathNa.008",heesoo',5,,,,
"GathNa.008",hitiine'etiitooninoo;,6,,,,
"GathNa.009",howoo,1,,,,
"GathNa.009",heeneesiixoneet,2,,,,
"GathNa.009",noh,3,,,,
"GathNa.009",hiniito'eibetiit.,4,,,,
"GathNa.010",noh,1,,,,
"GathNa.010",nuhu',2,,,,
"GathNa.010",nee'eeniiseti',3,,,,
"GathNa.010",heebe3ibetooot,4,,,,
"GathNa.010",noh,5,,,,
"GathNa.010",hoo'eixoot.,6,,,,
