ref,word,num,dep,label,dep2,label2
"Gift.001",M,1,,,,
"Gift.001",Nii'i3ecoonoo,2,,,,
"Gift.001",tohno'useen.,3,,,,
"Gift.002",'oo,1,,,,
"Gift.002",hetce'no'us.,2,,,,
"Gift.003","'ouuheihoo,",1,,,,
"Gift.003",nee'ee!,2,,,,
"Gift.004",D,1,,,,
"Gift.004","'ii,",2,,,,
"Gift.004",heeyou?,3,,,,
"Gift.005",M,1,,,,
"Gift.005",Beniine3en,2,,,,
"Gift.005",nuhu',3,,,,
"Gift.005",wo'ein.,4,,,,
"Gift.006",D,1,,,,
"Gift.006","'iiheihoo,",2,,,,
"Gift.006",hohou!,3,,,,
"Gift.007","Biixoo3e3en,",1,,,,
"Gift.007",no'oo!,2,,,,
"Gift.008",M,1,,,,
"Gift.008",Howoo.,2,,,,
"Gift.009",D,1,,,,
"Gift.009",Hi3heetce'noohobe3en.,2,,,,
