ref,word,num,dep,label,dep2,label2
"HN.001",Niiyou,1,,,,
"HN.001",nih'iit,2,,,,
"HN.001",Heneecee,3,,,,
"HN.001",3i'ok:,4,,,,
"HN.002",Hootnii3oowuuhu',1,,,,
"HN.002","woohoyoo',",2,,,,
"HN.002",nii3einoo,3,,,,
"HN.002",heisonoonin.,4,,,,
"HN.003",Nii3ei'nih'oniitowoo3i',1,,,,
"HN.003",hootnohohoonoohowoo3i',2,,,,
"HN.003",hiniito'eininoo.,3,,,,
"HN.004",Hinee,1,,,,
"HN.004",heito'einin,2,,,,
"HN.004",ceniinih'oniitowoo3i',3,,,,
"HN.004",tohuuno'otibeinee.,4,,,,
"HN.005","Woohoyoo'ohk,",1,,,,
"HN.005",hotoneenee3eti',2,,,,
"HN.005","hiine'etiit,",3,,,,
"HN.005",nii3einoo,4,,,,
"HN.005",heisonoonin.,5,,,,
"HN.006","Woohoyoo'ohk,",1,,,,
"HN.006",heetnii3eti',2,,,,
"HN.006",heesiine'etiinee.,3,,,,
"HN.007",Hii3einoon,1,,,,
"HN.007",noh,2,,,,
"HN.007",hee3ei'ceece'eseihit,3,,,,
"HN.007",heetneenitoot,4,,,,
"HN.007","cese'eihii,",5,,,,
"HN.007","heetniibii3ihiitoonin,",6,,,,
"HN.008",nii3einoo,1,,,,
"HN.008",heisonoonin.,2,,,,
"HN.009",Heisonoonin,1,,,,
"HN.009",heetnii3oowuuhu',2,,,,
"HN.009",howouunonei[no'].,3,,,,
"HN.010",Heetnohohoonwoohoneneino'.,1,,,,
"HN.011","Neniitoneino',",1,,,,
"HN.011",tohuubiibi3[ehii3i]tonoono'.,2,,,,
"HN.012",Noh,1,,,,
"HN.012",huunoxuusoono',2,,,,
"HN.012",tohuuno'otiwoo3i',3,,,,
"HN.012",hiinooninoo,4,,,,
"HN.012",noh,5,,,,
"HN.012",hiteseibinoo.,6,,,,
"HN.013",Hinee,1,,,,
"HN.013",heisonoonin,2,,,,
"HN.013","nee'eetoot,",3,,,,
"HN.014",Ceneito'oot,1,,,,
"HN.014",biito'owuu'.,2,,,,
"HN.015",Noh,1,,,,
"HN.015",hootcih'itexo',2,,,,
"HN.015",nuhu',3,,,,
"HN.015",biito'owu'.,4,,,,
"HN.016",Ne'neeneyehk,1,,,,
"HN.016","heetniitteesiine'etiitoonin,",2,,,,
"HN.016",cenih'ouute',3,,,,
"HN.016",hinee,4,,,,
"HN.016",biito'owu'.,5,,,,
"HN.017",Noh,1,,,,
"HN.017",hiiyou,2,,,,
"HN.017",hootniisoo',3,,,,
"HN.017",cihno'xoo'ohk,4,,,,
"HN.017",hinee,5,,,,
"HN.017","biito'owu',",6,,,,
"HN.018",Hinee,1,,,,
"HN.018","heito'einin,",2,,,,
"HN.018",noh,3,,,,
"HN.018",nuhu',4,,,,
"HN.018",hiniito'eininoo,5,,,,
"HN.018",hootne'nii3ixowoo3i'***,6,,,,
"HN.018",hiniito'eininoo.,7,,,,
