ref,word,num,dep,label,dep2,label2
"HairStyle.001",Nehe',1,,,,
"HairStyle.001",betebihehihi',2,,,,
"HairStyle.001",hii3e',3,,,,
"HairStyle.001",hoowuniihiihi',4,,,,
"HairStyle.001",heetiine'etii3i'.,5,,,,
"Hairstyle.002",Nih'inihii,1,,,,
"Hairstyle.002",hiceii3oowut.,2,,,,
"Hairstyle.003",Noh,1,,,,
"Hairstyle.003",hi'in,2,,,,
"Hairstyle.003",beh'eihoho',3,,,,
"Hairstyle.003",noh,4,,,,
"Hairstyle.003",hu'un,5,,,,
"Hairstyle.003",huseino',6,,,,
"Hairstyle.003",nih'ini,7,,,,
"Hairstyle.003",nih'e'inonoo3i',8,,,,
"Hairstyle.003",nuhu',9,,,,
"Hairstyle.003",hisein,10,,,,
"Hairstyle.003",tih'iiceii3oowuni3.,11,,,,
"Hairstyle.004",Betebihehi',1,,,,
"Hairstyle.004",woow.,2,,,,
"Hairstyle.005",'oh,1,,,,
"Hairstyle.005",nehe',2,,,,
"Hairstyle.005",tih'e'inoneihit,3,,,,
"Hairstyle.005",nihco'oneixo',4,,,,
"Hairstyle.005",nuhu',5,,,,
"Hairstyle.005",hiceii3oo.,6,,,,
"Hairstyle.006",Hih'ooweeten.,1,,,,
"Hairstyle.007",Siinooxeihi',1,,,,
"Hairstyle.007",nihnohkuuni,2,,,,
"Hairstyle.007",ce3ei'oo3i',3,,,,
"Hairstyle.007",hiiyohootei'i.,4,,,,
