ref,word,num,dep,label,dep2,label2
"Hallow.001",Ho'oeet,1,,,,
"Hallow.001",woo3oninoo'oot.,2,,,,
"Hallow.001",[sic:,3,,,,
"Hallow.001",ho'oees-],4,,,,
"Hallow.002",Notiihin,1,,,,
"Hallow.002",biiteino'.,2,,,,
"Hallow.003",Neyeih'in,1,,,,
"Hallow.003",niitootox,2,,,,
"Hallow.003",biiteino'.[sic:,3,,,,
"Hallow.003",neniitootoxu3i'],4,,,,
"Hallow.004",Ho'oeesin,1,,,,
"Hallow.004",yonoo3oni3i',2,,,,
"Hallow.004",wosein3eineehiiho'.,3,,,,
"Hallow.005",Heeyou,1,,,,
"Hallow.005",nih'etceentou-'?,2,,,,
"Hallow.006",Ho'oeet,1,,,,
"Hallow.006",woo3oninoo'oot.[sic:,2,,,,
"Hallow.006",ho'oees-],3,,,,
"Hallow.007",Niiteheibin,1,,,,
"Hallow.007",nehe',2,,,,
"Hallow.007",nih'oo3oo;,3,,,,
"Hallow.007",he3ebyihxohun,4,,,,
"Hallow.007",3oonohooo.,5,,,,
"Hallow.008",Noko3tonin,1,,,,
"Hallow.008",woo3oninoo'oot,2,,,,
"Hallow.008",hinee,3,,,,
"Hallow.008",heetkookoyou'u.,4,,,,
"Hallow.009",Woohonooxeihoo,1,,,,
"Hallow.009",wo'teenooxeihoeno.,2,,,,
"Hallow.010",Ho'oeetii,1,,,,
"Hallow.010",ce'eibes.,2,,,,
"Hallow.011",3ooheetwoo3ei'i,1,,,,
"Hallow.011",ceeceibecei'inou'u.,2,,,,
