ref,word,num,dep,label,dep2,label2
"HowI.001",'oh,1,,,,
"HowI.001",nuhu',2,,,,
"HowI.001","hoo3oo'o',",3,,,,
"HowI.001",nei'eiwoho',4,,,,
"HowI.001",huut,5,,,,
"HowI.001","ci',",6,,,,
"HowI.001",nenee3i',7,,,,
"HowI.001",neihniii'oh'eiitono'.,8,,,,
"HowI.002",Nehe',1,,,,
"HowI.002",nihii,2,,,,
"HowI.002",hoteineecee,3,,,,
"HowI.002",ne'nih'iisih'it,4,,,,
"HowI.002",nehe',5,,,,
"HowI.002",nebesiibehe'.,6,,,,
"HowI.003",'oh,1,,,,
"HowI.003",hu'un,2,,,,
"HowI.003",ceese',3,,,,
"HowI.003","hiisoh'o,",4,,,,
"HowI.003","woxonoh'oe,",5,,,,
"HowI.003",ne'nih'iisih'it.,6,,,,
"HowI.004",Noh,1,,,,
"HowI.004",nehe',2,,,,
"HowI.004",nei'eibehe',3,,,,
"HowI.004","heebetohuuk,",4,,,,
"HowI.004",ne'nih'iisih'it.,5,,,,
"HowI.005",'oh,1,,,,
"HowI.005","nih'ini,",2,,,,
"HowI.005",nih'iiniiboohou'u.,3,,,,
"HowI.006","ne'nih'iitiisiii'oonoo,",1,,,,
"HowI.006",nuhu',2,,,,
"HowI.006",beh'eihohoho'.,3,,,,
"HowI.007",Nih'iinii'eP,1,,,,
"HowI.007",nii'eP,2,,,,
"HowI.007",hiincisi3i'.,3,,,,
"HowI.008",noh,1,,,,
"HowI.008","ne'ii'ini,",2,,,,
"HowI.008",nih'ini,3,,,,
"HowI.008",beetce'eeneiteneinoo,4,,,,
"HowI.008",neh'eeno,5,,,,
"HowI.008","bih'ihiiniibei'i,",6,,,,
"HowI.009",'oh,1,,,,
"HowI.009",3ebce'iiteni3i'.,2,,,,
"HowI.010",'oh,1,,,,
"HowI.010",neih'oowuu3ookuh.,2,,,,
"HowI.011",Neih'oowuu3ooku[hoo]no',1,,,,
"HowI.011",tih'e3ebce'iiteni3i'.,2,,,,
"HowI.012","Hei'cei'koohu[noo],",1,,,,
"HowI.012",nihco'onoteibinoo.,2,,,,
"HowI.013",Hiisii',1,,,,
"HowI.013",teeco'onoteibinoo.,2,,,,
"HowI.014","Neih'oowuuni,",1,,,,
"HowI.014",neih'oowbii3ihiin[oon].,2,,,,
"HowI.015",Wo'ei3,1,,,,
"HowI.015","neih'oowuuni,",2,,,,
"HowI.015",tihnee'eeneesinihii3einoo,3,,,,
"HowI.015",nehe',4,,,,
"HowI.015",bih'ihiiniibei'i.,5,,,,
"HowI.016",Neih'oowni'eenebe',1,,,,
"HowI.016",neneeninoo.,2,,,,
