ref,word,num,dep,label,dep2,label2
"HuntB.001",Notiit,1,,,,
"HuntB.001",hii3einoon.,2,,,,
"HuntB.002",Hii3einoon,1,,,,
"HuntB.002",nihyih'oonit.,2,,,,
"HuntB.003",Toh'etowo',1,,,,
"HuntB.003","ceese',",2,,,,
"HuntB.003",nihnoh'o'.,3,,,,
"HuntB.004","Ne'ceni3o',",1,,,,
"HuntB.004",toh'uusnoh'o'.,2,,,,
"HuntB.005","Tih'iisceni3o',",1,,,,
"HuntB.005",hoseino',2,,,,
"HuntB.005",ne'kooko'uxowoo.,3,,,,
"HuntB.006",Noh,1,,,,
"HuntB.006","tohbehiisceni3o',",2,,,,
"HuntB.006",ne'nii'behtoukutiinoo,3,,,,
"HuntB.006",hoseinou'u.,4,,,,
"HuntB.007",Ne'teesenowoo,1,,,,
"HuntB.007",teesiihi',2,,,,
"HuntB.007",notonih'e',3,,,,
"HuntB.007",hiwoxhoox.,4,,,,
"HuntB.008","Hei'ibehiisteesenowoo,",1,,,,
"HuntB.008","ne'teesiseenoo,",2,,,,
"HuntB.009",noh,1,,,,
"HuntB.009",ce3ei'oonoo,2,,,,
"HuntB.009",toh'otneeckoohunoo.,3,,,,
"HuntB.010",3ebiihi',1,,,,
"HuntB.010",neesootox,2,,,,
"HuntB.010","tokohoeno,",3,,,,
"HuntB.010",nee'eecxootee'.,4,,,,
"HuntB.011",Ne'no'ookeinoo,1,,,,
"HuntB.011",hoseinou'u.,2,,,,
"HuntB.012",Hoobenowoo.,1,,,,
"HuntB.013",Hiseino',1,,,,
"HuntB.013",ne'bii3ibeet.,2,,,,
"HuntB.014","Toh'uuxo'yeit,",1,,,,
"HuntB.014",nehe',2,,,,
"HuntB.014",hisei,3,,,,
"HuntB.014",ne'nii'oxowoot,4,,,,
"HuntB.014",behiihi',5,,,,
"HuntB.014",honoh'oh'o.,6,,,,
"HuntB.015","Tohbehiisbii3ihi3i',",1,,,,
"HuntB.015",ne'beh'eeckoohu3i',2,,,,
"HuntB.015",hiyeih'inoo.,3,,,,
"HuntB.015",[actually,4,,,,
"HuntB.015",has,5,,,,
"HuntB.015",hiyeih'inono],6,,,,
"HuntB.016","Tohbih'iyoo',",1,,,,
"HuntB.016",ne'behnoonokohu3i'.,2,,,,
