ref,word,num,dep,label,dep2,label2
"JC.001",hinen,1,,,,
"JC.001",he'ih'iinoo'ei,2,,,,
"JC.001",beebei'on,3,,,,
"JC.001",no'o'.,4,,,,
"JC.002",he'ihno'usee,1,,,,
"JC.002",heetbii3oonoo'.,2,,,,
"JC.003",he'ihco'ouu3oo,1,,,,
"JC.003",tokooxuuniihi'.,2,,,,
"JC.004",he'ihco'ouu3oo,1,,,,
"JC.004",hini'iit,2,,,,
"JC.004",heetoh'oxtoono'ouni'.,3,,,,
"JC.005",tokooxuuniihi',1,,,,
"JC.005",he'ihcih'iinootii,2,,,,
"JC.005","hiwoxuu,",3,,,,
"JC.005",noh,4,,,,
"JC.005","beneetP,",5,,,,
"JC.005",beneetneh'eheit,6,,,,
"JC.005",nehe',7,,,,
"JC.005",hinen.,8,,,,
"JC.006",noh,1,,,,
"JC.006",hiihoowuhciixokuni3,2,,,,
"JC.006",beete'.,3,,,,
"JC.007",wohei,1,,,,
"JC.007",nuhu',2,,,,
"JC.007","wooxe,",3,,,,
"JC.007",hetneihoowno'P,4,,,,
"JC.007",no'unoo'oo.,5,,,,
"JC.008",wohei,1,,,,
"JC.008",ne'noxuute'einit,2,,,,
"JC.008",beebei'on,3,,,,
"JC.008","huu3e',",4,,,,
"JC.008",hi'in,5,,,,
"JC.008","heetehbeexceeniini,",6,,,,
"JC.008",heetniitni'oowuseet.,7,,,,
"JC.009",wohei,1,,,,
"JC.009",hiit,2,,,,
"JC.009",hoowuniihiihi',3,,,,
"JC.009",heetcihP,4,,,,
"JC.009",heeP,5,,,,
"JC.009",beebei'on,6,,,,
"JC.009",he'ne'[n]ehP,7,,,,
"JC.009",beexehceeniini.,8,,,,
"JC.010","3ebwootooyeino'useehek,",1,,,,
"JC.010",'oh,2,,,,
"JC.010","3ebce'no'useehek,",3,,,,
"JC.010",'oh,4,,,,
"JC.010",hetneihoowentoo,5,,,,
"JC.010",nehe',6,,,,
"JC.010",hiwoxuu.,7,,,,
"JC.011",notnoohoot,1,,,,
"JC.011",toonheetniisiini;,2,,,,
"JC.012",oh,1,,,,
"JC.012",wootii,2,,,,
"JC.012",hoowuciisP,3,,,,
"JC.012",hoowuciisiini,4,,,,
"JC.012",nuhu',5,,,,
"JC.012",wohoe'niicii.,6,,,,
"JC.013","“wohoe'neiciitooxuu'ootowoo,”",1,,,,
"JC.013",heehehk.,2,,,,
"JC.014",'oh,1,,,,
"JC.014",noonoko',2,,,,
"JC.014",heetneyei3itoonoo.”,3,,,,
"JC.015",ne'ooseitiseet.,1,,,,
"JC.016",teeceeneeto',1,,,,
"JC.016",heetnii3ei'neenihi'koohut.,2,,,,
"JC.017",heetneh'e3ebceno'oot,1,,,,
"JC.017",tokooxuuniihi'.,2,,,,
"JC.018",'oh,1,,,,
"JC.018",coo'ouute'.,2,,,,
"JC.019","hoeii,",1,,,,
"JC.019",ne'ooseitiseet.,2,,,,
"JC.020",teeceeneeto',1,,,,
"JC.020","heetnii3ei'neenihi'koohut,",2,,,,
"JC.020",heetnii3ei'neesiikoohut.,3,,,,
"JC.021",heetne'ehceno'oot.,1,,,,
"JC.022",wohei,1,,,,
"JC.022",ne'too'useet.,2,,,,
"JC.023",ne'cesisihcehit.,1,,,,
"JC.024","hee3ebyiiscesisihcehit,",1,,,,
"JC.024",hee3ebehno'koohut,2,,,,
"JC.024",heetses3ooni'.,3,,,,
"JC.025",ne'ceno'oot.,1,,,,
"JC.026",wohei,1,,,,
"JC.026","ne'3ebiihi',",2,,,,
"JC.026",hee3ebiihco'oot.,3,,,,
"JC.026",wohei,4,,,,
"JC.026",nuhu',5,,,,
"JC.026",neehii3ei',6,,,,
"JC.026",hei'no'o'oot.,7,,,,
"JC.027",ne'nei'oohooto',1,,,,
"JC.027",he'ne'niihoowuhciixootee'.,2,,,,
"JC.028",he'ne'P,1,,,,
"JC.028",ne'ee'ino',2,,,,
"JC.028",tih'etciistiit.,3,,,,
"JC.029","ne'bi'ce'iineihcehit,",1,,,,
"JC.029",ne'ehce'ii3oxuuhetit,2,,,,
"JC.029",cesisceno'oot.,3,,,,
"JC.030",noh,1,,,,
"JC.030",ne'nih'iistoohok,2,,,,
"JC.030",nehe',3,,,,
"JC.030",hinen.,4,,,,
"JC.031",he'ino',1,,,,
"JC.031","tih'etnehciistiit,",2,,,,
"JC.031","bi'neh'iineihcehit,",3,,,,
"JC.031",ne'ce'ceno'oot.,4,,,,
"JC.032",noh,1,,,,
"JC.032",nee'eesoo',2,,,,
"JC.032",nuhu',3,,,,
"JC.032",hoo3itoo.,4,,,,
"JC.033",hi3oowotoo,1,,,,
"JC.033",wo'ei3,2,,,,
"JC.033",ciibeh'i3oowotoo.,3,,,,
"JC.034",ne'ni'iitou'u.,1,,,,
"JC.035",nohuusoho'.,1,,,,
