ref,word,num,dep,label,dep2,label2
"JGBear.001",Wohei,1,,,,
"JGBear.001",hiiyou,2,,,,
"JGBear.001",nuhu',3,,,,
"JGBear.001",nih'oo3ouniini,4,,,,
"JGBear.001",3owo3neniteeniini:,5,,,,
"JGBear.002","Nono'einiihi',",1,,,,
"JGBear.002","nono'eitiit,",2,,,,
"JGBear.002",3ebiihi',3,,,,
"JGBear.002","hinee,",4,,,,
"JGBear.002",hinee,5,,,,
"JGBear.002",teecxo',6,,,,
"JGBear.002",3eboosei3[iihi'];,7,,,,
"JGBear.003","Niisbeteetosoo',",1,,,,
"JGBear.003",neesbeteetosoo',2,,,,
"JGBear.003","cecinii,",3,,,,
"JGBear.003",hosei3iihi',4,,,,
"JGBear.003",nih'iisoohok,5,,,,
"JGBear.003",huune'etiit.,6,,,,
"JGBear.004",Nuhu',1,,,,
"JGBear.004",3owo3nenitee,2,,,,
"JGBear.004",'oh…,3,,,,
"JGBear.004",nehe',4,,,,
"JGBear.004",hinono'ei,5,,,,
"JGBear.004",heenoo,6,,,,
"JGBear.004","he'ihnee'eesoo,",7,,,,
"JGBear.005",Tohuu3oo3ookuheihit,1,,,,
"JGBear.005",nehe',2,,,,
"JGBear.005",hii3einoon.,3,,,,
"JGBear.006",Wohei,1,,,,
"JGBear.006",he'ihce'{ne}neenees[eihi]P,2,,,,
"JGBear.006",hinee,3,,,,
"JGBear.006","cese'ehiiho',",4,,,,
"JGBear.006",nii'ehiiho';,5,,,,
"JGBear.007",He'ih'iiwoowoo3eeniini,1,,,,
"JGBear.007",tihnee'eecxooyei'oo',2,,,,
"JGBear.007",hi'in,3,,,,
"JGBear.007",cecinii.,4,,,,
"JGBear.008",He'ihnosouniini,1,,,,
"JGBear.008","ciihoyoo,",2,,,,
"JGBear.008",ciihouniini,3,,,,
"JGBear.008",nuhu',4,,,,
"JGBear.008",hii3einoon.,5,,,,
"JGBear.009","Hiitesei3i,",1,,,,
"JGBear.009","he'ih'iineeneicisnoohoo3ootiin,",2,,,,
"JGBear.010",He'ne'nih'eeneisnoohobeihit.,1,,,,
"JGBear.011","He'ihwoo3ee,",1,,,,
