ref,word,num,dep,label,dep2,label2
"JGGh1.001",wohei,1,,,,
"JGGh1.001",ceese':,2,,,,
"JGGh1.002",neisonoo,1,,,,
"JGGh1.002",cihnih'ei'towuuneinoo.,2,,,,
"JGGh1.003",too'eihi'.,1,,,,
"JGGh1.004",hinee,1,,,,
"JGGh1.004","nih'iitnee'eesoo',",2,,,,
"JGGh1.004",hini',3,,,,
"JGGh1.004",ho'oowu',4,,,,
"JGGh1.004","nih'entou',",5,,,,
"JGGh1.005",'oh,1,,,,
"JGGh1.005",nih'iiciinouuniine'etiit.,2,,,,
"JGGh1.006",3oo3o'o'wuuci3ei'it.,1,,,,
"JGGh1.007",nee'eeneesiine'etiit.,1,,,,
"JGGh1.008",nih'iinohkoohuu3i',1,,,,
"JGGh1.008",hoono',2,,,,
"JGGh1.008",hih'oowcihbisis.,3,,,,
"JGGh1.009",'oh,1,,,,
"JGGh1.009",bi'eeneinootii3i'.,2,,,,
"JGGh1.010",ne'nii'ciiciinouu3i'.,1,,,,
"JGGh1.011",ciinouuniine'etiit.,1,,,,
"JGGh1.012",wohei,1,,,,
"JGGh1.012",he'iisiini,2,,,,
"JGGh1.012",ceesey,3,,,,
"JGGh1.012","3owo3iit,",4,,,,
"JGGh1.013",ne'notiihoot,1,,,,
"JGGh1.013",hitoniho'.,2,,,,
"JGGh1.014",nootnooxebeit.,1,,,,
"JGGh1.015",wohei,1,,,,
"JGGh1.015",nuhu',2,,,,
"JGGh1.015",huut,3,,,,
"JGGh1.015",hiikoo',4,,,,
"JGGh1.015","hiikou'uuni',",5,,,,
"JGGh1.016",hinee,1,,,,
"JGGh1.016",3i'ookuu3i',2,,,,
"JGGh1.016",hohootno'.,3,,,,
"JGGh1.017",neenei3i',1,,,,
"JGGh1.017","cooco'oo'oe',",2,,,,
"JGGh1.017",hini'iit,3,,,,
"JGGh1.017",niico'oo'ei'i.,4,,,,
"JGGh1.018",he'ih'iinisee.,1,,,,
"JGGh1.019",'oh,1,,,,
"JGGh1.019",nuhu',2,,,,
"JGGh1.019","hee3e'eiseet,",3,,,,
"JGGh1.019",'oh,4,,,,
"JGGh1.019",he'iicxootei'i,5,,,,
"JGGh1.019",he'ihco'oo'oe.,6,,,,
"JGGh1.020",wohei,1,,,,
"JGGh1.020",nuhu',2,,,,
"JGGh1.020","nih'iitoniP,",3,,,,
"JGGh1.021",'oh,1,,,,
"JGGh1.021",he'ne'inoohowoot,2,,,,
"JGGh1.021",neniteen.,3,,,,
"JGGh1.022",he'ihyihoon,1,,,,
"JGGh1.022",nuhu',2,,,,
