ref,word,num,dep,label,dep2,label2
"JGGun.001",Ci'he'ne'nih'iisiini,1,,,,
"JGGun.001",nuhu',2,,,,
"JGGun.001","nono'eiteen,",3,,,,
"JGGun.001",nono'eino';,4,,,,
"JGGun.002",Totou'utoo3i';,1,,,,
"JGGun.003",Hesnoot;,1,,,,
"JGGun.004",nouutowce'iine'etii3i'.,1,,,,
"JGGun.005",Houunooneeni',1,,,,
"JGGun.005",hibii3hiininoo.,2,,,,
"JGGun.006",Nih'iiceestii3i',1,,,,
"JGGun.006",nuhu',2,,,,
"JGGun.006",cese'eihii.,3,,,,
"JGGun.007",Honouun[on]eihit,1,,,,
"JGGun.007",nii'eihiiho'.,2,,,,
"JGGun.008",Kookon,1,,,,
"JGGun.008",hoowuuni;,2,,,,
"JGGun.009",niibeetP,1,,,,
"JGGun.009",niixoo,2,,,,
"JGGun.009",ni'iine'etii3i'.,3,,,,
"JGGun.010",honoonoyoohootowoo3i'.,1,,,,
"JGGun.011",Noh,1,,,,
"JGGun.011","ne'nih'iisiini,",2,,,,
"JGGun.011",nee'ee3oo3iine'etii3i'.,3,,,,
"JGGun.012",nee'ei'P,1,,,,
"JGGun.012",tihno'xoo'….,2,,,,
"JGGun.013",Wo'ei3,1,,,,
"JGGun.013",nee'eeneesiini;,2,,,,
"JGGun.014",Noh,1,,,,
"JGGun.014",nuhu',2,,,,
"JGGun.014",heetou'usee3i',3,,,,
"JGGun.014","he'iciino'o3oohok,",4,,,,
"JGGun.014",hesnoot.,5,,,,
"JGGun.015",Hoownii3inowuu,1,,,,
"JGGun.015",heeyouhuu.,2,,,,
"JGGun.016",Hoowuni'wo'owuseeno',1,,,,
"JGGun.016",toh'esnootiini'.,2,,,,
"JGGun.017",Hoowuuni.,1,,,,
"JGGun.018",Wohei,1,,,,
"JGGun.018",nee'eeneesiini,2,,,,
"JGGun.018",nohkuuyohou',3,,,,
"JGGun.018",heetniisiine'etii3i'.,4,,,,
"JGGun.019",Wohei,1,,,,
"JGGun.019",nee'eesiini.,2,,,,
"JGGun.020",he'ne'P,1,,,,
"JGGun.020",ne'nei3ecoot,2,,,,
"JGGun.020",nehe',3,,,,
"JGGun.020",nenitee.,4,,,,
"JGGun.021",He'ih'ini,1,,,,
"JGGun.021","he'ih'itei'yooniib,",2,,,,
"JGGun.022",noh,1,,,,
"JGGun.022",he'ihP,2,,,,
"JGGun.022",he'ih'ini'owoohuuw.****,3,,,,
"JGGun.023",Noh,1,,,,
"JGGun.023",nee'eesiini,2,,,,
"JGGun.023",nee'eesi3ecoot:,3,,,,
"JGGun.024",Noh,1,,,,
"JGGun.024",heetniinohkneetokooyeinoo,2,,,,
"JGGun.024","netei'yooniiwo',",3,,,,
"JGGun.025",Niitesiini,1,,,,
"JGGun.025",hesnee3i'.,2,,,,
"JGGun.026",Biibixon[in]eihi[hi]-3i'.,1,,,,
"JGGun.027",Wohei,1,,,,
"JGGun.027",3iwoo,2,,,,
"JGGun.027",neyei3iihi',3,,,,
"JGGun.027",heentou'eihek,4,,,,
"JGGun.027",hees-eeneine'etiitooni';,5,,,,
"JGGun.028",Hoowuuhu',1,,,,
"JGGun.028",kookon,2,,,,
"JGGun.028",heesi3ecoonoo:,3,,,,
"JGGun.029",'oh,1,,,,
"JGGun.029",heetniiteheibeinoo.,2,,,,
"JGGun.030",Wohei,1,,,,
"JGGun.030",heetniini,2,,,,
"JGGun.030",notii3ei'inoo,3,,,,
"JGGun.030",notiitiinoo,4,,,,
"JGGun.030",heetbii3hiitooni'.,5,,,,
"JGGun.031",Ne'ei'towuunoot,1,,,,
"JGGun.031",nuhu',2,,,,
"JGGun.031",hinenteeniit.,3,,,,
"JGGun.032",Wohei,1,,,,
"JGGun.032",heetniini,2,,,,
"JGGun.032",ce3ei'oonoo.,3,,,,
"JGGun.033",Heetnotiitoonoo,1,,,,
"JGGun.033",ni'iine'etiitooni':,2,,,,
"JGGun.034","Beteneyooo,",1,,,,
"JGGun.034",ni'iitei'oo'.,2,,,,
"JGGun.035",Hetiini,1,,,,
"JGGun.035",niiteheibeenebinee,2,,,,
"JGGun.035",nih'ii3oohok,3,,,,
"JGGun.035",neniteeno.,4,,,,
"JGGun.036",Wohei,1,,,,
"JGGun.036",ne'iini,2,,,,
"JGGun.036",hoonoo'eixoheti3i'.,3,,,,
"JGGun.037","Ne'niiniiteheibeit,",1,,,,
"JGGun.037",biibiibi3ehiiniihi',2,,,,
"JGGun.037",heenei'isiihi'.,3,,,,
"JGGun.038","Hoowouunoneit,",1,,,,
"JGGun.038",noono'oet.***,2,,,,
"JGGun.039",Wohei,1,,,,
"JGGun.039","ne'ce3ei'oot,",2,,,,
"JGGun.039",cee3ei'oot.,3,,,,
"JGGun.040",Noh,1,,,,
"JGGun.040","hoowuuni,",2,,,,
"JGGun.040","hoowee3neeciisisee,",3,,,,
"JGGun.041",'oh,1,,,,
"JGGun.041",he'ihniitobee,2,,,,
"JGGun.041",hihcebe',3,,,,
"JGGun.041","heetei'oo',",4,,,,
"JGGun.042","He'ih'ihce'ein,",1,,,,
"JGGun.043",'oh,1,,,,
"JGGun.043",ceeceno'oh,2,,,,
"JGGun.043",ceneeno',3,,,,
"JGGun.043",he'ihcebih'ohuno'.,4,,,,
"JGGun.044","'oohoohei,",1,,,,
"JGGun.044",woo3eehek,2,,,,
"JGGun.044",nehe',3,,,,
"JGGun.044",nii'eihii,4,,,,
"JGGun.044",ceebih'ohut.,5,,,,
"JGGun.045",Noh,1,,,,
"JGGun.045",nuhu',2,,,,
"JGGun.045","heet3i'ookuut,",3,,,,
"JGGun.046",he'ihco'otoyoo.,1,,,,
"JGGun.047",Wohei,1,,,,
"JGGun.047",nuhu',2,,,,
"JGGun.047",ceneeno',3,,,,
"JGGun.047",koox3ih'ohu3i',4,,,,
"JGGun.047",kox3iihi'.,5,,,,
"JGGun.048",Ne'kooko'usi'i.,1,,,,
"JGGun.049",Noh,1,,,,
"JGGun.049",ne'kokoh'u3ecoot,2,,,,
"JGGun.049",toonheetniistoot.,3,,,,
"JGGun.050",Ceese',1,,,,
"JGGun.050",nuhu',2,,,,
"JGGun.050",kokiy,3,,,,
"JGGun.050",nenii3ino'.,4,,,,
"JGGun.051",Wohei,1,,,,
"JGGun.051",ne'ciitohei'it.,2,,,,
"JGGun.052",Wohei,1,,,,
"JGGun.052",nuhu',2,,,,
"JGGun.052",kokiy,3,,,,
"JGGun.052",nuhu',4,,,,
"JGGun.052",ne'ceceibeno';,5,,,,
"JGGun.053",Ceeceibeno',1,,,,
"JGGun.053",nuhu',2,,,,
"JGGun.053",kokiy.,3,,,,
"JGGun.054",Nee'eesi3ecoot,1,,,,
"JGGun.054",nuhu',2,,,,
"JGGun.054",heetnee'eesehkox3inoo'oo',3,,,,
"JGGun.054",nuhu',4,,,,
"JGGun.054",kokiyono3.,5,,,,
"JGGun.055",Hinee,1,,,,
"JGGun.055",heetnehnoo'oohou'u,2,,,,
"JGGun.055",nee'eesi3ecoot.,3,,,,
"JGGun.056",Wohei,1,,,,
"JGGun.056",ne'nihi'kuutiit,2,,,,
"JGGun.056",nuhu',3,,,,
"JGGun.056","kokiy,",4,,,,
"JGGun.057",Noh,1,,,,
"JGGun.057",koe'tee'.,2,,,,
"JGGun.058",Ne'noh'ohouuhut,1,,,,
"JGGun.058",hee3ebnoh'ohouuhut,2,,,,
"JGGun.058",hinee,3,,,,
"JGGun.058",hihcebe',4,,,,
"JGGun.058",co'oteyooni'.,5,,,,
"JGGun.059","3ebnei'ooku'oot,",1,,,,
"JGGun.060",'oh,1,,,,
"JGGun.060",'oohoohei!,2,,,,
"JGGun.061",Ceeceno'oh,1,,,,
"JGGun.061",nuhu',2,,,,
"JGGun.061",ceneeno',3,,,,
"JGGun.061",nihsei'isi'i.,4,,,,
"JGGun.062",He'ihbise'sinenino.,1,,,,
"JGGun.063",'oh,1,,,,
"JGGun.063",nii'i3ecoot.,2,,,,
"JGGun.064",Ne'ceeceno'oh,1,,,,
"JGGun.064",niiniitouuh.,2,,,,
"JGGun.065",Ne'niiniitouuwoot,1,,,,
"JGGun.065",hinee,2,,,,
"JGGun.065",[hit]inenitee{nii}wo.,3,,,,
"JGGun.066",Hee3ebeeti3oot,1,,,,
"JGGun.066",neheicoo'.,2,,,,
"JGGun.067",ceeceixo3ei'!,1,,,,
"JGGun.068",ni'ceece'eiyeinee.,1,,,,
"JGGun.069",He'ihniini'i3ecootiin.,1,,,,
"JGGun.070",Cihniinihi'koohuni3i,1,,,,
"JGGun.070",cei3iihi',2,,,,
"JGGun.070",beh'eihoho,3,,,,
"JGGun.070","betebihoho,",4,,,,
"JGGun.070",tei'yoonoh'o.,5,,,,
"JGGun.071",Hi'in,1,,,,
"JGGun.071",niini'iini…,2,,,,
"JGGun.072",niiniiwoh'uyei3i'.,1,,,,
"JGGun.073",hiixouunei'ooku'oo'.,1,,,,
"JGGun.074",'oh,1,,,,
"JGGun.074",ceneeno',2,,,,
"JGGun.074",totoonee,3,,,,
"JGGun.074",he'ihse'isino'.,4,,,,
"JGGun.075",Wohei,1,,,,
"JGGun.075",ne'oowxootiini'.,2,,,,
"JGGun.076",Ne'cee'iyootiini'.,1,,,,
"JGGun.077",Ceece'ei'inoo3i',1,,,,
"JGGun.077",nuhu',2,,,,
"JGGun.077","ceneeno,",3,,,,
"JGGun.077",noono'uxohoo3i',4,,,,
"JGGun.077",hiyeih'inoo,5,,,,
"JGGun.077",heeneesiihi'.,6,,,,
"JGGun.078",He'ihce'noo3eino'.,1,,,,
"JGGun.079",He'ihwoo3eeno',1,,,,
"JGGun.079",nuhu',2,,,,
"JGGun.079",ceneeno',3,,,,
"JGGun.079",neeh'eihi3i'.,4,,,,
"JGGun.080",Wohei,1,,,,
"JGGun.080",ne'nih'iisiini:,2,,,,
"JGGun.081",howoo3neyeihehkoni'***,1,,,,
"JGGun.081",nuhu',2,,,,
"JGGun.081",nono'eino',3,,,,
"JGGun.081",ciisiihi'.,4,,,,
"JGGun.082",Nee'ino'ohkoni',1,,,,
"JGGun.082",niiskoutootei'i,2,,,,
"JGGun.082",nuhu',3,,,,
"JGGun.082",hoseiP,4,,,,
"JGGun.082",hoseinou'u.,5,,,,
"JGGun.083",HiiP,1,,,,
"JGGun.083",ne'niistiihok,2,,,,
"JGGun.083",toh'etP,3,,,,
"JGGun.083",hoonii,4,,,,
