ref,word,num,dep,label,dep2,label2
"JGSn.001",Wohei,1,,,,
"JGSn.001",nihii,2,,,,
"JGSn.001",hehnee'eeneesoo',3,,,,
"JGSn.001",hiine'etiit.,4,,,,
"JGSn.002",Nih'eenentoo3i',1,,,,
"JGSn.002",neniteeno'…,2,,,,
"JGSn.003",Nih'ini,1,,,,
"JGSn.003",kookokoh'ou3einiini,2,,,,
"JGSn.003",heene'iyeiniini,3,,,,
"JGSn.003",[hit]iine'etiitooninoo.,4,,,,
"JGSn.004",He'ih'eeneixoneihino',1,,,,
"JGSn.004",nih'eeneisiini.,2,,,,
"JGSn.005",Wohei,1,,,,
"JGSn.005",nehe',2,,,,
"JGSn.005",nenitee,3,,,,
"JGSn.005",he'ih'iiheeneinisee.,4,,,,
"JGSn.006",Noonotii3ei'it,1,,,,
"JGSn.006",nihii…,2,,,,
"JGSn.007",He'ihnoonotnoo'ein,1,,,,
"JGSn.007",heenei'isiihi'.,2,,,,
"JGSn.008",Nih'iibeetiini,1,,,,
"JGSn.008",noosouniini,2,,,,
"JGSn.008",ceeceneeyohwuuni,3,,,,
"JGSn.008",heene'iyei[t].,4,,,,
"JGSn.009",3oo3ooxuuyei'it,1,,,,
"JGSn.009",hi'in,2,,,,
"JGSn.009",ce'esiihi'.,3,,,,
"JGSn.010",Nih'iiniiniitowooto',1,,,,
"JGSn.010",hoo3itoono,2,,,,
"JGSn.010",wo'ei3,3,,,,
"JGSn.010",heenei'isiihi'.,4,,,,
"JGSn.011",Wohei,1,,,,
"JGSn.011",nee'ei'heeneinis[ee].,2,,,,
"JGSn.012",Kookon,1,,,,
"JGSn.012",he'ihniitobee,2,,,,
"JGSn.012",hiit,3,,,,
"JGSn.012",hihcebehe';,4,,,,
"JGSn.013",He'ihkookohtobeinoon.,1,,,,
"JGSn.014",‘oh,1,,,,
"JGSn.014",huut,2,,,,
"JGSn.014",siisiiyeino',3,,,,
"JGSn.014","niinohceineeyei3i',",4,,,,
"JGSn.014",he'ihneenino',5,,,,
"JGSn.015",Xonou,1,,,,
"JGSn.015",he'ih-nehtowoot.,2,,,,
"JGSn.016",Noh,1,,,,
"JGSn.016",ne'iini,2,,,,
"JGSn.016",noononoo'einit.,3,,,,
"JGSn.017",Heebeh'ini,1,,,,
"JGSn.017",too3no'us[ee].,2,,,,
"JGSn.018",Neestoonooteihi3i',1,,,,
"JGSn.018",nuhu',2,,,,
"JGSn.018",niinohceiyooni3i',3,,,,
"JGSn.018",siisiiyeino'.,4,,,,
"JGSn.019",Wohei,1,,,,
"JGSn.019",nee'eesiini,2,,,,
"JGSn.019",noonoo'oeniini,3,,,,
