ref,word,num,dep,label,dep2,label2
"K23.001",Nih'oo3oo,1,,,,
"K23.001",he'oowun[iih]iseehek.,2,,,,
"K23.002","Tohnosounoowuniihiseet,",1,,,,
"K23.002",hiseino',2,,,,
"K23.002",hehniisi3i',3,,,,
"K23.002",he'ihtousebino'.,4,,,,
"K23.003",He'ihnoohobe'.,1,,,,
"K23.004",Xonou,1,,,,
"K23.004",he'ihno'o'uhcehinino.,2,,,,
"K23.005",Koxeciihi',1,,,,
"K23.005",he'ihteetecihcehino'.,2,,,,
"K23.006",He'ne'hiiton3i'ookuu3i'.,1,,,,
"K23.007",Nih'oo3oo,1,,,,
"K23.007",he'ih'itesee,2,,,,
"K23.007",ceexoon.,3,,,,
"K23.008",Cobouu,1,,,,
"K23.008",nenee',2,,,,
"K23.008",tebisis.,3,,,,
"K23.009",Hiixowuhtonoti'.,1,,,,
"K23.010",Hiixowuh'iso'oniinoo'.,1,,,,
"K23.011",Tebisis;,1,,,,
"K23.011",yo'ohnenee',2,,,,
"K23.011",tebisis.,3,,,,
"K23.012",Heetniiwoowotowoo.,1,,,,
"K23.013",Noh,1,,,,
"K23.013",neeyou,2,,,,
"K23.013",ceese'.,3,,,,
"K23.014",Ci'hiiyohnenee',1,,,,
"K23.014",wo'tee[n]tebisixoo.,2,,,,
"K23.015",Hi3wohoe'ciiceyoox.,1,,,,
"K23.016",Wohei,1,,,,
"K23.016",hiikookonoo',2,,,,
"K23.016",tohnenee',3,,,,
"K23.016",tebisis.,4,,,,
"K23.017",Nih'oo3oo,1,,,,
"K23.017",he'yii3i'eino'ohk.,2,,,,
"K23.018","Teebe,",1,,,,
"K23.018",bih'ih,2,,,,
"K23.018",he'ce3ceno'oohok.,3,,,,
"K23.019",Uuuh!,1,,,,
"K23.019",beh'ei!,2,,,,
"K23.020",Nih'oo3oo,1,,,,
"K23.020",he'neeseekuuhok.,2,,,,
"K23.021",Nohohookeeniit!,1,,,,
"K23.022",Neiciikoyoniihiit.,1,,,,
"K23.023",Nee'eesiini,1,,,,
"K23.023",hi3etini'.,2,,,,
