ref,word,num,dep,label,dep2,label2
"Kingf2.001",nih'iinoh'ooxobeit.,1,,,,
"Kingf2.002",Ne'nih'ii'ini,1,,,,
"Kingf2.002",hookooneyoohoot,2,,,,
"Kingf2.002",nenitee,3,,,,
"Kingf2.002",niinoh'ooxebeit.,4,,,,
"Kingf2.003",ne'nih'ii'ehno'uxohoot,1,,,,
"Kingf2.003",nuhu',2,,,,
"Kingf2.003",he3ebiho'.,3,,,,
"Kingf2.004",nihwonoxowoot,1,,,,
"Kingf2.004",niibeihiiho.,2,,,,
"Kingf2.005",betoootiini'.,1,,,,
"Kingf2.006",noh,1,,,,
"Kingf2.006",ne'nih'ii'niiniistoo3i'.,2,,,,
"Kingf2.007",nihbeteee3i'.,1,,,,
"Kingf2.008",ne'P,1,,,,
"Kingf2.008",hiitiino,2,,,,
"Kingf2.008",hoko'oho'yeihii,3,,,,
"Kingf2.008",niicihbeteeet,4,,,,
"Kingf2.008",hiitiino.,5,,,,
"Kingf2.009",noh,1,,,,
"Kingf2.009",hu'un,2,,,,
"Kingf2.009","ceese',",3,,,,
"Kingf2.009",hi'in,4,,,,
"Kingf2.009",niito',5,,,,
"Kingf2.009",hi'in,6,,,,
"Kingf2.009",nih'ibeeteinit.,7,,,,
"Kingf2.010",Hi'in,1,,,,
"Kingf2.010",niito',2,,,,
"Kingf2.010","hiibeeteinit,",3,,,,
"Kingf2.010",neneenit,4,,,,
"Kingf2.010",nihnoh'oot,5,,,,
"Kingf2.010",nuhu',6,,,,
"Kingf2.010",he3ebii.,7,,,,
"Kingf2.011",niinooto',1,,,,
"Kingf2.011",hu'un,2,,,,
"Kingf2.011",woosoo3.,3,,,,
"Kingf2.012",noh,1,,,,
"Kingf2.012",ne'nii'iini,2,,,,
"Kingf2.012",hi'in,3,,,,
"Kingf2.012","ceese',",4,,,,
"Kingf2.012","ne'nii'cihwoniini,",5,,,,
"Kingf2.012",cihwoniini,6,,,,
"Kingf2.012",hi'in,7,,,,
"Kingf2.012",heeseehiisih'i'i,8,,,,
"Kingf2.012",hi'in,9,,,,
"Kingf2.012",heeneisP,10,,,,
"Kingf2.012",hoko'oho'yeihii.,11,,,,
"Kingf2.013",ne'nii'cihno'uxotiit,1,,,,
"Kingf2.013",hi'in,2,,,,
"Kingf2.013",hoko'oho'yooP.,3,,,,
"Kingf2.014",niihi'beteee3i',1,,,,
"Kingf2.014",niito'.,2,,,,
"Kingf2.015",niibeteeet,1,,,,
"Kingf2.015",neh'eeno,2,,,,
"Kingf2.015",nih'ini,3,,,,
"Kingf2.015",noh'oot,4,,,,
"Kingf2.015",he3ebii.,5,,,,
"Kingf2.016",noh,1,,,,
"Kingf2.016",nuhu',2,,,,
"Kingf2.016",hoko'oho'yeihiiho',3,,,,
"Kingf2.016",niibeteee3i',4,,,,
"Kingf2.016",yeiniihi'.,5,,,,
"Kingf2.017",beisiihi',1,,,,
"Kingf2.017",yein.,2,,,,
"Kingf2.018",noh,1,,,,
"Kingf2.018",nehe',2,,,,
"Kingf2.018","hiiteebiyoonit,",3,,,,
"Kingf2.018",ci'ne'nii'ibeteeet.,4,,,,
"Kingf2.019",Noh,1,,,,
"Kingf2.019",hu'un,2,,,,
"Kingf2.019",hiiteebiyoonit,3,,,,
"Kingf2.019","yein,",4,,,,
"Kingf2.019",beisiihi'.,5,,,,
"Kingf2.020","Noh,",1,,,,
"Kingf2.020",noh,2,,,,
"Kingf2.020",ne'bee3too3i'.,3,,,,
"Kingf2.021",noh,1,,,,
"Kingf2.021",ne'no'o'uxohoo3i',2,,,,
"Kingf2.021",nuhu',3,,,,
"Kingf2.021",he3ebii.,4,,,,
"Kingf2.022",noh,1,,,,
"Kingf2.022","ne'iini,",2,,,,
"Kingf2.022",beebeet,3,,,,
"Kingf2.022",ne'nii'iinihii,4,,,,
"Kingf2.022",howooyeiti3i'.,5,,,,
"Kingf2.023",nihnoo'oesee3i',1,,,,
"Kingf2.023",nuhu',2,,,,
"Kingf2.023",he3ebii,3,,,,
"Kingf2.023",nih'iit3eiisineni3.,4,,,,
"Kingf2.024",nih'iibiibi3ehi3i'.,1,,,,
"Kingf2.025",ne'nih'ii'P,1,,,,
"Kingf2.025",beenhehe',2,,,,
"Kingf2.025",kou'unou'u,3,,,,
"Kingf2.025",hu'un,4,,,,
"Kingf2.025",hoseino'.,5,,,,
"Kingf2.026","ne'nih'ii'ciinenou'u,",1,,,,
"Kingf2.026",ciinenou'u,2,,,,
"Kingf2.026",hu'un,3,,,,
"Kingf2.026",hinit,4,,,,
"Kingf2.026",heeteinootee'.,5,,,,
"Kingf2.027",nihii,1,,,,
"Kingf2.027",heeshiitousihi'P,2,,,,
"Kingf2.027","Psinihii,",3,,,,
"Kingf2.027",pot,4,,,,
"Kingf2.027",anyway;,5,,,,
"Kingf2.028",noh,1,,,,
"Kingf2.028",ne'nih'ii'bee3too3i'.,2,,,,
"Kingf2.029",Hini',1,,,,
"Kingf2.029",noh,2,,,,
"Kingf2.029",ne'e3ebxohoot,3,,,,
"Kingf2.029",neh'eeno,4,,,,
"Kingf2.029",nihnoh'ooxebeit,5,,,,
"Kingf2.029",hii3e',6,,,,
"Kingf2.029",nuhu',7,,,,
"Kingf2.029","niibeihiiho,",8,,,,
"Kingf2.029",toh'oxowoot.,9,,,,
"Kingf2.030",'oh,1,,,,
"Kingf2.030",nehe',2,,,,
"Kingf2.030",hisei,3,,,,
"Kingf2.030",hiit,4,,,,
"Kingf2.030","nih'ookooneyooheihit,",5,,,,
"Kingf2.030",nih3i'okut,6,,,,
"Kingf2.030",hoowuciisiihi';,7,,,,
"Kingf2.031",huut,1,,,,
"Kingf2.031",nih'ie3eb3i'okut.,2,,,,
"Kingf2.032",noh,1,,,,
"Kingf2.032",ne'nih'ii'bee3too3i'.,2,,,,
"Kingf2.033",nihbiinoo3i',1,,,,
"Kingf2.033",nuhu',2,,,,
"Kingf2.033",niibeihiiho,3,,,,
"Kingf2.033",nuhu',4,,,,
"Kingf2.033","he3ebiho',",5,,,,
"Kingf2.033","“heetihno'o3iiseihino',”",6,,,,
"Kingf2.033",nih'eeneihi3i',7,,,,
"Kingf2.033",teecxo',8,,,,
"Kingf2.033",nuhu',9,,,,
"Kingf2.033",beh'eihoho'.,10,,,,
"Kingf2.034",'oh,1,,,,
"Kingf2.034",nehe',2,,,,
"Kingf2.034",hooxei,3,,,,
"Kingf2.034","hesnee,",4,,,,
"Kingf2.034",neneenit,5,,,,
"Kingf2.034","nih'ee3neeniini,",6,,,,
"Kingf2.034","heenei3oowuuni,",7,,,,
"Kingf2.034","nih'iiP,",8,,,,
"Kingf2.034","nih'inihii,",9,,,,
"Kingf2.034",nuhu',10,,,,
"Kingf2.034",nih'iisih'it,11,,,,
"Kingf2.034",hooxei,12,,,,
"Kingf2.034",[Henry,13,,,,
"Kingf2.034","Snake],",14,,,,
"Kingf2.034",nuhu',15,,,,
"Kingf2.034",he3ebii,16,,,,
"Kingf2.034",nih'inihii,17,,,,
"Kingf2.034",no'oteenowoo3i'.,18,,,,
"Kingf2.035",beebeet,1,,,,
"Kingf2.035",nenee',2,,,,
"Kingf2.035",neihnoohoo3oo.,3,,,,
