ref,word,num,dep,label,dep2,label2
"Kr.001","howo'ohnin,",1,,,,
"Kr.001","heseenookuuwun,",2,,,,
"Kr.001",kookon,3,,,,
"Kr.001",beeheihin,4,,,,
"Kr.001",heehehkoni'.,5,,,,
"Kr.002",he'ne'ce'iisee3i',1,,,,
"Kr.002",hotnei'tobee3i',2,,,,
"Kr.002",hii3einoon,3,,,,
"Kr.002",tohwoo3eeni3i,4,,,,
"Kr.002",nih'iitnoonoehi3i'.,5,,,,
"Kr.003",heettonotini',1,,,,
"Kr.003",ce'ihceihiiteino'.,2,,,,
"Kr.004","tohce'eeckoohu3i',",1,,,,
"Kr.004","nih'iitohneciinini',",2,,,,
"Kr.004",hinenitee,3,,,,
"Kr.004",heeniiseebee3,4,,,,
"Kr.004",tokooxuusi'.,5,,,,
"Kr.005",behiisteecis,1,,,,
"Kr.005",hihcebe'.,2,,,,
"Kr.006",noh,1,,,,
"Kr.006",he'iitiiteiht,2,,,,
"Kr.006",nehe',3,,,,
"Kr.006",he'ih-hecisi',4,,,,
"Kr.006",niihohkoni'.,5,,,,
"Kr.007",hootoustoon,1,,,,
"Kr.007",neenei3eti'ehkoni'.,2,,,,
"Kr.008",he'ne'wottonootonoo3i'.,1,,,,
"Kr.009",nohunee,1,,,,
"Kr.009",heesii3,2,,,,
"Kr.009","wottoneehohkoni',",3,,,,
"Kr.010",3ii3iixuh'un.,1,,,,
"Kr.011",ceneeyohow,1,,,,
"Kr.011",wottonoononeeno'.,2,,,,
