ref,word,num,dep,label,dep2,label2
"KroNAA2-65.001",Hihcebe',1,,,,
"KroNAA2-65.001",Nih'oo3oo,2,,,,
"KroNAA2-65.001","nih'iihok,",3,,,,
"KroNAA2-65.001",hotoniine'etiitoonini',4,,,,
"KroNAA2-65.001",nuhu',5,,,,
"KroNAA2-65.001",no'koowuu',6,,,,
"KroNAA2-65.001",hinenteeniit.,7,,,,
"KroNAA2-65.002",nee'eehiine'etiitooni'ehk.,1,,,,
"KroNAA2-65.003",Noh,1,,,,
"KroNAA2-65.003",niistiihok,2,,,,
"KroNAA2-65.003","niiciihoho,",3,,,,
"KroNAA2-65.003","koh'owuu,",4,,,,
"KroNAA2-65.003",noh,5,,,,
"KroNAA2-65.003",hoh'enii.,6,,,,
"KroNAA2-65.004",Nee'eebeheenitou'u.,1,,,,
"KroNAA2-65.005",ne'inihiito'ohk,1,,,,
"KroNAA2-65.005",nuhu',2,,,,
"KroNAA2-65.005",biito'owu';,3,,,,
"KroNAA2-65.006",hotoniihihi'.,1,,,,
"KroNAA2-65.007",noh,1,,,,
"KroNAA2-65.007",ne'nii'niisih'i',2,,,,
"KroNAA2-65.007",nuhu',3,,,,
"KroNAA2-65.007",biito'owu'.,4,,,,
"KroNAA2-65.008",ne'nih'iisinihiito'ohk,1,,,,
"KroNAA2-65.008",Hihcebe',2,,,,
"KroNAA2-65.008",Nih'oo3oo.,3,,,,
