ref,word,num,dep,label,dep2,label2
"KroNAABigB.001",Bih'ih,1,,,,
"KroNAABigB.001",he'ih'iinoo'ei.,2,,,,
"KroNAABigB.002",Hitoxoohok,1,,,,
"KroNAABigB.002",wothihtousini'eihin,2,,,,
"KroNAABigB.002",hisein.,3,,,,
"KroNAABigB.003",Behisnisicehinoninouhuyohk.,1,,,,
"KroNAABigB.004",Xonou,1,,,,
"KroNAABigB.004",he'ihceecii3enoo'oo.,2,,,,
"KroNAABigB.005",Tohnoohowoot,1,,,,
"KroNAABigB.005","hisein,",2,,,,
"KroNAABigB.005",he'ih'eeneitohowuune'.,3,,,,
"KroNAABigB.006","“Wohei,",1,,,,
"KroNAABigB.006","hootibii'o'oo3e3en,”",2,,,,
"KroNAABigB.006",hee3oohok,3,,,,
"KroNAABigB.006",bih'ih.,4,,,,
"KroNAABigB.007",Noh,1,,,,
"KroNAABigB.007",''niiheyoo,2,,,,
"KroNAABigB.007","heesitoononi,''",3,,,,
"KroNAABigB.007",hee3eihok.,4,,,,
"KroNAABigB.008",He'ne'iyihoot.,1,,,,
"KroNAABigB.009",Teebe,1,,,,
"KroNAABigB.009","hotniitenoohok,",2,,,,
"KroNAABigB.009",hiinoononox,3,,,,
"KroNAABigB.009",he'ihwosetouuhun.,4,,,,
"KroNAABigB.010",Ces[is]ceeceno'oo.,1,,,,
"KroNAABigB.011",Ceecebite'eikoo.,1,,,,
"KroNAABigB.012",He'ihbi'nei'oohobee.,1,,,,
"KroNAABigB.013","Bih'ih,",1,,,,
"KroNAABigB.013",bih'ih,2,,,,
"KroNAABigB.013",he'ihteyeih.,3,,,,
"KroNAABigB.014",Howoh,1,,,,
"KroNAABigB.014",nih'otbii'e'eet.,2,,,,
"KroNAABigB.015","He'ne'ce'eeckoohut,",1,,,,
"KroNAABigB.015",tohteyeihit.,2,,,,
"KroNAABigB.016",He'ih-'oote'ein,1,,,,
"KroNAABigB.016",bih'ih,2,,,,
"KroNAABigB.016",tohbih'ihinoo'oot.,3,,,,
"KroNAABigB.017",Neeyei3oonee',1,,,,
"KroNAABigB.017",he'ih'iinikuhnee.,2,,,,
"KroNAABigB.018",Bih'ih,1,,,,
"KroNAABigB.018",wootii,2,,,,
"KroNAABigB.018","bih'ih,",3,,,,
"KroNAABigB.018",Wootii,4,,,,
"KroNAABigB.018",bih'ih,5,,,,
"KroNAABigB.018","nii3etouuhuhek,",6,,,,
"KroNAABigB.018",wootii,7,,,,
"KroNAABigB.018",bih'ih,8,,,,
"KroNAABigB.018",ceeceno'oo.,9,,,,
"KroNAABigB.019",Wootii,1,,,,
"KroNAABigB.019",bih'ih,2,,,,
"KroNAABigB.019",he'no'o'kuhneehek.,3,,,,
"KroNAABigB.020",He'behiyeihoneetehk.,1,,,,
"KroNAABigB.021","Tih'iisiiteneet,",1,,,,
"KroNAABigB.021",he'ihnoononi3ooku'oo.,2,,,,
"KroNAABigB.022",Bih'ih,1,,,,
"KroNAABigB.022",he'ihte'etinoo'oo.,2,,,,
"KroNAABigB.023",He'ihbeh'eenei'enoo.,1,,,,
"KroNAABigB.024",Hoonii,1,,,,
"KroNAABigB.024",he'ihciiniini,2,,,,
"KroNAABigB.024",bih'ihiin.,3,,,,
"KroNAABigB.025",Nee'ee3iisih'it,1,,,,
"KroNAABigB.025",bih'ih.,2,,,,
