ref,word,num,dep,label,dep2,label2
"KroNAADucks.001",Nih'oo3oo,1,,,,
"KroNAADucks.001",he'hoo'eineeti3oohohk,2,,,,
"KroNAADucks.001",siisiiko,3,,,,
"KroNAADucks.001",hotbetooohoot.,4,,,,
"KroNAADucks.002",Nee'eewoohoyookuuhohkoni',1,,,,
"KroNAADucks.002",siisiiko'.,2,,,,
"KroNAADucks.003","Wohei,",1,,,,
"KroNAADucks.003",nih'oo3oo,2,,,,
"KroNAADucks.003",heehehk.,3,,,,
"KroNAADucks.004",heetniino'uusi'oonee,1,,,,
"KroNAADucks.004",beeteeenei'i.,2,,,,
"KroNAADucks.005",Heetniinecei'i,1,,,,
"KroNAADucks.005","niikoonookuhcehi3i',",2,,,,
"KroNAADucks.005",hee[snee]hehk,3,,,,
"KroNAADucks.005",nih'oo3oo.,4,,,,
"KroNAADucks.006","heetoxce'ootinee3i,",1,,,,
"KroNAADucks.006",niitebe'eiseihohkoni',2,,,,
"KroNAADucks.006",hehniiseihini3.,3,,,,
"KroNAADucks.007",heetniinecenee,1,,,,
"KroNAADucks.007","niikoonookuhcehi3i',",2,,,,
"KroNAADucks.007",niihok,3,,,,
"KroNAADucks.007",nih'oo3oo.,4,,,,
"KroNAADucks.008",Toh'uuyeinit,1,,,,
"KroNAADucks.008",ceese',2,,,,
"KroNAADucks.008",siisiicehe',3,,,,
"KroNAADucks.008","ho'oox[ohwoot],",4,,,,
"KroNAADucks.008",nokoo3e'.,5,,,,
"KroNAADucks.009",He'ihciiciinooku'oonowoo.,1,,,,
"KroNAADucks.010",Hootniinecenee,1,,,,
"KroNAADucks.010","niikoonookuhcehi3i',",2,,,,
"KroNAADucks.010",niihok,3,,,,
"KroNAADucks.010","nih'oo3oo,",4,,,,
"KroNAADucks.010",tohbetooohoot,5,,,,
"KroNAADucks.010",siisiiko.,6,,,,
"KroNAADucks.011","“Hono'o3ihei[hi]be,”",1,,,,
"KroNAADucks.011",Nih'oo3oo,2,,,,
"KroNAADucks.011",heehehk.,3,,,,
"KroNAADucks.012",Siisiicehe',1,,,,
"KroNAADucks.012","ho'oox[ohwoot],",2,,,,
"KroNAADucks.012",tohkoyih'ohukoohut.,3,,,,
"KroNAADucks.013","Howoh,",1,,,,
"KroNAADucks.013",he'ne'siiyeini3,2,,,,
"KroNAADucks.013",nih'oo3oo.,3,,,,
