ref,word,num,dep,label,dep2,label2
"KroNAAElk.001",Niiinon,1,,,,
"KroNAAElk.001","he'hootee'ehk,",2,,,,
"KroNAAElk.001",nih'oo3oo,3,,,,
"KroNAAElk.001",'oh,4,,,,
"KroNAAElk.001",hoowuniihiseehek.,5,,,,
"KroNAAElk.002",Tei'yoonoh'o,1,,,,
"KroNAAElk.002",he'ih'itesee.,2,,,,
"KroNAAElk.003","Nesihoo,",1,,,,
"KroNAAElk.003","hee3eihok,",2,,,,
"KroNAAElk.003",tootei'eihoo?,3,,,,
"KroNAAElk.004",Noowuniihiseenoo.,1,,,,
"KroNAAElk.005",he'ihnosousee.,1,,,,
"KroNAAElk.006",He'ih'itesoo,1,,,,
"KroNAAElk.006",hiwoxuuhuu.,2,,,,
"KroNAAElk.007",ne'inonouhtiiwoohok.,1,,,,
"KroNAAElk.008",He'ih3i'enee,1,,,,
"KroNAAElk.008",hitouw.,2,,,,
"KroNAAElk.009",Ne'ce3koohuuwoohok.,1,,,,
"KroNAAElk.010",Behno'uusihcehi'.,1,,,,
"KroNAAElk.011",He'ibehnoxowusi'ehkoni',1,,,,
"KroNAAElk.011",hiwoxuuhuu.,2,,,,
"KroNAAElk.012",He'ne'ceniihei'it.,1,,,,
"KroNAAElk.013",He'ne'oonookouhut.,1,,,,
"KroNAAElk.014",koo'ohwuhu',1,,,,
"KroNAAElk.014",he'ih'itese'.,2,,,,
"KroNAAElk.015",He'ne'oono3i'eewoot,1,,,,
"KroNAAElk.015",hotneenehiisetoneit,2,,,,
"KroNAAElk.015",hibii3iwoono.,3,,,,
"KroNAAElk.016",Ceese',1,,,,
"KroNAAElk.016",koo'ohwuhu',2,,,,
"KroNAAElk.016",he'ihno'koo.,3,,,,
"KroNAAElk.017",neisoh'oo,1,,,,
"KroNAAElk.017",nowo'uu,2,,,,
"KroNAAElk.017",hootoowuni3i.,3,,,,
"KroNAAElk.018",He'ne'nii'biineit,1,,,,
"KroNAAElk.018",hibii3iwoono.,2,,,,
"KroNAAElk.019",He'ihciisibihe'.,1,,,,
"KroNAAElk.020",He'ne'noxobe3eihoot.,1,,,,
"KroNAAElk.021",Hohootino',1,,,,
"KroNAAElk.021",he'ih-teic-einee-neesine-no'.[see,2,,,,
"KroNAAElk.021",scratch/cough,3,,,,
"KroNAAElk.021",and,4,,,,
"KroNAAElk.021",archaic,5,,,,
"KroNAAElk.021",'each'],6,,,,
"KroNAAElk.022",He'ne'ouuhut,1,,,,
"KroNAAElk.022","hohooti',",2,,,,
"KroNAAElk.022",tohuunoono'oonoot.,3,,,,
"KroNAAElk.023",He'ne'kohyeibinoo'oot,1,,,,
"KroNAAElk.023",hohooti'.,2,,,,
"KroNAAElk.024",He'ne'ootowukuutoneit,1,,,,
"KroNAAElk.024","hoseinou'u,",2,,,,
"KroNAAElk.024",tohnei'eibinoo'oot,3,,,,
"KroNAAElk.024",hohooti'.,4,,,,
