ref,word,num,dep,label,dep2,label2
"KroNAALife.001",He'ihniisino',1,,,,
"KroNAALife.001",hineniteeno',2,,,,
"KroNAALife.001",hootnoo3ibee3i',3,,,,
"KroNAALife.001",hiine'etiit.,4,,,,
"KroNAALife.002",Hini'-hii,1,,,,
"KroNAALife.002","heneeceibiihi3,",2,,,,
"KroNAALife.002",noh,3,,,,
"KroNAALife.002",hoh'onookee.,4,,,,
"KroNAALife.003",Wotneenehkoni',1,,,,
"KroNAALife.003",nih'iihooxuwuno'.,2,,,,
"KroNAALife.004",Nih'oo3oo,1,,,,
"KroNAALife.004",he'ih'iten,2,,,,
"KroNAALife.004","heneeceibiihi3,",3,,,,
"KroNAALife.004",sii'ihkuutii.,4,,,,
"KroNAALife.005","hinowounoo'oo,",1,,,,
"KroNAALife.005",he'ihnono3ce'bixou'oo.,2,,,,
"KroNAALife.006","“Hootne'nii'ce'kohei'inoo,”",1,,,,
"KroNAALife.006",heehehk,2,,,,
"KroNAALife.006",nih'oo3oo.,3,,,,
"KroNAALife.007",3owo3nenitee,1,,,,
"KroNAALife.007",hoh'onookee[n],2,,,,
"KroNAALife.007",biiti',3,,,,
"KroNAALife.007",sii'ihkuu3ee.,4,,,,
"KroNAALife.008",“Beebeet,1,,,,
"KroNAALife.008",hootne'nii'iiyohootenoo.”,2,,,,
