ref,word,num,dep,label,dep2,label2
"KroNAALit.001",He'ice3ikoheinoo.,1,,,,
"KroNAALit.002",He'ih'oninoo'oo.,1,,,,
"KroNAALit.003",He'ihneciwoon.,1,,,,
"KroNAALit.004",He'ihnehyo'oobesenee.,1,,,,
"KroNAALit.005",He'ihcoowu3oowun.,1,,,,
"KroNAALit.006",Hooxobe',1,,,,
"KroNAALit.006",he'ihbesenee.,2,,,,
"KroNAALit.007",He'ihcoowu3oowun.,1,,,,
"KroNAALit.008",He'ihbeetohtonesii.,1,,,,
"KroNAALit.009","Heneibee'iinit,",1,,,,
"KroNAALit.009",toneso'.,2,,,,
"KroNAALit.010",Ne'noh'ouukohoot.,1,,,,
"KroNAALit.011",He'ne'cesiseiikohoot.,1,,,,
"KroNAALit.012",Nenei'iitiibihcehi[t].,1,,,,
"KroNAALit.013",Heni'tebe'eihiit.,1,,,,
"KroNAALit.014",Heneikooxoxo'.,1,,,,
"KroNAALit.015",Heneibee'einit.,1,,,,
"KroNAALit.016",HetinP,1,,,,
"KroNAALit.016",“neetciikoxox.”,2,,,,
"KroNAALit.017",Konou'eino3eit.,1,,,,
"KroNAALit.018",Yohneciisibe'eino3e'!,1,,,,
"KroNAALit.019",Tih'ei'nousi',1,,,,
"KroNAALit.019","bese',",2,,,,
"KroNAALit.019",neetihouu3oo.,3,,,,
"KroNAALit.020",Neetihi'ooxuhe'.”,1,,,,
"KroNAALit.021",Tohno'useet,1,,,,
"KroNAALit.021","hiyeih'e',",2,,,,
"KroNAALit.021","hiniisoono,",3,,,,
"KroNAALit.021",“heeneteini'ookun.,4,,,,
"KroNAALit.022",Heniiyeihe3enee.,1,,,,
"KroNAALit.023",Heetih'iisinotohwoono'.”,1,,,,
"KroNAALit.024",“Heet[n]iitisinebinoo.”,1,,,,
"KroNAALit.025",“Heet[n]iicih'ohowootiininoo.”,1,,,,
"KroNAALit.026","Tohnooke',",1,,,,
"KroNAALit.026",yihoonoo.,2,,,,
"KroNAALit.027",kouun,1,,,,
"KroNAALit.027",hixono.,2,,,,
"KroNAALit.028",Kouun,1,,,,
"KroNAALit.028",he'ihceecenoxus.,2,,,,
"KroNAALit.029",Nee'ei'ise'.,1,,,,
